EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperID,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
90_SS2_Quest01_Success,,1,MSQ,,,250,3100,,,,,,,,,,,,200,1,,,,,,,true
90_SS2_Quest01a_Success,,1,MSQ,,,250,3100,,,,,,,,,,,,200,1,,,,,,,true
90_SS2_Quest02_Success,,15,MSQ,,,3300,4500,,,,,,,,,,,,200,1,,,,,,,true
90_SS2_Quest03_Success,,25,MSQ,,,7440,5500,,,,,,,,,,,,200,1,,,,,,,true
90_SS2_Quest04_Success,,35,MSQ,,,10300,6500,,,,,,,,,,,,100,1,,,,,,,true
90_SS2_Quest05_Success,,45,MSQ,,,12630,7500,,,,,,,,,,,,100,1,,,,,,,true
90_SS2_Quest06_Success,,50,MSQ,,,13290,8000,,,,,,,,,,,,100,1,,,,,,,true
90_SS2_Quest07_Success,,55,MSQ,,,14220,8500,,,,,,,,,,,,100,1,,,,,,,true
90_SS2_Quest08_Success,,60,MSQ,,,14950,9000,,,,,,,,,,,,100,1,,,,,,,true
90_SS2_Quest09_Success,,65,MSQ,,,15710,9500,,,,,,,,,,,,100,1,,,,,,,true
90_SS2_Quest10_Success,,65,MSQ,,,15710,9500,,,,,,,,,,,,100,1,,,,,,,true
