EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperId,AchievementId,StatusEffectId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
C10A_Q1_Success,,65,Quest,Armor,,3770,11875,,,,,,,700,,,,,75,1,,C10A_Q1R,,,,,,true
10A_Q1_Lottery,,0,Quest,,,0,0,,[LTID]C10A_Q1_WorkOrder_Table,,,,,,,,,,,0,,,,,,,,true
10A_Q1_PylonA_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q1_PylonB_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q1_PylonC_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q1_EncounterCompleteA_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q1_EncounterCompleteB_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q1_EncounterCompleteC_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
C10A_Q2_Success,,65,Quest,Armor,,3770,11875,,,,,,,700,,,,,75,1,,C10A_Q2R,,,,,,true
10A_Q2_AncientCage_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q2_PrisonCellA_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q2_PrisonCellB_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q2_PrisonCellC_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
C10A_Q3_Success,,65,Quest,Armor,,3770,11875,,,,,,,700,,,,,75,1,,C10A_Q3R,,,,,,true
10A_Q3_SpectralPylon_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q3_SpectralLure_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q3_WaveEventComplete_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q3_LightningBomb_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q3_FortEventComplete_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q3_Telescope_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
C10A_Q4_Success,,65,Quest,Armor,,3770,11875,,,,,,,800,,,,,75,1,,C10A_Q4R,,,,,,true
10A_Q4_EncounterComplete_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q4_ChestA_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q4_ChestB_Interact,,0,Quest,,,0,0,,[LTID]DoubloonChestPvPSmall,,,,,,,,,,,0,,,,,,,,true
10A_Q4_ChestDummy_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
C10A_Q5_Success,,65,Quest,Armor,,3770,11875,,,,,,,800,,,,,75,1,,C10A_Q5R,,,,,,true
10A_Q5_OfferGems_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q5_EncounterComplete_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
