EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperId,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
1201_0101_culldrowned_success,,1,Quest,,,40,97,,Legs_DuelistT2,,120,,,,,,,,0,1,,,,,,,true
1201_0102_campandtools_success,,2,Quest-,,,60,40,,,,,,,,,,,,0,1,,,,,,,true
1201_0103_boarproblem_success,,3,Quest-,,,80,41,,QuestRewardArmor_StarterChest,,,,,,,,,,0,1,,,,,,,true
1201_0104_xmarksthespot_p1_success,,4,Quest+,,,160,149,,2hBowT2,,120,,,,,,,,0,1,,,,,,,true
1201_0107_preciouscargo_success,,5,Quest+,,,550,153,,,,,,,,,,,,0,1,,,,,,,true
1201_0108_introtosettlement_success,,5,Quest,,,180,438,,,,,,,600,,,,,0,1,,,,,,,true
1225_0101_truffles_success,,5,Quest,,,180,438,,QuestReward_MB_Ingredients,,,,,600,,,,,0,1,,,,,,,true
1204_0102_warnmagistrate_success,,5,Quest-,,,150,175,,Head_DuelistT2,,125,,,400,,,,,0,1,,,,,,,true
1206_0103_hearthwohome_Success,,5,Quest-,,,150,175,,1hHatchetT1,,100,,,400,,,,,0,1,,,,,,,true
1202_0102_intrototrader_success,,5,Quest-,,,150,175,,,,,,,400,,,,,0,1,,,,,,,true
1203_0102_introtooverseer_success,,5,Quest-,,,150,175,,1hPickT1,,100,,,400,,,,,0,1,,,,,,,true
1204_0101_overseersettlement_success,,6,Quest+,,,520,630,,QuestRewardArmorL4,,150,,,800,,,,,0,1,,,,,,,true
1204_0103_introtoartificer_success,,6,Quest-,,,170,180,,,,,,,400,,,,,0,1,,,,,,,true
1205_0101_craftforartificer_success,,6,Quest-,,,170,180,,QuestRewardArmorL4,,155,,,400,,,,,0,1,,,,,,,true
1205_0102_campingunlock_success,,6,Quest-,,,170,180,,,,,,,400,,,,,0,1,,,,,,,true
1203_0201_survivalistquest_success,,7,Quest+,,,300,648,,2hMusket_QuestL5,,,,,800,,,,,0,1,,,,,,,true
