EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperId,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
12A_MSQ_01_SpeakLochnir_Success,,7,MSQ-,Armor,,1210,925,,,,,,,100,,,,,0,1,,,,,,,true
12A_MSQ_02_InnTutorial_Success,,7,MSQ-,Armor,,1200,925,,QuestReward_MB_Coin_Purse2,,,,,250,,,,,0,1,,,,,,,true
12A_MSQ_03_VaultTutorial_Success,,7,MSQ-,Armor,,1200,925,,,,,,,250,,,,,0,1,,,,,,,true
12A_MSQ_04_MeetPayne_Success,,7,MSQ-,Armor,,1200,925,,QuestReward_MB_Potion_Pouch,,,,,250,,,,,0,1,,,,,,,true
12A_MSQ_05_MeetRegent_Success,,8,MSQ-,Armor,,1380,950,,,,,,,250,,,,,0,1,,,,,,,true
12A_MSQ_06_ToMiclot_Success,,9,MSQ,Armor,,1900,3900,,QuestReward_WW_Boots_Light,,,,,250,,,,,0,1,,,,,,,true
12A_MSQ_07_FreeMiners_Success,,9,MSQ,Armor,,1900,3900,,QuestReward_MB_Pickaxe,,,,,500,,,,,0,1,,,,,,,true
12A_MSQ_08_DestroyRune_Success,,10,MSQ,Armor,,2100,4000,,CRX_QuestReward_MB_VoidGauntlet,,,,,500,,,,,50,1,,,,,,,true
12A_MSQ_09_ReturnRegent_Success,,10,MSQ,Armor,,2100,4000,,QuestReward_MB_Bag,,,,,500,,,,,50,1,,,,,,,true
12A_MSQ_10_ConfrontLochnir_Success,,10,MSQ-,Armor,,1700,1000,,,,,,,500,,,,,25,1,,,,,,,true
12A_MSQ_10_ConfrontLochnir_Success_alt,,10,MSQ-,Armor,,1700,1000,,,,,,,250,,,,,25,1,,,,,,,true
12A_MSQ_11_ReportRegent_Success,,10,MSQ-,Armor,,1700,1000,,,,,,,250,,,,,25,1,,,,,,,true
12A_MSQ_12_CampTutorial_Success,,10,MSQ,Armor,,2200,4000,,QuestReward_WW_Gloves_Light,,,,,250,,,,,50,1,,,,,,,true
12A_MSQ_13_StormBeach_Success,,11,MSQ,Armor,,2300,4100,,QuestReward_MB_GreatAxe,,,,,500,,,,,50,1,,,,,,,true
12A_MSQ_14_TalkGrace_Success,,11,MSQ-,Armor,,1860,1025,,,,,,,500,,,,,25,1,,,,,,,true
12A_MSQ_15_DefeatNavigator_Success,,12,MSQ,Armor,,2500,4200,,CRX_QuestReward_MB_IceGauntlet,,,,,250,,,,,200,1,,,,,,,true
12A_MSQ_16_FastTravel_Success,,12,MSQ-,Armor,,2000,1050,,,,,,,500,,,,,10,1,,,,,,,true
12A_MSQ_17_LochnirsNotes_Success,,13,MSQ,Armor,,2700,4300,,QuestReward_MB_Pants_Heavy,,,,,250,,,,,50,1,,,,,,,true
12A_MSQ_18_InspectStatue_Success,,14,MSQ,Armor,,2900,4400,,CRX_QuestReward_MB_Hatchet,,,,,500,,,,,50,1,,,,,,,true
12A_MSQ_19_MeetPercilla_Success,,14,MSQ,Armor,,2900,4400,,QuestReward_WW_Helm_Light,,,,,500,,,,,50,1,,,,,,,true
