EventID,GameEventType,Level,CreatureType,UniversalExpAmount,CurrencyReward,ItemReward,RewardNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,WhisperId
1679_0101_striderofthesands_success,,60,Quest,4500,11250,,,,,,175,,,,,true,15,1,
1603_0101_troubletribune_success,,60,Quest-,2250,4500,,,,,,100,,,,,true,7.5,1,
1612_0101_praetorians_success,,60,Quest,4500,11250,,,,,,175,,,,,true,15,1,
1612_0201_personaldemons_success,,60,Quest+,5630,15750,,,,,,250,,,,,true,30,1,
1612_0301_dutiesmaintained_success,,60,Quest+,5630,15750,Schematic_House_HousingItem_Legion_Decor_StatueMan01_A,,,,,250,,,,,true,30,1,
1606_0101_lost_manticore_success,,60,Quest,3000,11250,,,,,,175,,,,,true,15,1,
1666_0101_audiencewithpontifex_success,,62,Quest-,3600,4600,,,,,,100,,,,,true,7.5,1,
1604_0101_powerofgods_success,,62,Quest-,2400,4600,,,,,,100,,,,,true,7.5,1,
1605_0101_sleepingvessels_success,,62,Quest,4800,11500,,,,,,175,,,,,true,15,1,
1605_0201_immortalgems_success,,62,Quest,4800,11500,,,,,,175,,,,,true,15,1,
1605_0301_awakenanubis_success,,62,Quest,4800,11500,,,,,,175,,,,,true,15,1,
1605_0401_insufficientfaith_success,,62,Quest,4800,11500,Schematic_House_HousingItem_Legion_Decor_StatueWoman01_A,,,,,175,,,,,true,15,1,
1601_0101_cursedcenturies_success,,63,Quest-,2480,4650,,,,,,100,,,,,true,7.5,1,
1613_0101_assaultlegion_success,,63,Quest,4950,11625,WritofAdventure,,,,,175,,,,,true,15,1,
1613_0201_hydrasbreath_success,,63,Quest,4950,11625,WritofAdventure,,,,,175,,,,,true,15,1,
1613_0301_blazeofglory_success,,63,Quest,4950,11625,WritofAdventure,,,,,175,,,,,true,15,1,
1613_0401_lastcenturion_success,,63,Quest,4950,11625,WritofAdventure,,,,,175,,,,,true,15,1,
1613_0501_legendrestored_success,,63,Quest,4950,11625,Schematic_House_HousingItem_Legion_Decor_StatueGoddess01_A,,,,,175,,,,,true,15,1,
1604_0201_heronomore_success,,64,Quest-,2550,4700,,,,,,100,,,,,true,7.5,1,
1602_0101_ultimateintentions_success,,64,Quest,5100,11750,WritofAdventure,,,,,175,,,,,true,15,1,
1602_0201_strengthandweakness_success,,64,Quest,5100,11750,WritofAdventure,,,,,175,,,,,true,15,1,
1602_0301_tribunetime_success,,64,Quest,5100,11750,WritofAdventure,,,,,175,,,,,true,15,1,
1602_0401_headofsnake_success,,64,Quest,5100,11750,WritofAdventure,,,,,175,,,,,true,15,1,
1602_0501_gloriamundi_success,,64,Quest+,6380,16450,Schematic_House_HousingItem_Lighting_Legion_LightWall01_D,,,,,250,,,,,true,30,1,
1602_0601_secretssands_success,,65,Quest-,2630,4750,,,,,,100,,,,,true,7.5,1,
