EventID,GameEventType,Level,CreatureType,RewardModifier,UniversalExpAmount,CurrencyReward,ItemReward,RewardsNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance
1304_1302_UndeadPresent_Success,,31,Quest,Armor,1510,7625,QuestRewardArmorL31,,,,,175,,,,,true,10,1
1302_1304_BridgeOver_Success,,32,Quest,Weapons,1560,7750,QuestRewardWeaponsL32,,,,,175,,,,,true,10,1
1305_1309_Possible_Success,,33,Quest+,Armor,2020,11025,QuestRewardArmorL33,,,,,250,,,,,true,20,1
1303_1307_HazelsCave_Success,,34,Quest+,Armor,2070,11200,QuestRewardArmorL34,,,,,250,,,,,true,20,1
1302_1305_HealingFeeling_Success,,35,Quest,Weapons,1690,8125,QuestRewardWeaponsL35,,,,,175,,,,,true,10,1
1310_1306_Tarrying_Success,,36,Quest+,Armor,2180,11550,QuestRewardArmorL36,,,,,250,,,,,true,20,1
1305_1308_Weavers_Success,,37,Quest+,,2230,11725,RingWeaversFenT4,,,,,250,,,,,true,20,1
1304_1303_GuardianFuture_Success,,38,Quest+,Armor,2280,11900,QuestRewardArmorL38,,,,,250,,,,,true,20,1
1303_1310_Honoring_Success,,39,Quest+,,2330,12075,2hStaffFireWeaversFenT4,,,,,250,,,,,true,20,1
1304_1301_GhostsPast_Success,,40,Quest+,,2380,12250,Earring_WeaversHoopsT4,,,,,250,,,,,true,20,1
1322_1316_ReprieveforRestless_Success,,40,Quest,,1900,8750,QuestRewardDye,,,,,175,,,,,true,10,
1302_1312_Spores_Success,,50,Quest+,,2890,14000,HeavyChest_GuardofCreationT4,L50 Dungeon,,,,250,,,,,true,20,1
1330_0201_startingthefire_success,,37,Quest+,Weapons,2230,11725,QuestRewardWeaponsL37,,,,,250,,,,,true,20,1
1330_0202_burningfromtheinside_success,,39,Quest,Armor,1860,8625,QuestRewardArmorL39,,,,,175,,,,,true,10,1
1330_0203_hellfirebrimstoneoven_success,,39,Quest+,Weapons,2330,12075,2hStaffFire_QuestL39,,,,,250,,,,,true,20,1
1331_0201_fentonsfiend_success,,39,Quest+,Armor,2330,12075,QuestRewardArmorL39,,,,,250,,,,,true,20,1
1331_0202_keepingthefaith_success,,40,Quest+,Weapons,2380,12250,QuestRewardWeaponsL40,,,,,250,,,,,true,20,1
1331_0204_extremeexorcism_success,,40,Quest+,Weapons,2380,12250,1hLongsword_QuestL40,,,,,250,,,,,true,20,1
1332_0201_gatorsgonewild_success,,30,Quest,Armor,1460,7500,QuestRewardArmorL30,,,,,175,,,,,true,10,1
1332_0202_thosedamnedboar_success,,34,Quest,Weapons,1650,8000,QuestRewardWeaponsL34,,,,,175,,,,,true,10,1
1332_0203_packfromhell_success,,38,Quest,Armor,1820,8500,QuestRewardArmorL38,,,,,175,,,,,true,10,1
1332_0204_packleader_success,,39,Quest+,Weapons,2330,12075,MediumChest_QuestL39,,,,,250,,,,,true,20,1
1333_0201_agelessedifice_success,,30,Quest,Armor,1460,7500,QuestRewardArmorL30,,,,,175,,,,,true,10,1
1333_0202_spanningtheages_success,,33,Quest,Weapons,1610,7875,QuestRewardWeaponsL33,,,,,175,,,,,true,10,1
1333_0203_timelesstower_success,,34,Quest,Armor,1650,8000,HeavyChest_QuestL34,,,,,175,,,,,true,10,1
1333_UpperStoneRubble_interact_success,,0,Quest-,,0,0,,,,,,,,,,,true,0,0
1333_StoneRubble_interact_success,,0,Quest-,,0,0,,,,,,,,,,,true,0,0
1334_0201_olfactoryoptimization_success,,36,Quest,Weapons,1740,8250,Amulet_QuestL36,,,,,175,1,1,,,true,10,1
