EventID,GameEventType,Level,CreatureType,Reward Type,UniversalExpAmount,CurrencyReward,ItemReward,RewardNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,IgnoreEconomyTracker
0901_0101_culldrowned_success,,1,Quest,Exp,80,97,Legs_DuelistT2,,120,,,,,,,,true,0,1,
0901_0102_campandtools_success,,2,Quest-,Exp,110,40,,,,,,,,,,,true,0,1,
0901_0103_boarproblem_success,,3,Quest-,Named,150,41,QuestRewardArmor_StarterChest,,,,,,,,,,true,0,1,
0901_0104_xmarksthespot_success,,4,Quest+,Named,330,149,2hBowT2,,120,,,,,,,,true,0,1,
0901_0107_preciouscargo_success,,5,Quest+,Exp,1000,153,,,,,,,,,,,true,0,1,
0901_0108_introtosettlement_success,,5,Quest,Exp,320,438,,,,,,175,,,,,true,0,1,
0925_0101_truffles_success,,5,Quest,,320,438,QuestRewardArmorL5,,,,,175,,,,,true,0,1,
0904_01a01_warnmagistrate_success,,5,Quest-,Named,240,175,Head_DuelistT2,,125,,,100,,,,,true,0,1,
0902_0101_hearthandhome_success,,5,Quest-,Named,240,175,1hHatchetT1,,100,,,100,,,,,true,0,1,
0902_0102_intrototrader_success,,5,Quest-,Exp,240,175,,,,,,100,,,,,true,0,1,
0902_0103_introtooverseer_success,,5,Quest-,Named,240,175,1hPickT1,,100,,,100,,,,,true,0,1,
0904_0104_overseersettlement_success,,6,Quest+,Named,960,630,QuestRewardArmorL4,,150,,,250,,,,,true,0,1,
0904_0103_introtoartificer_success,,6,Quest-,Named,290,180,,,,,,100,,,,,true,0,1,
0905_0101_craftforartificer_success,,6,Quest-,Named,290,180,QuestRewardArmorL4,,155,,,100,,,,,true,0,1,
0905_0102_campingunlock_success,,6,Quest-,Exp,290,180,,,,Camping,1,100,,,,,true,0,1,
0903_0201_survivalistquest_success,,7,Quest+,Named,550,648,2hCelestialStaff_LifeT2,,155,,,250,,,,,true,0,1,
0903_0201_survivalistquest_V2_success,,7,Quest+,Named,550,648,2hCelestialStaff_LifeT2,,155,,,250,,,,,true,0,1,
0903_0202_returntomagistrate_success,,7,Quest-,Exp,330,185,,,,,,100,,,,,true,0,1,
0902_0202_introtoallfactions_success,,7,Quest-,Exp,330,185,,,,,,100,,,,,true,0,1,
0909_0103_timetochoose_success,,7,Quest-,Exp,330,185,,,,,,100,,,,,true,0,1,
0907_0101_marauderquest1_success,,8,Quest,Mats,510,475,DyeB146,,,,,175,,,,,true,0,1,
0908_0101_syndicatequest1_success,,8,Quest,Mats,510,475,DyeB167,,,,,175,,,,,true,0,1,
0909_0101_covenantquest1_success,,8,Quest,Mats,510,475,DyeB139,,,,,175,,,,,true,0,1,
0902_0401_factionhandoff_success,,9,Quest,Named,580,488,Amulet_TribalLoyaltyCharmT2,,200,,,175,,,,,true,100,1,
0904_0501_encroachingcorruption_success,,9,Quest+,,730,683,QuestRewardWeaponsL9,,,,,250,,,,,true,100,1,
0922_1501_intrototravel_success,,12,Quest,Azoth,1230,525,BagAT1,,,,,175,,,,,true,500,1,true
0922_1502_returntravel_success,,12,Quest,Exp,1230,525,,,,,,175,,,,,true,10,1,
0910_0101_laidtorest_success,,9,Quest+,Weapons,730,6825,QuestRewardWeaponCase1,,,,,250,,,,,true,0,1,
0903_0301_avoidopenflame_success,,10,Quest+,Standing,1240,7000,,,,,,250,,,,,true,0,1,
0910_0102_distillation_success,,11,Quest+,Exp,1390,7175,,,,,,250,,,,,true,0,1,
0905_0302_theoryoldworld_success,,12,Quest+,Weapons,1540,7350,2hWarhammer_QuestL12,,,,,250,,,,,true,0,1,
0904_0201_minerrequisition_success,,13,Quest+,Exp,1650,7525,,,,,,250,,,,,true,20,1,
0902_0501_discardedmemories_success,,14,Quest+,Coins,1750,7700,,,,,,250,,,,,true,20,1,
0905_0301_evolutioncorruption_pt1_success,,15,Quest+,Armor,1820,7875,QuestRewardArmorCase1,,,,,250,,,,,true,20,1,
0902_0502_errorofways_success,,16,Quest+,Exp,1900,8050,,,,,,250,,,,,true,20,1,
0904_0301_muzzleorthrus_success,,17,Quest+,Weapons,1970,8225,1hGauntletIce_QuestL17,,,,,250,,,,,true,20,1,
0905_0305_evolutioncorruption_pt3_success,,18,Quest+,Exp,2050,8400,,,,,,250,,,,,true,20,1,
0903_0401_skininthegame_success,,19,Quest+,Weapons,2120,8575,QuestRewardWeaponCase1,,,,,250,,,,,true,20,1,
0902_0503_abandonedresearch_success,,20,Quest+,Standing,2200,8750,,,,,,250,,,,,true,20,1,
0905_0306_brightazothflame_success,,21,Quest+,Named,2270,8925,Ring_FirstLightSignetT3,,,,,250,,,,,true,20,1,
0904_0302_snuffingcandle_success,,22,Quest+,Exp,2350,9100,,,,,,250,,,,,true,20,1,
