EventID,GameEventType,Level,CreatureType,RewardModifier,UniversalExpAmount,CurrencyReward,ItemReward,ItemRewardQty,RewardsNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,WhisperID
95_s04_01_SearchRing_success,,60,Quest,Weapons,7500,11250,2hBow_Quest_S04_01,,,,,,0,,,,,true,15,1,
95_s04_02_GetDaichi_success,,60,Quest+,Armor,9380,15750,LightChest_Quest_S04_02,,,,,,0,,,,,true,30,1,
95_s04_03_EnterCastle_success,,60,Quest+,Armor,9380,15750,1hFlail_Quest_S04_03,,,,,,0,,,,,true,30,1,
95_s04_04_FightMage_success,,60,Quest,Armor,7500,11250,1hGauntletIce_Quest_S04_04,,,,,,0,,,,,true,15,1,
95_s04_05_RetrieveRune_success,,60,Quest,Weapons,7500,11250,Amulet_Quest_S04_05,,,,,,0,,,,,true,15,1,
95_s04_06_StopDevice_success,,60,Quest+,Weapons,9380,15750,2hGreatSword_Quest_S04_06,,,,,,0,,,,,true,30,1,
95_s04_07_WrapFrost_success,,60,Quest-,Armor,5630,4500,LightHead_Quest_S04_07,,,,,,0,,,,,true,7.5,1,
S04_GT_EXPD_01_success,,60,Quest+,Weapons,9380,15750,2hFireStaff_Quest_S04_EXPD,,,,,,0,,,,,true,30,1,
S04_GT_EXPD_RPT_success,,60,Quest,Armor,7500,11250,,,,,,,0,,,,,true,15,1,
95_s04_01_IceVarang_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_01_IceVarang_hint
95_s04_01_HearMorgaine_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_01_HearMorgaine_hint
95_s04_03_SelectPiece_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_SelectMove_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_01_MordredTracks1_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_01_MordredTracks1_hint
95_s04_01_MordredTracks2_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_01_MordredTracks3_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_01_MordredTracks4_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_01_MordredTracks4_hint
95_s04_01_RingPedestal_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_01_EmptyPedestal_hint
95_s04_01_ViewCinematic_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_Buildfire_A_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_Buildfire_B_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_Buildfire_C_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_Buildfire_D_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_Cyclic_Bonfire_1_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_Cyclic_Bonfire_2_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_Cyclic_Bonfire_3_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_Cyclic_Bonfire_4_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_CollectWood_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_Boat_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_03_Boat_hint
95_s04_03_Boat_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_ZanderMumbling_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_03_ZanderMumbling_hint
95_s04_03_FrozenStatues_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_03_FrozenStatues_hint
95_s04_04_PorticullisUnlocked_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_04_PorticullisUnlocked_hint
95_s04_05_CollectWinterRune_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_06_SeeFallsLore_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_06_SeeFallsLore_hint
95_s04_06_SeeFirstRune_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_06_SeeFirstRune_hint
95_s04_06_CollectFirstRune_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_06_CollectFirstRune_hint
95_s04_06_SeeEntrance_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_06_SeeEntrance_hint
95_s04_06_SeeLizardArt_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_06_SeeLizardArt_hint
95_s04_06_EnterMordredTrial_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_06_EnterMordredTrial_hint
95_s04_Q2_ShootRocket_A_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_ShootRocket_B_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_ShootRocket_C_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_Q2_ShootRocket_D_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_01_MordredPedestal_VLN,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_01_MordredPedestal_VLN
95_s04_06_MordredFallsNote_VLN,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_06_MordredFallsNote_VLN
95_s04_04_ArtoriusMissive_VLN,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_04_ArtoriusMissive_VLN
95_s04_02_DaichiSeals_VLN,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_02_DaichiSeals_VLN
95_s04_03_IdrisCrownStolen_VLN,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_03_IdrisCrownStolen_VLN
95_s04_04_Jehan_01_VLN,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_04_Jehan_01_VLN
