EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperId,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
1310_1314_L40Bow_Huntress_v2_Success,,50,Quest+,,,4340,14000,,2hBow_TheHuntressT4_V3,,,,,250,,,,,20,1,,,,,,,true
1310_1314_AncientWood_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1310_1314_WyrdwoodResin_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1310_1314_HawkFeathers_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1310_1314_LuckyRabbitsFoot_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1305_1315_L40FStaff_FalmeasWrath_v2_Success,,50,Quest+,,,4340,14000,,2hStaffFire_FalmeasWrathT4_V3,,,,,250,,,,,20,1,,,,,,,true
1305_1315_SingedBranches_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1305_1315_WyrdwoodAshes_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1305_1315_UnhallowedWater_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1305_1315_HeartofAllFlame_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1004_0103_Weapon_Keen_Temper_v2_success,,50,Quest+,,,4340,14000,,1hLongsword_KeenTemperT4_V3,,,,,250,,,,,20,1,,,,,,,true
1004_0103_QuenchingOil_Quest_success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1004_0103_HiltLeather_Quest_success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1004_0103_Grindstone_Quest_success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1004_0103_CaptainsBlade_Quest_success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
0204_0104_Executioner_lvl40_Weapon_v2_Success,,50,Quest+,,,4340,14000,,2hGreataxe_ExecutionerT4_V3,,,,,250,,,,,20,1,,,,,,,true
0204_0104_BucaneersPlank_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
0204_0104_HangmansBinding_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
0204_0104_BladeBrute_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
0204_0104_InfernalCoagulant_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
0203_0103_Hope_Manifest_lvl40_Weapon_v2_Success,,50,Quest+,,,4340,14000,,2hStaffLife_HopeManifestT4_V3,,,,,250,,,,,20,1,,,,,,,true
0203_0103_MendersCloth_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
0203_0103_SoothsayerSalve_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
0203_0103_MercysBreath_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
0203_0103_HopeCatalyst_Quest_Success,,50,Quest+,,,4340,14000,,,,,,,250,,,,,20,1,,,,,,,true
1002_0104_Shrouded_Intent_Gear_v2_success,,55,Quest+,,,4450,14875,,QuestReward_ArmorBox_ShroudedIntent,,,,,250,,,,,30,1,,,,,,,true
1002_0104_01_Boots_success,,40,Quest+,,,3570,12250,,,,,,,250,,,,,20,1,,,,,,,true
1002_0104_02_Coat_success,,44,Quest+,,,3890,12950,,,,,,,250,,,,,20,1,,,,,,,true
1002_0104_03_Pants_success,,48,Quest+,,,4190,13650,,,,,,,250,,,,,20,1,,,,,,,true
1002_0104_04_Gloves_success,,52,Quest+,,,4410,14350,,,,,,,250,,,,,20,1,,,,,,,true
1002_0104_05_Hat_success,,55,Quest+,,,4450,14875,,,,,,,250,,,,,30,1,,,,,,,true
1303_1311_Protective_Wyrd_Gear_v2_Success,,55,Quest+,,,4450,14875,,QuestReward_ArmorBox_ProtectiveWyrd,,,,,250,,,,,30,1,,,,,,,true
1303_1311_01_Shoes_Success,,40,Quest+,,,3570,12250,,,,,,,250,,,,,20,1,,,,,,,true
1303_1311_02_Shirt_Success,,44,Quest+,,,3890,12950,,,,,,,250,,,,,20,1,,,,,,,true
1303_1311_03_Pants_Success,,48,Quest+,,,4190,13650,,,,,,,250,,,,,20,1,,,,,,,true
1303_1311_04_Gloves_Success,,52,Quest+,,,4410,14350,,,,,,,250,,,,,20,1,,,,,,,true
1303_1311_05_Hat_Success,,55,Quest+,,,4450,14875,,,,,,,250,,,,,30,1,,,,,,,true
0205_0102_Battles_Embrace_Gear_v2_Success,,55,Quest+,,,4450,14875,,QuestReward_ArmorBox_BattlesEmbrace,,,,,250,,,,,30,1,,,,,,,true
0205_0102_01_Boots_Success,,40,Quest+,,,3570,12250,,,,,,,250,,,,,20,1,,,,,,,true
0205_0102_02_Breastplate_Success,,44,Quest+,,,3890,12950,,,,,,,250,,,,,20,1,,,,,,,true
0205_0102_03_Greaves_Success,,48,Quest+,,,4190,13650,,,,,,,250,,,,,20,1,,,,,,,true
0205_0102_04_Gauntlets_Success,,52,Quest+,,,4410,14350,,,,,,,250,,,,,20,1,,,,,,,true
0205_0102_05_Helm_Success,,55,Quest+,,,4450,14875,,,,,,,250,,,,,30,1,,,,,,,true
