EventID,GameEventType,Level,CreatureType,UniversalExpAmount,CurrencyReward,ItemReward,RewardNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance
0601_0101_culldrowned_success,,1,Quest,200,3875,Legs_DuelistT2,,120,,,,,,,,true,0,1
0601_0102_campandtools_success,,2,Quest-,170,1600,,,,,,,,,,,true,0,1
0601_0103_boarproblem_success,,3,Quest-,180,1650,QuestRewardArmor_StarterChest,,,,,,,,,,true,0,1
0601_0104_xmarksthespot_success,,4,Quest+,330,5950,2hBowT2,,110,,,,,,,,true,0,1
0601_0107_preciouscargo_success,,5,Quest+,875,6125,,,,,,,,,,,true,0,1
0601_0108_introtosettlement_success,,5,Quest,280,4375,,,,,,250,,,,,true,0,1
0625_0101_truffles_success,,5,Quest,280,4375,QuestRewardArmorL5,,,,,175,,,,,true,0,1
0604_0101_warnthemagistrate_success,,5,Quest-,210,1750,Head_DuelistT2,,125,,,175,,,,,true,0,1
0606_0102_hearthandhome_success,,5,Quest-,210,1750,1hHatchetT1,,100,,,100,,,,,true,0,1
0602_0102_intrototrader_success,,5,Quest-,210,1750,,,,,,100,,,,,true,0,1
0603_0102_introtooverseer_success,,5,Quest-,210,1750,1hPickT1,,100,,,100,,,,,true,0,1
0604_0104_overseersettlement_success,,6,Quest+,760,6300,QuestRewardArmorL4,,150,,,100,,,,,true,0,1
0604_0103_introtoartificer_success,,6,Quest-,230,1800,ArtificerResourceContainer1,,,,,#REF!,,,,,true,0,1
0605_0101_craftforartificer_success,,6,Quest-,230,1800,QuestRewardArmorL4,,155,,,100,,,,,true,0,1
0605_0102_campingunlock_success,,6,Quest-,230,1800,,,,Camping,1,100,,,,,true,0,1
0603_0201_survivalistquest_success,,7,Quest+,400,6475,2hWarhammer_QuestL5,,,,,100,,,,,true,0,1
0603_0202_returntomagistrate_success,,7,Quest-,240,1850,,,,,,250,,,,,true,0,1
0602_0202_introtoallfactions_success,,7,Quest-,240,1850,,,,,,100,,,,,true,0,1
0609_0103_timetochoose_success,,7,Quest-,240,1850,,,,,,100,,,,,true,0,1
0607_0101_marauderquest1_success,,8,Quest,390,4750,DyeB146,,,,,100,,,,,true,0,1
0608_0101_syndicatequest1_success,,8,Quest,390,4750,DyeB167,,,,,175,,,,,true,0,1
0609_0101_covenantquest1_success,,8,Quest,390,4750,DyeB139,,,,,175,,,,,true,0,1
0602_0401_factionhandoff_success,,9,Quest,460,4875,Amulet_TribalLoyaltyCharmT2,,200,,,175,,,,,true,100,1
0604_0501_encroachingcorruption_success,,9,Quest+,580,6825,QuestRewardWeaponsL9,,,,,175,,,,,true,100,1
0622_1501_intrototravel_success,,12,Quest,630,5250,BagAT1,,,,,250,,,,,true,500,1
0622_1502_returntravel_success,,12,Quest,630,5250,,,,,,175,,,,,true,0,1
0610_0101_apricklyrequest_success,,9,Quest+,580,6825,QuestRewardArmorL9,,,,,#N/A,,,,,true,0,1
