Level,RequiredCurrencyId,RequiredCurrencyQuantity
700,UmbralCurrency,5
701,UmbralCurrency,5
702,UmbralCurrency,5
703,UmbralCurrency,5
704,UmbralCurrency,5
705,UmbralCurrency,5
706,UmbralCurrency,5
707,UmbralCurrency,5
708,UmbralCurrency,5
709,UmbralCurrency,5
710,UmbralCurrency,5
711,UmbralCurrency,5
712,UmbralCurrency,5
713,UmbralCurrency,5
714,UmbralCurrency,5
715,UmbralCurrency,5
716,UmbralCurrency,5
717,UmbralCurrency,5
718,UmbralCurrency,5
719,UmbralCurrency,5
720,UmbralCurrency,5
721,UmbralCurrency,5
722,UmbralCurrency,5
723,UmbralCurrency,5
724,UmbralCurrency,5
725,UmbralCurrency,5
726,UmbralCurrency,5
727,UmbralCurrency,5
728,UmbralCurrency,5
729,UmbralCurrency,5
730,UmbralCurrency,5
731,UmbralCurrency,5
732,UmbralCurrency,5
733,UmbralCurrency,5
734,UmbralCurrency,5
735,UmbralCurrency,5
736,UmbralCurrency,5
737,UmbralCurrency,5
738,UmbralCurrency,5
739,UmbralCurrency,5
740,UmbralCurrency,5
741,UmbralCurrency,5
742,UmbralCurrency,5
743,UmbralCurrency,5
744,UmbralCurrency,5
745,UmbralCurrency,5
746,UmbralCurrency,5
747,UmbralCurrency,5
748,UmbralCurrency,5
749,UmbralCurrency,5
750,UmbralCurrency,5
751,UmbralCurrency,5
752,UmbralCurrency,5
753,UmbralCurrency,5
754,UmbralCurrency,5
755,UmbralCurrency,5
756,UmbralCurrency,5
757,UmbralCurrency,5
758,UmbralCurrency,5
759,UmbralCurrency,5
760,UmbralCurrency,5
761,UmbralCurrency,5
762,UmbralCurrency,5
763,UmbralCurrency,5
764,UmbralCurrency,5
765,UmbralCurrency,5
766,UmbralCurrency,5
767,UmbralCurrency,5
768,UmbralCurrency,5
769,UmbralCurrency,5
770,UmbralCurrency,5
771,UmbralCurrency,5
772,UmbralCurrency,5
773,UmbralCurrency,5
774,UmbralCurrency,5
775,UmbralCurrency,5
776,UmbralCurrency,5
777,UmbralCurrency,5
778,UmbralCurrency,5
779,UmbralCurrency,5
780,UmbralCurrency,5
781,UmbralCurrency,5
782,UmbralCurrency,5
783,UmbralCurrency,5
784,UmbralCurrency,5
785,UmbralCurrency,7
786,UmbralCurrency,10
787,UmbralCurrency,12
788,UmbralCurrency,15
789,UmbralCurrency,20
790,UmbralCurrency,24
791,UmbralCurrency,27
792,UmbralCurrency,31
793,UmbralCurrency,36
794,UmbralCurrency,40
795,UmbralCurrency,44
796,UmbralCurrency,49
797,UmbralCurrency,54
798,UmbralCurrency,62
799,UmbralCurrency,70
