VitalsID,DisplayName,VitalsCategories,Family,CreatureType,DifficultyTierOverride,NoExpNoCoin,CanDropLoot,DamageMod,HealthMin,HealthInitial,HealthMod,HealthOverridePercentSpellOwnerMaxHealth,PhysicalMitigation,ElementalMitigation,MinionVitalsId,BuffBuckets,BaseStaggerDamageOverride,BlockStaminaDamageOverride,HealthBaseTickRate,HealthRegenCappedBy,HealthRegenThresholds,HealthTickDelay,HealthFullyDepletedDelay,HealthLowerThreshold,HealthUpperThreshold,HealthUpdateIfDeathsDoor,HealthUpdateIfDead,BlockDamageMitigation,BlockStaminaCost,StaminaMin,StaminaBaseMax,StaminaInitial,StaminaBaseTickRate,StaminaRegenCappedBy,StaminaRegenThresholds,StaminaTickDelay,StaminaRegenDelay,StaminaRegenDelayOnEmpty,StaminaFullyDepletedDelay,StaminaLowerThreshold,StaminaUpperThreshold,StaminaUpdateIfDeathsDoor,StaminaUpdateIfDead,StaminaCostMitigation,MinMana,ManaBaseMax,ManaInitial,ManaBaseRegenRate,ManaRegenDelay,ManaRegenDelayOnEmpty,DeathsDoorTime,DeathsDoorDelay,HelpUpHealthPct,FoodMin,FoodBaseMax,FoodInitial,FoodBaseTickRate,FoodTickDelay,FoodFullyDepletedDelay,FoodLowerThreshold,FoodUpperThreshold,DrinkMin,DrinkInitial,DrinkBaseMax,DrinkBaseTickRate,DrinkTickDelay,DrinkFullyDepletedDelay,DrinkLowerThreshold,DrinkUpperThreshold,DamageCooldown,MaxDefenseMitigationPercent,AfflictionAbsorption,GameModeKillEventIds,GameModeAssistEventIds,WarKillEventId,WarAssistEventId,KillEventIdOverride,LootDropChance,IgnoreLootDropModifier,LootTableId,LootTags,IgnoreEffectCategories,DEFStandard,DEFSiege,DEFStrike,DEFSlash,DEFThrust,DEFArcane,DEFFire,DEFIce,DEFNature,DEFLightning,DEFCorruption,ABSStandard,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSArcane,ABSIce,ABSNature,ABSFire,ABSLightning,ABSCorruption,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,RESBlight,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLANature,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,ABABlight,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNArcane,WKNIce,WKNNature,WKNFire,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGArcane,DMGFire,DMGIce,DMGNature,DMGLightning,DMGCorruption,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,AFABlight,CharacterScale,IsMinion,ChainSpellImmune,MutatorDifficultyMod,MutatorPotencyMod,HealthPercentForLootContributionOverride
FL_Destructible_Wall_01,@FL_Destructible_Wall_01_VitalsName,Destructible_Wall_01_FL,,Critter,,,false,1,0,1,1,,0.35,0.35,,,,,10000,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,1,0,-1,-1,0,0,0,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
FL_Armored_Dragon,@FL_Armored_Dragon_VitalsName,"Armored_Dragon,Hostile,Beast,Predator",Wildlife,Solo+,,,true,1,0,1,1.5,,0.5,0.2,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,250,250,10,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.35,0,CreatureLootMaster,"Beast,Common",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,
FL_Armored_Dragon_Elite_Named_09FL01,@FL_Armored_Dragon_Elite_Named_09FL01_VitalsName,"FL_Armored_Dragon_Elite_Named_09FL01,Hostile,Beast,Predator,Named",Wildlife,Elite+,,,true,1,0,1,1.5,,0.5,0.2,,"RandomDefensiveBuff,RandomUtilityBuff,ChampionEliteBaseBuffs",,,0,0,,0,0,-1,-1,0,0,0,0,0,250,250,10,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.35,0,CreatureLootMaster,"Beast,Elite,Named,Beastlands00,GypsumBlack",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.6,,,,,0.01
FL_Armored_Dragon_09FL11,@FL_Armored_Dragon_09FL11_VitalsName,"Armored_Dragon,Hostile,Beast,Predator",Wildlife,Solo,,,true,1,0,1,1.5,,0.5,0.2,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,250,250,10,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.35,0,CreatureLootMaster,"Beast,Common",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,
FL_Armored_Dragon_Named_09FL11,@FL_Armored_Dragon_Named_09FL11_VitalsName,"Armored_Dragon,Hostile,Beast,Predator,Named",Wildlife,Named_Solo+,,,true,1,0,1,1.5,,0.5,0.2,,"RandomOffensiveBuff,RandomDefensiveBuff",,,0,0,,0,0,-1,-1,0,0,0,0,0,250,250,10,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.35,0,CreatureLootMaster,"Beast,Common,Named,Hornhold00",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,
FL_DH_Armored_Dragon_Named,@FL_DH_Armored_Dragon_Named_VitalsName,"Armored_Dragon,Hostile,Beast,Predator,Named",Wildlife,Elite,,,true,1,0,1,1,,0.5,0.2,,"RandomUtilityBuff,RandomDefensiveBuffNoResist",,,0,0,,0,0,-1,-1,0,0,0,0,0,250,250,10,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.35,0,CreatureLootMaster,"Beast,Common,Named,DH01,GypsumBlack",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,
FL_Chameleon,@FL_Chameleon_VitalsName,"Chameleon,Hostile,Beast,Predator",Wildlife,Solo,,,true,1,0,1,1.2,,0.35,0.35,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,250,250,2,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,0,CreatureLootMaster,"Beast,Common",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,0.7,,,,,
FL_Chameleon_09FL04b,@FL_Chameleon_09FL04b_VitalsName,"Chameleon,Hostile,Beast,Predator",Wildlife,Solo,,,true,1,0,1,1.2,,0.35,0.35,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,250,250,2,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,0,CreatureLootMaster,"Beast,Common",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,0.7,,,,,
FL_Chameleon_09FL09,@FL_Chameleon_09FL09_VitalsName,"Chameleon,Hostile,Beast,Predator",Wildlife,Solo,,,true,1,0,1,1.2,,0.35,0.35,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,250,250,2,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,0,CreatureLootMaster,"Beast,Common",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,0.7,,,,,
FL_Chameleon_Elite_09FL01,@FL_Chameleon_Elite_09FL01_VitalsName,"FL_Chameleon_Elite_09FL01,Hostile,Beast,Predator",Wildlife,Elite,,,true,1,0,1,1.2,,0.35,0.35,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,250,250,6,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,0,CreatureLootMaster,"Beast,Elite",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,0.8,,,,,
