VitalsID,DisplayName,VitalsCategories,Family,CreatureType,DifficultyTierOverride,NoExpNoCoin,CanDropLoot,DamageMod,HealthMin,HealthInitial,HealthMod,HealthOverridePercentSpellOwnerMaxHealth,PhysicalMitigation,ElementalMitigation,MinionVitalsId,BuffBuckets,BaseStaggerDamageOverride,BlockStaminaDamageOverride,HealthBaseTickRate,HealthRegenCappedBy,HealthRegenThresholds,HealthTickDelay,HealthFullyDepletedDelay,HealthLowerThreshold,HealthUpperThreshold,HealthUpdateIfDeathsDoor,HealthUpdateIfDead,BlockDamageMitigation,BlockStaminaCost,StaminaMin,StaminaBaseMax,StaminaInitial,StaminaBaseTickRate,StaminaRegenCappedBy,StaminaRegenThresholds,StaminaTickDelay,StaminaRegenDelay,StaminaRegenDelayOnEmpty,StaminaFullyDepletedDelay,StaminaLowerThreshold,StaminaUpperThreshold,StaminaUpdateIfDeathsDoor,StaminaUpdateIfDead,StaminaCostMitigation,MinMana,ManaBaseMax,ManaInitial,ManaBaseRegenRate,ManaRegenDelay,ManaRegenDelayOnEmpty,DeathsDoorTime,DeathsDoorDelay,HelpUpHealthPct,FoodMin,FoodBaseMax,FoodInitial,FoodBaseTickRate,FoodTickDelay,FoodFullyDepletedDelay,FoodLowerThreshold,FoodUpperThreshold,DrinkMin,DrinkInitial,DrinkBaseMax,DrinkBaseTickRate,DrinkTickDelay,DrinkFullyDepletedDelay,DrinkLowerThreshold,DrinkUpperThreshold,DamageCooldown,MaxDefenseMitigationPercent,AfflictionAbsorption,GameModeKillEventIds,GameModeAssistEventIds,WarKillEventId,WarAssistEventId,KillEventIdOverride,LootDropChance,IgnoreLootDropModifier,LootTableId,LootTags,IgnoreEffectCategories,DEFStandard,DEFSiege,DEFStrike,DEFSlash,DEFThrust,DEFArcane,DEFFire,DEFIce,DEFNature,DEFLightning,DEFCorruption,ABSStandard,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSArcane,ABSIce,ABSNature,ABSFire,ABSLightning,ABSCorruption,ABSRangedDamage,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,RESBlight,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLANature,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,ABABlight,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNArcane,WKNIce,WKNNature,WKNFire,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGArcane,DMGFire,DMGIce,DMGNature,DMGLightning,DMGCorruption,DMGAcid,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,AFABlight,CharacterScale,IsMinion,ChainSpellImmune,MutatorDifficultyMod,MutatorPotencyMod,HealthPercentForLootContributionOverride,VFXMustShow
Hercyne_Boar_Raid_CutlassKeys_00,@Hercyne_Boar_Raid_CutlassKeys_00_VitalsName,"Hercyne_Boar_Raid_CutlassKeys_00,Hostile,AngryEarth,Hercyne,Boar",AngryEarth,Raid10,,,true,1,0,1,1.2,,0.35,0.35,,"PromSoloEltBuff,Raid10_Trash_Buff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025,0.01,0,0,0,0.05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.2,,,,,,
Hercyne_Boar_Alpha_Raid_CutlassKeys_00,@Hercyne_Boar_Alpha_Raid_CutlassKeys_00_VitalsName,"Hercyne_Boar_Alpha_Raid_CutlassKeys_00,Hostile,AngryEarth,Hercyne,Boar",AngryEarth,Raid10+,,,true,1.2,0,1,1.2,,0.35,0.35,,"ChampionEliteBaseBuffs,RandomOffensiveBuff,RandomDefensiveBuff,RandomUtilityBuffNoSlime,Raid10_Trash_Buff,AINoReactionsBuff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,250,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025,0.01,0,0,0,0.05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,,
Hercyne_Boar_Named_Raid_CutlassKeys_00,@Hercyne_Boar_Alpha_Raid_CutlassKeys_00_VitalsName,"Hercyne_Boar_Alpha_Raid_CutlassKeys_00,Hostile,AngryEarth,Hercyne,Boar",AngryEarth,Raid10+,,,true,1.2,0,1,1.2,,0.35,0.35,,"ChampionEliteBaseBuffs,RandomOffensiveBuff,RandomDefensiveBuff,RandomUtilityBuffNoSlime,Raid10_Trash_Buff,AINoReactionsBuff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,250,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025,0.01,0,0,0,0.05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,,
Hercyne_Corvid_Raid_CutlassKeys_00,@Hercyne_Corvid_Raid_CutlassKeys_00_VitalsName,"Hercyne_Corvid_Raid_CutlassKeys_00,Hostile,AngryEarth,Hercyne,Corvid",AngryEarth,Raid10,2,,true,1,0,1,1.1,,0.35,0.35,,"PromSoloEltBuff,Raid10_Trash_Buff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025,0.01,0,0,0,0.05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,,,,,
Hercyne_Corvid_Alpha_Raid_CutlassKeys_00,@Hercyne_Corvid_Alpha_Raid_CutlassKeys_00_VitalsName,"Hercyne_Corvid_Alpha_Raid_CutlassKeys_00,Hostile,AngryEarth,Hercyne,Corvid",AngryEarth,Raid10+,2,,true,1,0,1,1.1,,0.35,0.35,,"ChampionEliteBaseBuffs,RandomOffensiveBuff,RandomDefensiveBuff,RandomUtilityBuffNoSlime,Raid10_Trash_Buff,AINoReactionsBuff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025,0.01,0,0,0,0.05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.2,,,,,,
Hercyne_Corvid_Named_Raid_CutlassKeys_00,@Hercyne_Corvid_Alpha_Raid_CutlassKeys_00_VitalsName,"Hercyne_Corvid_Alpha_Raid_CutlassKeys_00,Hostile,AngryEarth,Hercyne,Corvid",AngryEarth,Raid10+,2,,true,1,0,1,1.1,,0.35,0.35,,"ChampionEliteBaseBuffs,RandomOffensiveBuff,RandomDefensiveBuff,RandomUtilityBuffNoSlime,Raid10_Trash_Buff,AINoReactionsBuff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025,0.01,0,0,0,0.05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.2,,,,,,
Hercyne_Elephant_Raid_CutlassKeys_00,@Hercyne_Elephant_Raid_CutlassKeys_00_VitalsName,"Hercyne_Elephant_Raid_CutlassKeys_00,Hostile,AngryEarth,Hercyne,Wolf",AngryEarth,Raid10,2,,true,1,0,1,1,,0.35,0.35,,"PromSoloEltBuff,Raid10_Trash_Buff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,250,250,2,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025,0.01,0,0,0,0.05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,,
Hercyne_Elephant_Named_Raid_CutlassKeys_00,@Hercyne_Elephant_Raid_CutlassKeys_00_VitalsName,"Hercyne_Elephant_Raid_CutlassKeys_00,Hostile,AngryEarth,Hercyne,Wolf",AngryEarth,Raid10+,2,,true,1,0,1,1,,0.35,0.35,,"ChampionEliteBaseBuffs,RandomOffensiveBuff,RandomDefensiveBuff,RandomUtilityBuffNoSlime,Raid10_Trash_Buff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,250,250,2,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025,0.01,0,0,0,0.05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.5,,,,,,
Hercyne_Gorilla_Raid_CutlassKeys_00,@Hercyne_Gorilla_Raid_CutlassKeys_00_VitalsName,"Hercyne_Gorilla_Raid_CutlassKeys_00,Hostile,AngryEarth,Hercyne,Wolf",AngryEarth,Raid10,2,,true,1,0,1,1,,0.35,0.35,,"PromSoloEltBuff,Raid10_Trash_Buff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025,0.01,0,0,0,0.05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.7,,,,,,
Hercyne_Gorilla_Named_Raid_CutlassKeys_00,@Hercyne_Gorilla_Raid_CutlassKeys_00_VitalsName,"Hercyne_Gorilla_Raid_CutlassKeys_00,Hostile,AngryEarth,Hercyne,Wolf",AngryEarth,Raid10+,2,,true,1,0,1,1,,0.35,0.35,,"ChampionEliteBaseBuffs,RandomOffensiveBuff,RandomDefensiveBuff,RandomUtilityBuffNoSlime,Raid10_Trash_Buff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025,0.01,0,0,0,0.05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,2,,,,,,
