VitalsID,DisplayName,VitalsCategories,Family,CreatureType,DifficultyTierOverride,NoExpNoCoin,CanDropLoot,DamageMod,HealthMin,HealthInitial,HealthMod,HealthOverridePercentSpellOwnerMaxHealth,PhysicalMitigation,ElementalMitigation,MinionVitalsId,BuffBuckets,BaseStaggerDamageOverride,BlockStaminaDamageOverride,HealthBaseTickRate,HealthRegenCappedBy,HealthRegenThresholds,HealthTickDelay,HealthFullyDepletedDelay,HealthLowerThreshold,HealthUpperThreshold,HealthUpdateIfDeathsDoor,HealthUpdateIfDead,BlockDamageMitigation,BlockStaminaCost,StaminaMin,StaminaBaseMax,StaminaInitial,StaminaBaseTickRate,StaminaRegenCappedBy,StaminaRegenThresholds,StaminaTickDelay,StaminaRegenDelay,StaminaRegenDelayOnEmpty,StaminaFullyDepletedDelay,StaminaLowerThreshold,StaminaUpperThreshold,StaminaUpdateIfDeathsDoor,StaminaUpdateIfDead,StaminaCostMitigation,MinMana,ManaBaseMax,ManaInitial,ManaBaseRegenRate,ManaRegenDelay,ManaRegenDelayOnEmpty,DeathsDoorTime,DeathsDoorDelay,HelpUpHealthPct,FoodMin,FoodBaseMax,FoodInitial,FoodBaseTickRate,FoodTickDelay,FoodFullyDepletedDelay,FoodLowerThreshold,FoodUpperThreshold,DrinkMin,DrinkInitial,DrinkBaseMax,DrinkBaseTickRate,DrinkTickDelay,DrinkFullyDepletedDelay,DrinkLowerThreshold,DrinkUpperThreshold,DamageCooldown,MaxDefenseMitigationPercent,AfflictionAbsorption,GameModeKillEventIds,GameModeAssistEventIds,WarKillEventId,WarAssistEventId,KillEventIdOverride,LootDropChance,IgnoreLootDropModifier,LootTableId,LootTags,IgnoreEffectCategories,DEFStandard,DEFSiege,DEFStrike,DEFSlash,DEFThrust,DEFArcane,DEFFire,DEFIce,DEFNature,DEFLightning,DEFCorruption,ABSStandard,ABSAcid,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSArcane,ABSIce,ABSNature,ABSFire,ABSLightning,ABSCorruption,ABSRangedDamage,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,RESBlight,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLANature,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,ABABlight,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNArcane,WKNIce,WKNNature,WKNFire,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGArcane,DMGFire,DMGIce,DMGNature,DMGLightning,DMGCorruption,DMGAcid,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,AFABlight,CharacterScale,IsMinion,ChainSpellImmune,MutatorDifficultyMod,MutatorPotencyMod,HealthPercentForLootContributionOverride,VFXMustShow,IgnoredAbilityConditions
YsGuardian,@YsGuardian_VitalsName,"YsGuardian,Hostile,Undead,Lost",Lost,Solo+,,,false,1,0,1,0.4,,0.2,0.35,,,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,FALSE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
IoN_Lost_PalatineGuard_Shield,@IoN_Lost_PalatineGuard_Shield_VitalsName,"IoN_Lost_PalatineGuard_Shield,Hostile,Undead,Lost",Lost,Raid10+,,,false,0.7,0,1,10,,0.4,0.4,,"RendResilience_50_Buff,WeakenResilience_66_Buff,DoTResilience_10_Buff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,1,0.8,0,200,200,0,0,,1,0,0,3,-1,-1,0,0,0.6,0,1,1,0,0,0,-1,0.5,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,FALSE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,2.4,,,,,,true,
IoN_Lost_PalatineGuard_Halberd,@IoN_Lost_PalatineGuard_Halberd_VitalsName,"IoN_Lost_PalatineGuard_Halberd,Hostile,Undead,Lost",Lost,Raid10+,,,false,0.7,0,1,8.8,,0.4,0.4,,"RendResilience_50_Buff,WeakenResilience_66_Buff,DoTResilience_10_Buff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,-1,0.5,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,FALSE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,2.2,,,,,,true,
IoN_Lost_PalatineGuard_Swordsman,@IoN_Lost_PalatineGuard_Swordsman_VitalsName,"IoN_Lost_PalatineGuard_Swordsman,Hostile,Undead,Lost",Lost,Raid10+,,,false,0.7,0,1,6.6,,0.4,0.4,,"RendResilience_50_Buff,WeakenResilience_66_Buff,DoTResilience_10_Buff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,175,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,-1,0.5,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,FALSE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,2.1,,,,,,true,
IoN_Lost_PalatineGuard_Archer,@IoN_Lost_PalatineGuard_Archer_VitalsName,"IoN_Lost_PalatineGuard_Archer,Hostile,Undead,Lost",Lost,Raid10+,,,false,0.7,0,1,7.8,,0.4,0.4,,"RendResilience_50_Buff,WeakenResilience_66_Buff,DoTResilience_10_Buff",,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,-1,0.5,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,FALSE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,2,,,,,,true,
IoN_Lost_FeralGhoul,@IoN_Lost_FeralGhoul_VitalsName,"IoN_Lost_FeralGhoul,Hostile,Lost",Lost,Raid10,,true,false,0.8,0,1,1.3,,0.35,0.45,,Raid10_Trash_Buff,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,1,0,0,3,-1,-1,0,0,0.6,0,100,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,1,FALSE,,,,,,,,,,,,,,,,-10,-15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,,,
IoN_Lost_Bloodbeast,@IoN_Lost_Bloodbeast_VitalsName,"IoN_Lost_Bloodbeast,Hostile,Lost",Lost,Raid10,,true,false,0.8,0,1,1.3,,0.35,0.45,,Raid10_Trash_Buff,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,1,0,0,3,-1,-1,0,0,0.6,0,100,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,1,FALSE,,,,,,,,,,,,,,,,-10,-15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.2,,,,,,,
IoN_Lost_Bloodbeast_stronghold,@IoN_Lost_Bloodbeast_VitalsName,"IoN_Lost_Bloodbeast,Hostile,Lost",Lost,Raid10-,,true,false,1,0,1,0.7,,0.35,0.45,,,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,1,0,0,3,-1,-1,0,0,0.6,0,100,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,1,FALSE,,,,,,,,,,,,,,,,-10,-15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.2,,,,,,,
IoN_Lost_SoulHarvester,@IoN_Lost_SoulHarvester_VitalsName,"IoN_Lost_SoulHarvester,Hostile,Lost",Lost,Raid10,,true,false,1.2,0,1,1.2,,0.35,0.45,,,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,1,0,0,3,-1,-1,0,0,0.6,0,100,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,1,FALSE,,,,,,,,,,,,,,,,-10,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.1,0.1,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.2,,,,,,,
IoN_Lost_Ghastly_Villager_Shovel,@IoN_Lost_Ghastly_Villager_Shovel_VitalsName,"IoN_Lost_Ghastly_Villager_Shovel,Hostile,Lost",Lost,Raid10,,true,false,0.8,0,1,1.3,,0.35,0.45,,Raid10_Trash_Buff,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,FALSE,,,,,,,,,,,,,,,,-10,-15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,,,
IoN_Lost_Ghastly_Sniper,@IoN_Lost_Ghastly_Sniper_VitalsName,"Ghastly_Sniper,Hostile,Lost",Lost,Raid10,,true,false,0.85,0,1,1.3,,0.35,0.45,,Raid10_Trash_Buff,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,FALSE,,,,,,,,,,,,,,,,-10,-15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,,,
IoN_Lost_Ghastly_Villager_Hatchet,@IoN_Lost_Ghastly_Villager_Hatchet_VitalsName,"IoN_Lost_Ghastly_Villager_Hatchet,Hostile,Lost",Lost,Raid10,,true,false,0.6,0,1,1.3,,0.35,0.45,,Raid10_Trash_Buff,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,FALSE,,,,,,,,,,,,,,,,-10,-15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.13,0.13,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,,,
IoN_Lost_Ghastly_Villager_Hatchet_stronghold,@IoN_Lost_Ghastly_Villager_Hatchet_VitalsName,"IoN_Lost_Ghastly_Villager_Hatchet,Hostile,Lost",Lost,Raid10-,,true,false,1,0,1,0.7,,0.35,0.45,,,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,FALSE,,,,,,,,,,,,,,,,-10,-15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.13,0.13,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,,,
IoN_Lost_Cryptkeeper,@IoN_Lost_Cryptkeeper_VitalsName,"IoN_Lost_Cryptkeeper,Hostile,Lost",Lost,Raid10,,true,false,0.8,0,1,1.3,,0.35,0.45,,Raid10_Trash_Buff,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,FALSE,,,,,,,,,,,,,,,,-10,-15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.3,,,,,,,
IoN_Lost_MutatedNurse,@IoN_Lost_MutatedNurse_VitalsName,"IoN_Lost_MutatedNurse,Hostile,Lost",Lost,Raid10,,true,false,1.1,0,1,1.3,,0.35,0.45,,,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,1,0,0,3,-1,-1,0,0,0.6,0,100,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,1,FALSE,,,,,,,,,,,,,,,,-10,-15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,,,
IoN_Lost_Undead_Naga,@IoN_Lost_Undead_Naga_VitalsName,"IoN_Lost_Undead_Naga,Hostile,Lost",Lost,Raid10,,true,false,0.8,0,1,1.3,,0.35,0.45,,Raid10_Trash_Buff,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,1,0,0,3,-1,-1,0,0,0.6,0,100,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,1,FALSE,,,,,,,,,,,,,,,,-10,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.1,0.1,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.3,,,,,,,
IoN_Lost_MummifiedCorpse,@IoN_Lost_MummifiedCorpse_VitalsName,"IoN_Lost_MummifiedCorpse,Hostile,Lost",Lost,Raid10,,true,false,1,0,1,1.3,,0.35,0.45,,,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,FALSE,,,,,,,,,,,,,,,,-10,-15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.1,0.1,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.3,,,,,,,
IoN_Lost_Brute,@IoN_Lost_Brute_VitalsName,"IoN_Lost_Brute,Hostile,Lost,Undead,Pirate",Lost,Raid10,,true,false,0.8,0,1,1.3,,0.35,0.45,,Raid10_Trash_Buff,,,500,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.55,FALSE,,,,,,,,,,,,,,,,-10,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,,,,,,
IoN_Lost_Monarch,@IoN_Lost_Monarch_VitalsName,"IoN_Lost_Monarch,Hostile,Lost,Undead,Pirate",Lost,Solo-,,true,false,0.7,0,1,0.05,,0.35,0.45,,Raid10_Trash_Buff,,,500,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.55,FALSE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.2,,,,,,,
IoN_Lost_Withered_Grunt,@IoN_Lost_Withered_Grunt_VitalsName,"IoN_Lost_Withered_Grunt,Hostile,Lost",Lost,Raid10,,true,false,0.7,0,1,1.3,,0.35,0.45,,Raid10_Trash_Buff,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,1,0,0,3,-1,-1,0,0,0.6,0,100,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,1,FALSE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.2,,,,,,,
IoN_Lost_Knight_Bow,@IoN_Lost_Knight_Bow_VitalsName,"IoN_Lost_Knight_Bow,Hostile,Lost",Lost,Raid10,,true,false,0.8,0,1,1.3,,0.35,0.45,,Raid10_Trash_Buff,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,0,0,0,0,0,0,0,,1,0,0,3,-1,-1,0,0,0.6,0,100,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,1,FALSE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,,,
IoN_Lost_Knight_Tank,@IoN_Lost_Knight_Tank_VitalsName,"IoN_Lost_Knight_Tank,Hostile,Lost",Lost,Raid10,,true,false,0.8,0,1,1.3,,0.35,0.45,,Raid10_Trash_Buff,,,0,0,Health;100:0;75:50;50:200;25:350;10:500;0.1:500;0:0,120,0,-1,-1,0,0,1,0.8,0,50,50,2,0,,1,0,0,3,-1,-1,0,0,0.6,0,100,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,1,FALSE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0,0,0,0.015,0.05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.4,,,,,,,
