VitalsID,DisplayName,VitalsCategories,Family,CreatureType,DifficultyTierOverride,NoExpNoCoin,CanDropLoot,DamageMod,HealthMin,HealthInitial,HealthMod,HealthOverridePercentSpellOwnerMaxHealth,PhysicalMitigation,ElementalMitigation,MinionVitalsId,BuffBuckets,BaseStaggerDamageOverride,BlockStaminaDamageOverride,HealthBaseTickRate,HealthRegenCappedBy,HealthRegenThresholds,HealthTickDelay,HealthFullyDepletedDelay,HealthLowerThreshold,HealthUpperThreshold,HealthUpdateIfDeathsDoor,HealthUpdateIfDead,BlockDamageMitigation,BlockStaminaCost,StaminaMin,StaminaBaseMax,StaminaInitial,StaminaBaseTickRate,StaminaRegenCappedBy,StaminaRegenThresholds,StaminaTickDelay,StaminaRegenDelay,StaminaRegenDelayOnEmpty,StaminaFullyDepletedDelay,StaminaLowerThreshold,StaminaUpperThreshold,StaminaUpdateIfDeathsDoor,StaminaUpdateIfDead,StaminaCostMitigation,MinMana,ManaBaseMax,ManaInitial,ManaBaseRegenRate,ManaRegenDelay,ManaRegenDelayOnEmpty,DeathsDoorTime,DeathsDoorDelay,HelpUpHealthPct,FoodMin,FoodBaseMax,FoodInitial,FoodBaseTickRate,FoodTickDelay,FoodFullyDepletedDelay,FoodLowerThreshold,FoodUpperThreshold,DrinkMin,DrinkInitial,DrinkBaseMax,DrinkBaseTickRate,DrinkTickDelay,DrinkFullyDepletedDelay,DrinkLowerThreshold,DrinkUpperThreshold,DamageCooldown,MaxDefenseMitigationPercent,AfflictionAbsorption,GameModeKillEventIds,GameModeAssistEventIds,WarKillEventId,WarAssistEventId,KillEventIdOverride,LootDropChance,IgnoreLootDropModifier,LootTableId,LootTags,IgnoreEffectCategories,IgnoredAbilityConditions,DEFStandard,DEFSiege,DEFStrike,DEFSlash,DEFThrust,DEFArcane,DEFFire,DEFIce,DEFNature,DEFLightning,DEFCorruption,ABSStandard,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSArcane,ABSIce,ABSNature,ABSFire,ABSLightning,ABSCorruption,ABSRangedDamage,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,RESBlight,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLANature,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,ABABlight,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNArcane,WKNIce,WKNNature,WKNFire,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGArcane,DMGFire,DMGIce,DMGNature,DMGLightning,DMGCorruption,DMGAcid,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,AFABlight,CharacterScale,IsMinion,ChainSpellImmune,MutatorDifficultyMod,MutatorPotencyMod,HealthPercentForLootContributionOverride,VFXMustShow
WB_Mammoth_FL_Mahantaram,@WB_Mammoth_FL_Mahantaram_VitalsName,"WB_Mammoth_FL_Mahantaram,Hostile,Beast,Predator,WorldBoss",Wildlife,Boss+,,true,false,0.9,0,1,6.65,,0.45,0.4,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,0.1,0,CreatureLootMaster,"Beast,Elite,Named",BossDebuff,"GlobalPerk_Ability_Sword_ReverseStab,GlobalPerk_Artifact_Set1_MediumHands",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.5,,,,,,true
WB_Mammoth_FL_Mahantaram_Focus,@FL_Mammoth_Boss_DG_FirstLight_01_Focus_VitalsName,"WB_Mammoth_FL_Mahantaram_Focus,Hostile",Wildlife,Boss+,,true,false,1,0,1,6.65,,0.45,0.4,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,,0,,,BossDebuff,"GlobalPerk_Ability_Sword_ReverseStab,GlobalPerk_Artifact_Set1_MediumHands",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1.5,,,,,,true
WB_Mammoth_FL_Mahantaram_Root_Arcane,@FL_Mammoth_Boss_Earth_Root_Arcane_VitalsName,"WB_Mammoth_FL_Mahantaram_Root_Arcane,Hostile,Beast,Predator,Structure",Wildlife,Elite+,,true,false,1,0,1,0.67,,0.25,0.35,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,,0,,,,"GlobalPerk_Ability_Sword_ReverseStab,GlobalPerk_Artifact_Set1_MediumHands",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,true,,,0,,
WB_Mammoth_FL_Mahantaram_Root_Fire,@FL_Mammoth_Boss_Earth_Root_Fire_VitalsName,"WB_Mammoth_FL_Mahantaram_Root_Fire,Hostile,Beast,Predator,Structure",Wildlife,Elite+,,true,false,1,0,1,0.67,,0.25,0.35,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,,0,,,,"GlobalPerk_Ability_Sword_ReverseStab,GlobalPerk_Artifact_Set1_MediumHands",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0,0,0,0.15,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,true,,,0,,
WB_Mammoth_FL_Mahantaram_Root_Ice,@FL_Mammoth_Boss_Earth_Root_Ice_VitalsName,"WB_Mammoth_FL_Mahantaram_Root_Ice,Hostile,Beast,Predator,Structure",Wildlife,Elite+,,true,false,1,0,1,0.67,,0.25,0.35,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,,0,,,,"GlobalPerk_Ability_Sword_ReverseStab,GlobalPerk_Artifact_Set1_MediumHands",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0,0,0,0,0,0.15,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,true,,,0,,
WB_Mammoth_FL_Mahantaram_Root_Lightning,@FL_Mammoth_Boss_Earth_Root_Lightning_VitalsName,"WB_Mammoth_FL_Mahantaram_Root_Lightning,Hostile,Beast,Predator,Structure",Wildlife,Elite+,,true,false,1,0,1,0.67,,0.25,0.35,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,,0,,,,"GlobalPerk_Ability_Sword_ReverseStab,GlobalPerk_Artifact_Set1_MediumHands",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0,0,0,0,0.15,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,true,,,0,,
WB_Mammoth_FL_Mahantaram_Root_Void,@FL_Mammoth_Boss_Earth_Root_Void_VitalsName,"WB_Mammoth_FL_Mahantaram_Root_Void,Hostile,Beast,Predator,Structure",Wildlife,Elite+,,true,false,1,0,1,0.67,,0.25,0.35,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,,0,,,,"GlobalPerk_Ability_Sword_ReverseStab,GlobalPerk_Artifact_Set1_MediumHands",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,true,,,0,,
WB_Mammoth_FL_Mahantaram_Void_Ball,@FL_Mammoth_Boss_DG_FirstLight_01_Void_Ball_VitalsName,"WB_Mammoth_FL_Mahantaram_Void_Ball,Hostile",Wildlife,Elite-,,true,false,1,0,1,1.33,,0.4,0.2,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,,FALSE,,,,"GlobalPerk_Ability_Sword_ReverseStab,GlobalPerk_Artifact_Set1_MediumHands",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,true,,,0,,true
WB_Mammoth_FL_Mahantaram_Void_Ball_Empowered,@FL_Mammoth_Boss_DG_FirstLight_01_Void_Ball_Empowered_VitalsName,"WB_Mammoth_FL_Mahantaram_Void_Ball_Empowered,Hostile",Wildlife,Elite,,true,false,1,0,1,1.33,,0.4,0.2,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,,FALSE,,,,"GlobalPerk_Ability_Sword_ReverseStab,GlobalPerk_Artifact_Set1_MediumHands",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,true,,,0,,true
WB_Mammoth_FL_Mahantaram_Minion,@WB_Mammoth_FL_Mahantaram_Minion_VitalsName,"WB_Mammoth_FL_Mahantaram_Minion,Hostile,Beast,Predator,Mammoth",Wildlife,Elite,,true,false,1,0,1,2.4,,0.35,0.35,,,,,0,0,,0,0,-1,-1,0,0,0,0,0,250,250,10,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,,0,,,,"GlobalPerk_Ability_Sword_ReverseStab,GlobalPerk_Artifact_Set1_MediumHands",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,,,0,,
