TowerID,Name,Description,CaptureTimeInSeconds,CaptureTimeMinimum,CaptureMaxPlayerDelta
Cutlass_Keys_Tower_01,@Cutlass_Keys_Tower_01,@generic_influence_tower_description,120,75,5
Cutlass_Keys_Tower_02,@Cutlass_Keys_Tower_02,@generic_influence_tower_description,120,75,5
Cutlass_Keys_Tower_03,@Cutlass_Keys_Tower_03,@generic_influence_tower_description,120,75,5
Windsward_Tower_01,@Windsward_Tower_01,@generic_influence_tower_description,120,75,5
Windsward_Tower_02,@Windsward_Tower_02,@generic_influence_tower_description,120,75,5
Windsward_Tower_03,@Windsward_Tower_03,@generic_influence_tower_description,120,75,5
Monarchs_Bluff_Tower_01,@Monarchs_Bluff_Tower_01,@generic_influence_tower_description,120,75,5
Monarchs_Bluff_Tower_02,@Monarchs_Bluff_Tower_02,@generic_influence_tower_description,120,75,5
Monarchs_Bluff_Tower_03,@Monarchs_Bluff_Tower_03,@generic_influence_tower_description,120,75,5
Everfall_Tower_01,@Everfall_Tower_01,@generic_influence_tower_description,120,75,5
Everfall_Tower_02,@Everfall_Tower_02,@generic_influence_tower_description,120,75,5
Everfall_Tower_03,@Everfall_Tower_03,@generic_influence_tower_description,120,75,5
Ebonscale_Reach_Tower_01,@Ebonscale_Reach_Tower_01,@generic_influence_tower_description,120,75,5
Ebonscale_Reach_Tower_02,@Ebonscale_Reach_Tower_02,@generic_influence_tower_description,120,75,5
Ebonscale_Reach_Tower_03,@Ebonscale_Reach_Tower_03,@generic_influence_tower_description,120,75,5
Weavers_Fen_Tower_01,@Weavers_Fen_Tower_01,@generic_influence_tower_description,120,75,5
Weavers_Fen_Tower_02,@Weavers_Fen_Tower_02,@generic_influence_tower_description,120,75,5
Weavers_Fen_Tower_03,@Weavers_Fen_Tower_03,@generic_influence_tower_description,120,75,5
Reekwater_Tower_01,@Reekwater_Tower_01,@generic_influence_tower_description,120,75,5
Reekwater_Tower_02,@Reekwater_Tower_02,@generic_influence_tower_description,120,75,5
Reekwater_Tower_03,@Reekwater_Tower_03,@generic_influence_tower_description,120,75,5
Restless_Shore_Tower_01,@Restless_Shore_Tower_01,@generic_influence_tower_description,120,75,5
Restless_Shore_Tower_02,@Restless_Shore_Tower_02,@generic_influence_tower_description,120,75,5
Restless_Shore_Tower_03,@Restless_Shore_Tower_03,@generic_influence_tower_description,120,75,5
Brightwood_Tower_01,@Brightwood_Tower_01,@generic_influence_tower_description,120,75,5
Brightwood_Tower_02,@Brightwood_Tower_02,@generic_influence_tower_description,120,75,5
Brightwood_Tower_03,@Brightwood_Tower_03,@generic_influence_tower_description,120,75,5
Mourningdale_Tower_01,@Mourningdale_Tower_01,@generic_influence_tower_description,120,75,5
Mourningdale_Tower_02,@Mourningdale_Tower_02,@generic_influence_tower_description,120,75,5
Mourningdale_Tower_03,@Mourningdale_Tower_03,@generic_influence_tower_description,120,75,5
Brimstone_Sands_Tower_01,@Brimstone_Sands_Tower_01,@generic_influence_tower_description,120,75,5
Brimstone_Sands_Tower_02,@Brimstone_Sands_Tower_02,@generic_influence_tower_description,120,75,5
Brimstone_Sands_Tower_03,@Brimstone_Sands_Tower_03,@generic_influence_tower_description,120,75,5
Edengrove_Tower_01,@Edengrove_Tower_01,@generic_influence_tower_description,120,75,5
Edengrove_Tower_02,@Edengrove_Tower_02,@generic_influence_tower_description,120,75,5
Edengrove_Tower_03,@Edengrove_Tower_03,@generic_influence_tower_description,120,75,5
Great_Cleave_Tower_01,@Great_Cleave_Tower_01,@generic_influence_tower_description,120,75,5
Great_Cleave_Tower_02,@Great_Cleave_Tower_02,@generic_influence_tower_description,120,75,5
Great_Cleave_Tower_03,@Great_Cleave_Tower_03,@generic_influence_tower_description,120,75,5
