IncentiveID,ActivityTypes,IncentiveType,Role,RewardBelowMaxLvl_GameEvent,RewardAtMaxLvl_GameEvent,DailyLimit,IsDisabled
Vanilla_RandomExpedition,Dungeon,RandomQueue,,PUGFinder_Expedition_DailyRandomCache_BelowMaxLvl,PUGFinder_Expedition_DailyRandomCache_AtMaxLvl,3,
Expedition_TankIncentive,Dungeon,Role,Tank,PUGFinder_Expedition_RoleInDemand_Cache_AtMaxLvl,PUGFinder_Expedition_RoleInDemand_Cache_AtMaxLvl,0,
Expedition_HealerIncentive,Dungeon,Role,Healer,PUGFinder_Expedition_RoleInDemand_Cache_AtMaxLvl,PUGFinder_Expedition_RoleInDemand_Cache_AtMaxLvl,0,
Expedition_DebugIncentive,Dungeon,Role,DPS,PUGFinder_Expedition_RoleInDemand_Cache_AtMaxLvl,PUGFinder_Expedition_RoleInDemand_Cache_AtMaxLvl,99,true
Expedition_CarryReward,Dungeon,Carry,,PUGFinder_Expedition_Carry_Cache,PUGFinder_Expedition_Carry_Cache,0,
Mutated_RandomExpedition,Mutation,RandomQueue,,PUGFinder_MutatedExpedition_DailyRandomCache,PUGFinder_MutatedExpedition_DailyRandomCache,3,
Mutated_TankIncentive,Mutation,Role,Tank,PUGFinder_MutatedExpedition_RoleInDemand_Cache,PUGFinder_MutatedExpedition_RoleInDemand_Cache,0,
Mutated_HealerIncentive,Mutation,Role,Healer,PUGFinder_MutatedExpedition_RoleInDemand_Cache,PUGFinder_MutatedExpedition_RoleInDemand_Cache,0,
Mutated_DebugIncentive,Mutation,Role,DPS,PUGFinder_MutatedExpedition_RoleInDemand_Cache,PUGFinder_MutatedExpedition_RoleInDemand_Cache,99,true
Mutated_CarryReward,Mutation,Carry,,PUGFinder_MutatedExpedition_Carry_Cache,PUGFinder_MutatedExpedition_Carry_Cache,0,
