RoomId,FeatureId,RoomType,StartingState,AliasCategory1,AliasTag1,AliasCategory2,AliasTag2,AliasCategory3,AliasTag3,AliasCategory4,AliasTag4,IsRoomPassable,RoomPassthroughCost,ImguiColor,Curse,Theme,IGC_ID
StartRoom,Catacombs,EncounterStart,StateEnter,EncounterStart,,,,,,,,,,"0.2,0.4,0.2,1",,,
BossRoom,Catacombs,EncounterBoss,StateBoss,EncounterBoss,"Boss,Catacombs",,,,,,,,,"0.5,0.15,0.15,1",,,
NamedRoom,Catacombs,EncounterNamedEnemy,StateNamedEnemy,EncounterNamedEnemy,,,,,,,,true,3,"0.25,0.25,0.4,1",,,
GateRoom,Catacombs,EncounterGate,StateGate,EncounterGate,,,,,,,,,,"0.4,0.3,0.2,1",,,
KeyRoom,Catacombs,EncounterKey,StateKey,EncounterKey,,,,,,,,true,5,"0.4,0.35,0.15,1",,,
HazardRoom,Catacombs,EncounterHazard,StateHazard,EncounterHazard,,,,,,,,true,2,"0.45,0.25,0.1,1",,,
HallwayRoom,Catacombs,Hallway,StateHallway,Hallway,,,,,,,,true,1,"0.3,0.3,0.3,1",,,
ParkourRoom,Catacombs,Parkour,StateParkour,Parkour,,,,,,,,true,2,"0.2,0.3,0.4,1",,,
RewardRoom,Catacombs,Reward,StateReward,Reward,,,,,,,,true,2,"0.3,0.2,0.4,1",,,
UTStartRoom,UnitTesting_Catacombs,EncounterStart,StateEnter,EncounterStart,,,,,,,,,,"0.2,0.4,0.2,1",,,
UTBossRoom,UnitTesting_Catacombs,EncounterBoss,StateBoss,EncounterBoss,"Boss,Catacombs",,,,,,,,,"0.5,0.15,0.15,1",,,
UTNamedRoom,UnitTesting_Catacombs,EncounterNamedEnemy,StateNamedEnemy,EncounterNamedEnemy,,,,,,,,true,3,"0.25,0.25,0.4,1",,,
UTGateRoom,UnitTesting_Catacombs,EncounterGate,StateGate,EncounterGate,,,,,,,,,,"0.4,0.3,0.2,1",,,
UTKeyRoom,UnitTesting_Catacombs,EncounterKey,StateKey,EncounterKey,,,,,,,,true,5,"0.4,0.35,0.15,1",,,
UTHazardRoom,UnitTesting_Catacombs,EncounterHazard,StateHazard,EncounterHazard,,,,,,,,true,2,"0.45,0.25,0.1,1",,,
UTHallwayRoom,UnitTesting_Catacombs,Hallway,StateHallway,Hallway,,,,,,,,true,1,"0.3,0.3,0.3,1",,,
UTParkourRoom,UnitTesting_Catacombs,Parkour,StateParkour,Parkour,,,,,,,,true,2,"0.2,0.3,0.4,1",,,
UTRewardRoom,UnitTesting_Catacombs,Reward,StateReward,Reward,,,,,,,,true,2,"0.3,0.2,0.4,1",,,
