AchievementID,AchievementIndex,Category,GameEventId,"New AchivementIndex values must increase, current maximum is",4121,AchivementsIndex &gt; 8000 will require a code change!
Map_Unlock_1,0,Map,Read_LoreItem,,,
Map_Unlock_2,1,Map,Read_LoreItem,,,
Map_Unlock_3,2,Map,Read_LoreItem,,,
Lore_Unlock_1,3,Journal,Read_LoreItem,,,
Lore_Unlock_2,4,Journal,Read_LoreItem,,,
Lore_Unlock_3,5,Journal,Read_LoreItem,,,
Lore_Unlock_4,6,Journal,Read_LoreItem,,,
Lore_Unlock_5,7,Journal,Read_LoreItem,,,
Lore_Unlock_6,8,Journal,Read_LoreItem,,,
Map_Unlock_4,9,Map,Read_LoreItem,,,
Map_Unlock_5,10,Map,Read_LoreItem,,,
Map_Unlock_6,11,Map,Read_LoreItem,,,
Lore_Unlock_BackstoryLore1,12,Journal,,,,
Lore_Unlock_BackstoryLore2,13,Journal,,,,
Lore_Unlock_BackstoryLore3,14,Journal,,,,
Lore_Unlock_BackstoryLore4,15,Journal,,,,
Lore_Unlock_BackstoryLore5,16,Journal,,,,
Lore_Unlock_BackstoryLore6,17,Journal,,,,
Lore_Unlock_BackstoryLore7,18,Journal,,,,
Lore_Unlock_BackstoryLore8,19,Journal,,,,
Lore_Unlock_BacktsoryLore9,20,Journal,,,,
Lore_Unlock_DeathandRebirthLore1a,21,Journal,,,,
Lore_Unlock_DeathandRebirthLore1b,22,Journal,,,,
Lore_Unlock_DeathandRebirthLore1c,23,Journal,,,,
Lore_Unlock_DeathandRebirthLore1d,24,Journal,,,,
Lore_Unlock_DeathandRebirthLore2,25,Journal,,,,
Lore_Unlock_DeathandRebirthLore3,26,Journal,,,,
Lore_Unlock_DeathandRebirthLore4a,27,Journal,,,,
Lore_Unlock_DeathandRebirthLore4b,28,Journal,,,,
Lore_Unlock_DeathandRebirthLore4c,29,Journal,,,,
Lore_Unlock_DeathandRebirthLore4d,30,Journal,,,,
Lore_Unlock_SealedCommission,31,Journal,,,,
Lore_Unlock_Arch_AnUntouchedPiano,32,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_Departure,33,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_Rolfe,34,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_TheDigSite,35,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_Excavation,36,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_AnUnpleasantFind,37,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_IllTidings,38,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_AprilDig,39,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_Misfortune,40,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_TheObelisks,41,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_GrowingFears,42,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_TheSpire,43,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_TheGreatWork,44,Journal,Read_LoreItem,,,
Lore_Unlock_Arch_AzureFlames,45,Journal,Read_LoreItem,,,
Lore_Unlock_Outpost_LordEveretts,46,Journal,Read_LoreItem,,,
Lore_Unlock_Outpost_TrueDuncansWatch,47,Journal,Read_LoreItem,,,
Lore_Unlock_Outpost_AuroraAeternae,48,Journal,Read_LoreItem,,,
Lore_Unlock_Outpost_FirstLight,49,Journal,Read_LoreItem,,,
Lore_Unlock_Outpost_WeaversStation,50,Journal,Read_LoreItem,,,
Lore_Unlock_Outpost_WeaversPost,51,Journal,Read_LoreItem,,,
Lore_Unlock_Outpost_WeaversPeak,52,Journal,Read_LoreItem,,,
Lore_Unlock_Outpost_MonarchStation,53,Journal,Read_LoreItem,,,
Lore_Unlock_GettingStarted_All,54,Journal,,,,
Lore_Unlock_Mechanics_All,55,Journal,,,,
Lore_Unlock_Crafting_All,56,Journal,,,,
Lore_Unlock_TradingPost_All,57,Journal,,,,
Lore_Unlock_Progression_All,58,Journal,,,,
Lore_Unlock_Companies_All,59,Journal,,,,
Lore_Unlock_Combat_All,60,Journal,,,,
ancient_ruins_30121_discovered,61,Map,,,,
drowned_cavern_30122_discovered,62,Map,,,,
ancient_ruins_30121_charted,63,Map,Chart_Location,,,
drowned_cavern_30122_charted,64,Map,Chart_Location,,,
drowned_shipwreck_1_30123_discovered,65,Map,,,,
undead_cavern_30124_discovered,66,Map,,,,
drowned_shipwreck_2_30125_discovered,67,Map,,,,
drowned_shipwreck_1_30123_charted,68,Map,Chart_Location,,,
undead_cavern_30124_charted,69,Map,Chart_Location,,,
drowned_shipwreck_2_30125_charted,70,Map,Chart_Location,,,
undead_bastion_30126_discovered,71,Map,,,,
undead_bastion_30126_charted,72,Map,Chart_Location,,,
shipwreck_30001_discovered,73,Map,,,,
fishing_village_30002_discovered,74,Map,,,,
fishing_village_30003_discovered,75,Map,,,,
cave_30004_discovered,76,Map,,,,
bear_den_30005_discovered,77,Map,,,,
wolf_den_30006_discovered,78,Map,,,,
fishing_village_30007_discovered,79,Map,,,,
cave_30008_discovered,80,Map,,,,
wolf_den_30009_discovered,81,Map,,,,
corrupted_camp_30010_discovered,82,Map,,,,
ancient_ruins_30011_discovered,83,Map,,,,
shipwreck_30001_charted,84,Map,Chart_Location,,,
fishing_village_30002_charted,85,Map,Chart_Location,,,
fishing_village_30003_charted,86,Map,Chart_Location,,,
cave_30004_charted,87,Map,Chart_Location,,,
bear_den_30005_charted,88,Map,Chart_Location,,,
wolf_den_30006_charted,89,Map,Chart_Location,,,
fishing_village_30007_charted,90,Map,Chart_Location,,,
cave_30008_charted,91,Map,Chart_Location,,,
wolf_den_30009_charted,92,Map,Chart_Location,,,
corrupted_camp_30010_charted,93,Map,Chart_Location,,,
ancient_ruins_30011_charted,94,Map,Chart_Location,,,
undead_shipwreck_30101_discovered,95,Map,,,,
undead_shipwreck_30102_discovered,96,Map,,,,
withered_farm_30103_discovered,97,Map,,,,
withered_farm_2_30104_discovered,98,Map,,,,
ancient_ruins_30119_charted,99,Map,Chart_Location,,,
bear_den_30106_discovered,100,Map,,,,
bear_den_30107_discovered,101,Map,,,,
bear_den_30108_discovered,102,Map,,,,
alphawolf_den_30109_discovered,103,Map,,,,
wolf_den_30110_discovered,104,Map,,,,
wolf_den_30111_discovered,105,Map,,,,
withered_mines_30112_discovered,106,Map,,,,
withered_farm_30113_discovered,107,Map,,,,
withered_farm_3_30114_discovered,108,Map,,,,
withered_farm_3_30115_discovered,109,Map,,,,
withered_farm_30116_discovered,110,Map,,,,
ancient_ruins_30119_discovered,111,Map,,,,
withered_farm_1_30118_discovered,112,Map,,,,
undead_shipwreck_30101_charted,113,Map,Chart_Location,,,
undead_shipwreck_30102_charted,114,Map,Chart_Location,,,
withered_farm_30103_charted,115,Map,Chart_Location,,,
withered_farm_2_30104_charted,116,Map,Chart_Location,,,
ancient_ruins_30120_discovered,117,Map,,,,
bear_den_30106_charted,118,Map,Chart_Location,,,
bear_den_30107_charted,119,Map,Chart_Location,,,
bear_den_30108_charted,120,Map,Chart_Location,,,
alphawolf_den_30109_charted,121,Map,Chart_Location,,,
wolf_den_30110_charted,122,Map,Chart_Location,,,
wolf_den_30111_charted,123,Map,Chart_Location,,,
withered_mines_30112_charted,124,Map,Chart_Location,,,
withered_farm_30113_charted,125,Map,Chart_Location,,,
withered_farm_3_30114_charted,126,Map,Chart_Location,,,
withered_farm_3_30115_charted,127,Map,Chart_Location,,,
withered_farm_30116_charted,128,Map,Chart_Location,,,
ancient_ruins_30120_charted,129,Map,Chart_Location,,,
withered_farm_1_30118_charted,130,Map,Chart_Location,,,
abandoned_fishing_village_30201_discovered,131,Map,,,,
shipwreck_30202_discovered,132,Map,,,,
Undead_Bastion_30203_discovered,133,Map,,,,
abandoned_village_30204_discovered,134,Map,,,,
abandoned_village_30205_discovered,135,Map,,,,
bear_den_30206_discovered,136,Map,,,,
wolf_den_30207_discovered,137,Map,,,,
azure_fissure_30208_discovered,138,Map,,,,
azure_fissure_30209_discovered,139,Map,,,,
azure_fissure_30210_discovered,140,Map,,,,
azure_fissure_30211_discovered,141,Map,,,,
azure_fissure_30212_discovered,142,Map,,,,
azure_fissure_30213_discovered,143,Map,,,,
drowned_shipwreck_1_30215_discovered,144,Map,,,,
abandoned_fishing_village_30201_charted,145,Map,Chart_Location,,,
shipwreck_30202_charted,146,Map,Chart_Location,,,
Undead_Bastion_30203_charted,147,Map,Chart_Location,,,
abandoned_village_30204_charted,148,Map,Chart_Location,,,
abandoned_village_30205_charted,149,Map,Chart_Location,,,
bear_den_30206_charted,150,Map,Chart_Location,,,
wolf_den_30207_charted,151,Map,Chart_Location,,,
azure_fissure_30208_charted,152,Map,Chart_Location,,,
azure_fissure_30209_charted,153,Map,Chart_Location,,,
azure_fissure_30210_charted,154,Map,Chart_Location,,,
azure_fissure_30211_charted,155,Map,Chart_Location,,,
azure_fissure_30212_charted,156,Map,Chart_Location,,,
azure_fissure_30213_charted,157,Map,Chart_Location,,,
drowned_shipwreck_1_30215_charted,158,Map,Chart_Location,,,
abandoned_village_40001_discovered,159,Map,,,,
abandoned_village_40002_discovered,160,Map,,,,
shipwreck_40003_discovered,161,Map,,,,
shipwreck_40004_discovered,162,Map,,,,
shipwreck_40005_discovered,163,Map,,,,
shipwreck_40006_discovered,164,Map,,,,
shipwreck_40007_discovered,165,Map,,,,
ancient_lighthouse_40008_discovered,166,Map,,,,
ancient_lookout_40009_discovered,167,Map,,,,
wolf_den_40010_discovered,168,Map,,,,
wolf_den_40011_discovered,169,Map,,,,
haunted_village_40012_discovered,170,Map,,,,
corrupted_camp_40013_discovered,171,Map,,,,
corrupted_mine_40014_discovered,172,Map,,,,
abandoned_village_40015_discovered,173,Map,,,,
pirate_town_40016_discovered,174,Map,,,,
abandoned_village_40001_charted,175,Map,Chart_Location,,,
abandoned_village_40002_charted,176,Map,Chart_Location,,,
shipwreck_40003_charted,177,Map,Chart_Location,,,
shipwreck_40004_charted,178,Map,Chart_Location,,,
shipwreck_40005_charted,179,Map,Chart_Location,,,
shipwreck_40006_charted,180,Map,Chart_Location,,,
shipwreck_40007_charted,181,Map,Chart_Location,,,
ancient_lighthouse_40008_charted,182,Map,Chart_Location,,,
ancient_lookout_40009_charted,183,Map,Chart_Location,,,
wolf_den_40010_charted,184,Map,Chart_Location,,,
wolf_den_40011_charted,185,Map,Chart_Location,,,
haunted_village_40012_charted,186,Map,Chart_Location,,,
corrupted_camp_40013_charted,187,Map,Chart_Location,,,
corrupted_mine_40014_charted,188,Map,Chart_Location,,,
abandoned_village_40015_charted,189,Map,Chart_Location,,,
pirate_town_40016_charted,190,Map,Chart_Location,,,
withered_campsite_40101_discovered,191,Map,,,,
withered_farm_1_40102_discovered,192,Map,,,,
withered_farm_2_40103_discovered,193,Map,,,,
withered_farm_40104_discovered,194,Map,,,,
ancient_temple_lg_40105_discovered,195,Map,,,,
ancient_lookout_40106_discovered,196,Map,,,,
ancient_lookout_40107_discovered,197,Map,,,,
ancient_lookout_40108_discovered,198,Map,,,,
ancient_lookout_40109_discovered,199,Map,,,,
ancient_lookout_40110_discovered,200,Map,,,,
ancient_lookout_40111_discovered,201,Map,,,,
ancient_lookout_40112_discovered,202,Map,,,,
ancient_lookout_40113_discovered,203,Map,,,,
ancient_lookout_40114_discovered,204,Map,,,,
ancient_lookout_40115_discovered,205,Map,,,,
shattered_obelisk_40116_discovered,206,Map,,,,
alphawolf_den_40117_discovered,207,Map,,,,
alphawolf_den_40118_discovered,208,Map,,,,
drowned_shipwreck_1_40119_discovered,209,Map,,,,
ancient_buttress_40120_discovered,210,Map,,,,
ancient_bridge_40121_discovered,211,Map,,,,
undead_bastion_2_40122_discovered,212,Map,,,,
ancient_lookout_40123_discovered,213,Map,,,,
ancient_lookout_40125_discovered,215,Map,,,,
ancient_lookout_40126_discovered,216,Map,,,,
ancient_lookout_40127_discovered,217,Map,,,,
undead_bastion_1_40137_discovered,218,Map,,,,
bear_den_40138_discovered,219,Map,,,,
bear_den_40139_discovered,220,Map,,,,
drowned_shipwreck_3_40140_discovered,221,Map,,,,
drowned_shipwreck_3_40141_discovered,222,Map,,,,
drowned_shipwreck_2_40142_discovered,223,Map,,,,
drowned_shipwreck_1_40144_discovered,224,Map,,,,
boar_infestation_1_40145_discovered,225,Map,,,,
drowned_cavern_40146_discovered,226,Map,,,,
cave_40248_discovered,227,Map,,,,
abandoned_village_40249_discovered,228,Map,,,,
abandoned_village_40250_discovered,229,Map,,,,
abandoned_farm_village_40251_discovered,230,Map,,,,
abandoned_village_40252_discovered,231,Map,,,,
abandoned_village_40253_discovered,232,Map,,,,
abandoned_village_40254_discovered,233,Map,,,,
abandoned_farm_village_40255_discovered,234,Map,,,,
abandoned_village_40256_discovered,235,Map,,,,
abandoned_village_40257_discovered,236,Map,,,,
abandoned_village_40258_discovered,237,Map,,,,
abandoned_village_40259_discovered,238,Map,,,,
withered_farm_3_40149_discovered,239,Map,,,,
abandoned_village_40260_discovered,240,Map,,,,
abandoned_village_40261_discovered,241,Map,,,,
abandoned_village_40262_discovered,242,Map,,,,
abandoned_village_40263_discovered,243,Map,,,,
abandoned_village_40264_discovered,244,Map,,,,
withered_campsite_40101_charted,245,Map,Chart_Location,,,
withered_farm_1_40102_charted,246,Map,Chart_Location,,,
withered_farm_2_40103_charted,247,Map,Chart_Location,,,
withered_farm_40104_charted,248,Map,Chart_Location,,,
ancient_temple_lg_40105_charted,249,Map,Chart_Location,,,
ancient_lookout_40106_charted,250,Map,Chart_Location,,,
ancient_lookout_40107_charted,251,Map,Chart_Location,,,
ancient_lookout_40108_charted,252,Map,Chart_Location,,,
ancient_lookout_40109_charted,253,Map,Chart_Location,,,
ancient_lookout_40110_charted,254,Map,Chart_Location,,,
ancient_lookout_40111_charted,255,Map,Chart_Location,,,
ancient_lookout_40112_charted,256,Map,Chart_Location,,,
ancient_lookout_40113_charted,257,Map,Chart_Location,,,
ancient_lookout_40114_charted,258,Map,Chart_Location,,,
ancient_lookout_40115_charted,259,Map,Chart_Location,,,
shattered_obelisk_40116_charted,260,Map,Chart_Location,,,
alphawolf_den_40117_charted,261,Map,Chart_Location,,,
alphawolf_den_40118_charted,262,Map,Chart_Location,,,
drowned_shipwreck_1_40119_charted,263,Map,Chart_Location,,,
ancient_buttress_40120_charted,264,Map,Chart_Location,,,
ancient_bridge_40121_charted,265,Map,Chart_Location,,,
undead_bastion_2_40122_charted,266,Map,Chart_Location,,,
ancient_lookout_40123_charted,267,Map,Chart_Location,,,
ancient_lookout_40125_charted,269,Map,Chart_Location,,,
ancient_lookout_40126_charted,270,Map,Chart_Location,,,
ancient_lookout_40127_charted,271,Map,Chart_Location,,,
cave_40248_charted,272,Map,Chart_Location,,,
abandoned_village_40249_charted,273,Map,Chart_Location,,,
abandoned_village_40250_charted,274,Map,Chart_Location,,,
abandoned_farm_village_40251_charted,275,Map,Chart_Location,,,
abandoned_village_40252_charted,276,Map,Chart_Location,,,
abandoned_village_40253_charted,277,Map,Chart_Location,,,
abandoned_village_40254_charted,278,Map,Chart_Location,,,
abandoned_farm_village_40255_charted,279,Map,Chart_Location,,,
abandoned_village_40256_charted,280,Map,Chart_Location,,,
undead_bastion_1_40137_charted,281,Map,Chart_Location,,,
bear_den_40138_charted,282,Map,Chart_Location,,,
bear_den_40139_charted,283,Map,Chart_Location,,,
drowned_shipwreck_3_40140_charted,284,Map,Chart_Location,,,
drowned_shipwreck_3_40141_charted,285,Map,Chart_Location,,,
drowned_shipwreck_2_40142_charted,286,Map,Chart_Location,,,
abandoned_village_40257_charted,287,Map,Chart_Location,,,
drowned_shipwreck_1_40144_charted,288,Map,Chart_Location,,,
timberwolf_den_40145_charted,289,Map,Chart_Location,,,
drowned_cavern_40146_charted,290,Map,Chart_Location,,,
abandoned_village_40258_charted,291,Map,Chart_Location,,,
abandoned_village_40259_charted,292,Map,Chart_Location,,,
withered_farm_3_40149_charted,293,Map,Chart_Location,,,
abandoned_village_40260_charted,294,Map,Chart_Location,,,
abandoned_village_40261_charted,295,Map,Chart_Location,,,
abandoned_village_40262_charted,296,Map,Chart_Location,,,
abandoned_village_40263_charted,297,Map,Chart_Location,,,
abandoned_village_40264_charted,298,Map,Chart_Location,,,
abandoned_farm_village_40201_discovered,299,Map,,,,
lumbermill_40202_discovered,300,Map,,,,
mine_40203_discovered,301,Map,,,,
abandoned_village_40204_discovered,302,Map,,,,
abandoned_village_40205_discovered,303,Map,,,,
abandoned_village_40206_discovered,304,Map,,,,
undead_bastion_40207_discovered,305,Map,,,,
abandoned_village_40208_discovered,306,Map,,,,
abandoned_village_40209_discovered,307,Map,,,,
abandoned_village_40210_discovered,308,Map,,,,
abandoned_village_40211_discovered,309,Map,,,,
abandoned_village_40212_discovered,310,Map,,,,
abandoned_village_40213_discovered,311,Map,,,,
ancient_ruins_40214_discovered,312,Map,,,,
ancient_tower_40215_discovered,313,Map,,,,
ancient_tower_40216_discovered,314,Map,,,,
ancient_tower_40217_discovered,315,Map,,,,
ancient_tower_40218_discovered,316,Map,,,,
ancient_tower_40219_discovered,317,Map,,,,
ancient_tower_40220_discovered,318,Map,,,,
abandoned_fishing_village_40017_discovered,319,Map,,,,
azure_tree_40222_discovered,320,Map,,,,
ancient_ruins_40223_discovered,321,Map,,,,
cave_40224_discovered,322,Map,,,,
bear_den_40225_discovered,323,Map,,,,
wolf_den_40226_discovered,324,Map,,,,
undead_bastion_40227_discovered,325,Map,,,,
wolf_den_40228_discovered,326,Map,,,,
cave_40229_discovered,327,Map,,,,
wolf_den_40230_discovered,328,Map,,,,
azure_fissure_40231_discovered,329,Map,,,,
azure_fissure_40232_discovered,330,Map,,,,
azure_fissure_40233_discovered,331,Map,,,,
azure_fissure_40234_discovered,332,Map,,,,
azure_fissure_40235_discovered,333,Map,,,,
azure_fissure_40236_discovered,334,Map,,,,
azure_fissure_40237_discovered,335,Map,,,,
azure_fissure_40238_discovered,336,Map,,,,
azure_fissure_40239_discovered,337,Map,,,,
azure_fissure_40240_discovered,338,Map,,,,
azure_fissure_40241_discovered,339,Map,,,,
azure_fissure_40242_discovered,340,Map,,,,
azure_fissure_40243_discovered,341,Map,,,,
abandoned_farm_village_40201_charted,342,Map,Chart_Location,,,
lumbermill_40202_charted,343,Map,Chart_Location,,,
mine_40203_charted,344,Map,Chart_Location,,,
abandoned_village_40204_charted,345,Map,Chart_Location,,,
abandoned_village_40205_charted,346,Map,Chart_Location,,,
abandoned_village_40206_charted,347,Map,Chart_Location,,,
undead_bastion_40207_charted,348,Map,Chart_Location,,,
abandoned_village_40208_charted,349,Map,Chart_Location,,,
abandoned_village_40209_charted,350,Map,Chart_Location,,,
abandoned_village_40210_charted,351,Map,Chart_Location,,,
abandoned_village_40211_charted,352,Map,Chart_Location,,,
abandoned_village_40212_charted,353,Map,Chart_Location,,,
abandoned_village_40213_charted,354,Map,Chart_Location,,,
ancient_ruins_40214_charted,355,Map,Chart_Location,,,
ancient_tower_40215_charted,356,Map,Chart_Location,,,
ancient_tower_40216_charted,357,Map,Chart_Location,,,
ancient_tower_40217_charted,358,Map,Chart_Location,,,
ancient_tower_40218_charted,359,Map,Chart_Location,,,
ancient_tower_40219_charted,360,Map,Chart_Location,,,
ancient_tower_40220_charted,361,Map,Chart_Location,,,
azure_tree_40222_charted,362,Map,Chart_Location,,,
ancient_ruins_40223_charted,363,Map,Chart_Location,,,
cave_40224_charted,364,Map,Chart_Location,,,
bear_den_40225_charted,365,Map,Chart_Location,,,
wolf_den_40226_charted,366,Map,Chart_Location,,,
undead_bastion_40227_charted,367,Map,Chart_Location,,,
wolf_den_40228_charted,368,Map,Chart_Location,,,
cave_40229_charted,369,Map,Chart_Location,,,
wolf_den_40230_charted,370,Map,Chart_Location,,,
azure_fissure_40231_charted,371,Map,Chart_Location,,,
azure_fissure_40232_charted,372,Map,Chart_Location,,,
azure_fissure_40233_charted,373,Map,Chart_Location,,,
azure_fissure_40234_charted,374,Map,Chart_Location,,,
azure_fissure_40235_charted,375,Map,Chart_Location,,,
azure_fissure_40236_charted,376,Map,Chart_Location,,,
azure_fissure_40237_charted,377,Map,Chart_Location,,,
azure_fissure_40238_charted,378,Map,Chart_Location,,,
azure_fissure_40239_charted,379,Map,Chart_Location,,,
azure_fissure_40240_charted,380,Map,Chart_Location,,,
azure_fissure_40241_charted,381,Map,Chart_Location,,,
azure_fissure_40242_charted,382,Map,Chart_Location,,,
azure_fissure_40243_charted,383,Map,Chart_Location,,,
undead_bastion_30127_discovered,384,Map,,,,
boar_infestation_1_30128_discovered,385,Map,,,,
drowned_shipwreck_3_30129_discovered,386,Map,,,,
greatcleavesouthwall_40301_discovered,387,Map,,,,
abandoned_fishing_village_40017_charted,388,Map,,,,
abandoned_farm_village_40303_discovered,389,Map,,,,
corrupted_ritual_40304_discovered,390,Map,,,,
mine_40305_discovered,391,Map,,,,
mine_40306_discovered,392,Map,,,,
abandoned_village_40307_discovered,393,Map,,,,
abandoned_village_40308_discovered,394,Map,,,,
abandoned_village_40309_discovered,395,Map,,,,
abandoned_village_40310_discovered,396,Map,,,,
ancient_shrine_40311_discovered,397,Map,,,,
ancient_shrine_40312_discovered,398,Map,,,,
ancient_shrine_40313_discovered,399,Map,,,,
ancient_shrine_40314_discovered,400,Map,,,,
corrupted_fort_40315_discovered,401,Map,,,,
corrupted_fort_40316_discovered,402,Map,,,,
corrupted_fort_40317_discovered,403,Map,,,,
corrupted_fort_40318_discovered,404,Map,,,,
corrupted_fort_40319_discovered,405,Map,,,,
graveyard_40320_discovered,406,Map,,,,
cave_40321_discovered,407,Map,,,,
azure_fissure_40322_discovered,408,Map,,,,
azure_fissure_40323_discovered,409,Map,,,,
graveyard_40327_discovered,410,Map,,,,
abandoned_village_40328_discovered,411,Map,,,,
crater_brutalreach_50307_discovered,412,Map,,,,
greatcleavesouthwall_40301_charted,413,Map,,,,
crater_brutalreach_50307_charted,414,Map,Chart_Location,,,
abandoned_farm_village_40303_charted,415,Map,Chart_Location,,,
corrupted_ritual_40304_charted,416,Map,Chart_Location,,,
mine_40305_charted,417,Map,Chart_Location,,,
mine_40306_charted,418,Map,Chart_Location,,,
abandoned_village_40307_charted,419,Map,Chart_Location,,,
abandoned_village_40308_charted,420,Map,Chart_Location,,,
abandoned_village_40309_charted,421,Map,Chart_Location,,,
abandoned_village_40310_charted,422,Map,Chart_Location,,,
ancient_shrine_40311_charted,423,Map,Chart_Location,,,
ancient_shrine_40312_charted,424,Map,Chart_Location,,,
ancient_shrine_40313_charted,425,Map,Chart_Location,,,
ancient_shrine_40314_charted,426,Map,Chart_Location,,,
corrupted_fort_40315_charted,427,Map,Chart_Location,,,
corrupted_fort_40316_charted,428,Map,Chart_Location,,,
corrupted_fort_40317_charted,429,Map,Chart_Location,,,
corrupted_fort_40318_charted,430,Map,Chart_Location,,,
corrupted_fort_40319_charted,431,Map,Chart_Location,,,
graveyard_40320_charted,432,Map,Chart_Location,,,
cave_40321_charted,433,Map,Chart_Location,,,
azure_fissure_40322_charted,434,Map,Chart_Location,,,
azure_fissure_40323_charted,435,Map,Chart_Location,,,
graveyard_40327_charted,436,Map,Chart_Location,,,
abandoned_village_40328_charted,437,Map,Chart_Location,,,
crater_brutalrest_50308_discovered,438,Map,,,,
corrupted_fort_weaving_01_40401_discovered,439,Map,,,,
corrupted_fort_tannery_01_40402_discovered,440,Map,,,,
corrupted_fort_alchemy_01_40403_discovered,441,Map,,,,
corrupted_fort_provisioning_01_40404_discovered,442,Map,,,,
military_camp_40405_discovered,443,Map,,,,
crater_brutalrest_50308_charted,444,Map,,,,
crater_brutalsummit_50309_discovered,445,Map,,,,
crater_brutalthicket_50310_discovered,446,Map,,,,
corrupted_fort_weaving_01_40401_charted,447,Map,Chart_Location,,,
corrupted_fort_tannery_01_40402_charted,448,Map,Chart_Location,,,
corrupted_fort_alchemy_01_40403_charted,449,Map,Chart_Location,,,
corrupted_fort_provisioning_01_40404_charted,450,Map,Chart_Location,,,
military_camp_40405_charted,451,Map,Chart_Location,,,
crater_brutalsummit_50309_charted,452,Map,Chart_Location,,,
crater_brutalthicket_50310_charted,453,Map,Chart_Location,,,
crater_brutalviewsite_50311_discovered,454,Map,,,,
shipwreck_50101_discovered,455,Map,,,,
shipwreck_50102_discovered,456,Map,,,,
shipwreck_50103_discovered,457,Map,,,,
shipwreck_50104_discovered,458,Map,,,,
shipwreck_50105_discovered,459,Map,,,,
abandoned_fishing_village_50106_discovered,460,Map,,,,
lumbermill_50107_discovered,461,Map,,,,
bear_den_50108_discovered,462,Map,,,,
bear_den_50109_discovered,463,Map,,,,
azure_fissure_50110_discovered,464,Map,,,,
azure_fissure_50111_discovered,465,Map,,,,
azure_fissure_50112_discovered,466,Map,,,,
azure_fissure_50113_discovered,467,Map,,,,
azure_fissure_50114_discovered,468,Map,,,,
azure_fissure_50115_discovered,469,Map,,,,
azure_fissure_50116_discovered,470,Map,,,,
shipwreck_50101_charted,471,Map,Chart_Location,,,
shipwreck_50102_charted,472,Map,Chart_Location,,,
shipwreck_50103_charted,473,Map,Chart_Location,,,
shipwreck_50104_charted,474,Map,Chart_Location,,,
shipwreck_50105_charted,475,Map,Chart_Location,,,
abandoned_fishing_village_50106_charted,476,Map,Chart_Location,,,
lumbermill_50107_charted,477,Map,Chart_Location,,,
bear_den_50108_charted,478,Map,Chart_Location,,,
bear_den_50109_charted,479,Map,Chart_Location,,,
azure_fissure_50110_charted,480,Map,Chart_Location,,,
azure_fissure_50111_charted,481,Map,Chart_Location,,,
azure_fissure_50112_charted,482,Map,Chart_Location,,,
azure_fissure_50113_charted,483,Map,Chart_Location,,,
azure_fissure_50114_charted,484,Map,Chart_Location,,,
azure_fissure_50115_charted,485,Map,Chart_Location,,,
azure_fissure_50116_charted,486,Map,Chart_Location,,,
haunted_town_50201_discovered,487,Map,,,,
abandoned_farm_mill_50202_discovered,488,Map,,,,
abandoned_farm_village_50203_discovered,489,Map,,,,
abandoned_farm_village_50204_discovered,490,Map,,,,
abandoned_fishing_village_50205_discovered,491,Map,,,,
abandoned_fishing_village_50206_discovered,492,Map,,,,
abandoned_fishing_village_50207_discovered,493,Map,,,,
haunted_town_50208_discovered,494,Map,,,,
abandoned_fishing_village_50209_discovered,495,Map,,,,
shipwreck_50210_discovered,496,Map,,,,
ancient_ruins_50211_discovered,497,Map,,,,
ancient_bridge_50212_discovered,498,Map,,,,
cave_50213_discovered,499,Map,,,,
wolf_den_50214_discovered,500,Map,,,,
ancient_bridge_50215_discovered,501,Map,,,,
haunted_town_50216_discovered,502,Map,,,,
azure_fissure_50217_discovered,503,Map,,,,
azure_fissure_50218_discovered,504,Map,,,,
azure_fissure_50219_discovered,505,Map,,,,
azure_fissure_50220_discovered,506,Map,,,,
azure_fissure_50221_discovered,507,Map,,,,
azure_fissure_50222_discovered,508,Map,,,,
abandoned_farm_village_50223_discovered,509,Map,,,,
azure_fissure_50224_discovered,510,Map,,,,
azure_fissure_50225_discovered,511,Map,,,,
azure_fissure_50226_discovered,512,Map,,,,
azure_fissure_50227_discovered,513,Map,,,,
azure_fissure_50228_discovered,514,Map,,,,
azure_fissure_50229_discovered,515,Map,,,,
undead_bastion_50232_discovered,516,Map,,,,
