Level,GearScore,BaseDamage,BaseMaxHealth,InitialHealth,PhysicalArmorRating,ElementalArmorRating,LootGSBonus,LootGSBonusChance,ContainerLootGSFloor,AILootGSCeiling,Solo Damage,Solo Health
1,50,145.52,337.5,337.5,109.336207,109.336207,100,0,100,100,,
2,50,161.235556,375,375,109.336207,109.336207,100,0,100,100,,
3,50,176.951111,412.5,412.5,109.336207,109.336207,100,0,100,100,,
4,50,192.666667,466.55,466.55,109.336207,109.336207,100,0,100,100,,
5,50,208.382222,520.6,520.6,109.336207,109.336207,100,0,100,100,,
6,60,224.097778,609.596,609.596,136.075989,136.075989,100,0,100,100,,
7,70,239.813333,698.592,698.592,163.725999,163.725999,100,0,100,100,,
8,80,255.528889,787.588,787.588,192.179909,192.179909,100,0,150,120,,
9,90,271.244444,876.584,876.584,221.355854,221.355854,100,0,150,130,,
10,100,286.96,965.58,965.58,251.188643,251.188643,100,0,150,140,,
11,110,316.583563,1056.242,1056.242,281.625011,281.625011,100,0,150,150,,
12,120,346.207125,1146.904,1146.904,312.62053,312.62053,100,0,150,160,,
13,130,375.830688,1237.566,1237.566,344.137518,344.137518,100,0,150,170,,
14,140,405.45425,1328.228,1328.228,376.143571,376.143571,100,0,175,180,,
15,150,435.077813,1418.89,1418.89,408.610489,408.610489,100,0,175,190,,
16,160,464.701375,1509.552,1509.552,441.513492,441.513492,100,0,175,200,,
17,170,494.324938,1600.214,1600.214,474.830607,474.830607,100,0,175,210,,
18,180,523.9485,1690.876,1690.876,508.54221,508.54221,100,0,175,220,,
19,190,553.572062,1781.538,1781.538,542.63065,542.63065,100,0,175,230,,
20,200,583.195625,1872.2,1872.2,577.079962,577.079962,100,0,225,240,,
21,210,624.320633,1962.862,1962.862,611.875626,611.875626,100,0,225,250,,
22,220,665.445641,2053.524,2053.524,647.004374,647.004374,100,0,225,260,,
23,230,706.570649,2144.186,2144.186,682.454031,682.454031,100,0,225,270,,
24,240,747.695658,2234.848,2234.848,718.213377,718.213377,100,0,225,280,,
25,250,788.820666,2325.51,2325.51,754.272042,754.272042,100,0,275,290,,
26,260,829.945674,2491.1638,2491.1638,790.620403,790.620403,100,0,275,300,,
27,270,871.070682,2656.8176,2656.8176,827.249507,827.249507,100,0,275,310,,
28,280,912.19569,2822.4714,2822.4714,864.151002,864.151002,100,0,275,320,,
29,290,953.320698,2988.1252,2988.1252,901.317073,901.317073,100,0,275,330,,
30,300,994.445706,3153.779,3153.779,938.740393,938.740393,100,0,325,340,,
31,310,1062.661501,3319.4328,3319.4328,976.414078,976.414078,100,0,325,350,,
32,320,1130.877296,3485.0866,3485.0866,1014.331643,1014.331643,100,0,325,360,,
