Id,FishSize,FishWeightRange,FishLengthRange,FishingXp,FishDistanceSwamAwayPerSecond,LineTensionGainPerSecondMultiplier,FishBehaviors,ZoomCameraOnSuccess,FishCharacterDefinitionPath,FishScale,RewardGameEventId
FishingBassSmallT1,Small,0-1,5-8,100,0.2,0.8,"Lazy,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_B_Bass.cdf,0.5,
FishingBassMediumT1,Medium,1-5,9-15,110,0.15,1.2,"Lazy,LateAggressive,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_B_Bass.cdf,0.7,
FishingBassLargeT1,Large,5-10,16-28,120,0.1,1.4,"Lazy,EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_B_Bass.cdf,1,
FishingPerchSmallT1,Small,0-1,7-9,100,0.2,0.8,"Lazy,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_YellowPerch.cdf,0.3,
FishingPerchMediumT1,Medium,1-2,10-13,110,0.15,1.2,"Lazy,LateAggressive,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_YellowPerch.cdf,0.5,
FishingPerchLargeT1,Large,2-3,14-19,120,0.1,1.4,"Lazy,EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_A_YellowPerch.cdf,0.7,
FishingPikeSmallT1,Small,1-5,15-21,100,0.2,0.8,"Lazy,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_Pike.cdf,0.6,
FishingPikeMediumT1,Medium,5-19,22-34,110,0.15,1.2,"Lazy,LateAggressive,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_Pike.cdf,0.75,
FishingPikeLargeT1,Large,19-32,35-56,120,0.1,1.4,"Lazy,EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_A_Pike.cdf,1.1,
FishingTroutSmallT1,Small,0-7,9-16,100,0.2,0.8,"Lazy,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_RainbowTrout.cdf,0.5,
FishingTroutMediumT1,Medium,7-17,17-28,110,0.15,1.2,"Lazy,LateAggressive,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_RainbowTrout.cdf,0.7,
FishingTroutLargeT1,Large,17-28,29-42,120,0.1,1.4,"Lazy,EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_A_RainbowTrout.cdf,1,
FishingSunfishSmallT1,Small,0-1,4-6,100,0.2,0.8,"Lazy,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_B_Sunfish.cdf,0.35,
FishingSunfishMediumT1,Medium,1-2,7-10,110,0.15,1.2,"Lazy,LateAggressive,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_B_Sunfish.cdf,0.55,
FishingSunfishLargeT1,Large,2-3,11-15,120,0.1,1.4,"Lazy,EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_B_Sunfish.cdf,0.75,
FishingSalmonSmallT1,Small,2-9,15-19,100,0.2,0.8,"Lazy,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_SockeyeSalmon.cdf,0.6,
FishingSalmonMediumT1,Medium,9-25,20-29,110,0.15,1.2,"Lazy,LateAggressive,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_SockeyeSalmon.cdf,0.75,
FishingSalmonLargeT1,Large,25-36,30-45,120,0.1,1.4,"Lazy,EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_A_SockeyeSalmon.cdf,1.1,
FishingSalmonFatT1,Large,36-46,30-45,140,0.1,1.4,"Lazy,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_A_SockeyeSalmon.cdf,1.1,
FishingMackerelSmallT1,Small,0-1,2-7,100,0.2,0.8,"Lazy,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_AtlanticMackerel.cdf,0.5,
