Level,UpkeepCost,LevelStipend,IntervalStipend,IntervalEarningsCap,CapModifier,NumberOfUpgradesRegressed,WardecCost,TradingPostLevel,EarningsDistributionTID2,EarningsDistributionTID4,EarningsDistributionTID5,EarningsDistributionTID6,EarningsDistributionTID8,EarningsDistributionTID9,EarningsDistributionTID10,EarningsDistributionTID11,EarningsDistributionTID12,EarningsDistributionTID13,EarningsDistributionTID14,EarningsDistributionTID15,EarningsDistributionTID16,EarningsDistributionTID17,TotalDistributionCheck
0,1000000,0,0,100000000,1,0,1000000,0,0.0013,0.0025,0.0019,0.0025,0.0019,0,0.0013,0.0013,0.0019,0.0013,0.0025,0.0013,0.0019,0.00375,0.02535
1,1000000,0,0,100000000,1,0,1000000,0,0.0025,0.005,0.0038,0.005,0.0038,0,0.0025,0.0025,0.0038,0.0025,0.005,0.0025,0.0038,0.0075,0.0502
2,1000000,0,0,100000000,1.025,0,1000000,0,0.0038,0.0075,0.0056,0.0075,0.0056,0,0.0038,0.0038,0.0056,0.0038,0.0075,0.0038,0.0056,0.01125,0.07515
3,1000000,0,0,100000000,1.05,0,1000000,1,0.005,0.01,0.0075,0.01,0.0075,0,0.005,0.005,0.0075,0.005,0.01,0.005,0.0075,0.015,0.1
4,1000000,0,0,100000000,1.075,0,1000000,1,0.0063,0.0125,0.0094,0.0125,0.0094,0,0.0063,0.0063,0.0094,0.0063,0.0125,0.0063,0.0094,0.01875,0.12535
5,1000000,0,0,100000000,1.1,0,1000000,1,0.0075,0.015,0.0113,0.015,0.0113,0,0.0075,0.0075,0.0113,0.0075,0.015,0.0075,0.0113,0.0225,0.1502
6,1000000,0,0,100000000,1.125,0,1000000,2,0.0088,0.0175,0.0131,0.0175,0.0131,0,0.0088,0.0088,0.0131,0.0088,0.0175,0.0088,0.0131,0.02625,0.17515
7,1000000,0,0,100000000,1.15,0,1000000,2,0.01,0.02,0.015,0.02,0.015,0,0.01,0.01,0.015,0.01,0.02,0.01,0.015,0.03,0.2
8,1000000,0,0,100000000,1.175,0,1000000,2,0.0113,0.0225,0.0169,0.0225,0.0169,0,0.0113,0.0113,0.0169,0.0113,0.0225,0.0113,0.0169,0.03375,0.22535
9,1000000,0,0,100000000,1.2,0,1000000,3,0.0125,0.025,0.0188,0.025,0.0188,0,0.0125,0.0125,0.0188,0.0125,0.025,0.0125,0.0188,0.0375,0.2502
10,1000000,0,0,100000000,1.225,0,1000000,3,0.0138,0.0275,0.0206,0.0275,0.0206,0,0.0138,0.0138,0.0206,0.0138,0.0275,0.0138,0.0206,0.04125,0.27515
11,1000000,0,0,100000000,1.25,1,1000000,3,0.015,0.03,0.0225,0.03,0.0225,0,0.015,0.015,0.0225,0.015,0.03,0.015,0.0225,0.045,0.3
12,1000000,0,0,100000000,1.275,1,1000000,3,0.0163,0.0325,0.0244,0.0325,0.0244,0,0.0163,0.0163,0.0244,0.0163,0.0325,0.0163,0.0244,0.04875,0.32535
13,1000000,0,0,100000000,1.3,1,1000000,3,0.0175,0.035,0.0263,0.035,0.0263,0,0.0175,0.0175,0.0263,0.0175,0.035,0.0175,0.0263,0.0525,0.3502
14,1000000,0,0,100000000,1.325,1,1000000,3,0.0188,0.0375,0.0281,0.0375,0.0281,0,0.0188,0.0188,0.0281,0.0188,0.0375,0.0188,0.0281,0.05625,0.37515
15,1000000,0,0,100000000,1.35,1,1000000,3,0.02,0.04,0.03,0.04,0.03,0,0.02,0.02,0.03,0.02,0.04,0.02,0.03,0.06,0.4
16,1000000,0,0,100000000,1.375,2,1000000,3,0.0213,0.0425,0.0319,0.0425,0.0319,0,0.0213,0.0213,0.0319,0.0213,0.0425,0.0213,0.0319,0.06375,0.42535
17,1000000,0,0,100000000,1.4,2,1000000,3,0.0225,0.045,0.0338,0.045,0.0338,0,0.0225,0.0225,0.0338,0.0225,0.045,0.0225,0.0338,0.0675,0.4502
