UniqueTagID,IsEnabled,DisplayName,Description,PortraitImage,LandscapeImage,SquareImage,ThumbnailImage,TypeDescription
marks_of_fortune_5000,1,@Marks_Of_Fortune_5000_name,@Marks_Of_Fortune_5000_description,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_portrait_tier1.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_Rectangle_tier1.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_Square_tier1.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_thumbnail_tier1.png,@reward_type_marks_of_fortune
marks_of_fortune_11000,1,@Marks_Of_Fortune_11000_name,@Marks_Of_Fortune_11000_description,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_portrait_tier2.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_Rectangle_tier2.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_Square_tier2.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_thumbnail_tier2.png,@reward_type_marks_of_fortune
marks_of_fortune_23000,1,@Marks_Of_Fortune_23000_name,@Marks_Of_Fortune_23000_description,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_portrait_tier3.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_Rectangle_tier3.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_Square_tier3.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_thumbnail_tier3.png,@reward_type_marks_of_fortune
marks_of_fortune_40250,1,@Marks_Of_Fortune_40250_name,@Marks_Of_Fortune_40250_description,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_portrait_tier4.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_Rectangle_tier4.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_Square_tier4.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_thumbnail_tier4.png,@reward_type_marks_of_fortune
marks_of_fortune_60000,1,@Marks_Of_Fortune_60000_name,@Marks_Of_Fortune_60000_description,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_portrait_tier5.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_Rectangle_tier5.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_Square_tier5.png,LyShineUI/Images/mtx/mtx_product_images/marksOfFortune_thumbnail_tier5.png,@reward_type_marks_of_fortune
runic_bear,1,@runic_bear_name,@runic_bear_description,LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_RunicBear.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_RunicBear.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_RunicBear.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_RunicBear.png,@reward_type_Apparelskin_Set
runic_fox,1,@runic_fox_name,@runic_fox_description,LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_RunicFox.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_RunicFox.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_RunicFox.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_RunicFox.png,@reward_type_Apparelskin_Set
runic_jackal,1,@runic_jackal_name,@runic_jackal_description,LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_RunicJackal.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_RunicJackal.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_RunicJackal.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_RunicJackal.png,@reward_type_Apparelskin_Set
EntitlementSkin_Light_Demon,1,@EntitlementSkin_Light_Demon_name,@EntitlementSkin_Light_Demon_description,LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_CambionHusk.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_CambionHusk.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_CambionHusk.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_CambionHusk.png,@reward_type_Apparelskin_Set
EntitlementSkin_Heavy_Angel,1,@EntitlementSkin_Heavy_Angel_name,@EntitlementSkin_Heavy_Angel_description,LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_RighteousGuardian.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_RighteousGuardian.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_RighteousGuardian.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_RighteousGuardian.png,@reward_type_Apparelskin_Set
EntitlementSkin_Medium_Angel,1,@EntitlementSkin_Medium_Angel_name,@EntitlementSkin_Medium_Angel_description,LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_AegisOfProvidence.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_AegisOfProvidence.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_AegisOfProvidence.png,LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_AegisOfProvidence.png,@reward_type_Apparelskin_Set
howl_at_dawn,1,@howl_at_dawn_name,@howl_at_dawn_description,LyShineUI/Images/mtx/mtx_product_images/weapon_Portrait_HowlAtDawn.png,LyShineUI/Images/mtx/mtx_product_images/weapon_Rectangle_HowlAtDawn.png,LyShineUI/Images/mtx/mtx_product_images/weapon_Square_HowlAtDawn.png,LyShineUI/Images/mtx/mtx_product_images/weapon_Thumbnail_HowlAtDawn.png,@reward_type_Weaponskin_Sword
twin_wolves,1,@twin_wolves_name,@twin_wolves_description,LyShineUI/Images/mtx/mtx_product_images/weapon_Portrait_TwinWolves.png,LyShineUI/Images/mtx/mtx_product_images/weapon_Rectangle_TwinWolves.png,LyShineUI/Images/mtx/mtx_product_images/weapon_Square_TwinWolves.png,LyShineUI/Images/mtx/mtx_product_images/weapon_Thumbnail_TwinWolves.png,@reward_type_Weaponskin_Warhammer
dragons_coil,1,@dragons_coil_name,@dragons_coil_description,LyShineUI/Images/mtx/mtx_product_images/shield_Portrait_DragonCoil.png,LyShineUI/Images/mtx/mtx_product_images/shield_Rectangle_DragonCoil.png,LyShineUI/Images/mtx/mtx_product_images/shield_Square_DragonCoil.png,LyShineUI/Images/mtx/mtx_product_images/shield_Thumbnail_DragonCoil.png,@reward_type_Weaponskin_Shield
