WeaponID,BaseWeaponID,DEV Prio,PrimaryUse,IconPath,MaxStackSize,EquipType,DamageStatMultiplier,WeaponMasteryCategoryId,TierNumber,BaseDamage,CritChance,CritDamageMultiplier,BaseStaggerDamage,CritStaggerDamageMultiplier,ReticleName,ReticleTargetName,ReticleRayCastDistance,AmmoType,MaxLoadedAmmo,AutoReloadAmmoSeconds,AmmoMesh,MannequinTag,OffHandMannequinTag,MeshOverride,SkinOverride1,MaterialOverride1,SkinOverride2,MaterialOverride2,SkinOverride3,MaterialOverride3,SkinOverride4,MaterialOverride4,FireJoint,DamageTableRow,TooltipPrimaryAttackData,TooltipAlternateAttackData,AnimDbPath,GatheringTypes,GatheringMultiplier,GatheringEfficiency,MinGatherEFF,MaxGatherEFF,AudioPickup,AudioPlace,Primary Hand,EquipmentCategories,RequiredStrength,RequiredDexterity,RequiredIntelligence,RequiredFocus,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingFocus,Resistances,Weaknesses,StatBonuses,StatMultipliers,EquipmentCategoryMultiplier,AttackGameEventID,PhysicalArmorSetScaleFactor,ElementalArmorSetScaleFactor,ArmorRatingScaleFactor,WeightOverride,BlockStaminaDamage,BlockStability,DeflectionRating,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLANature,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,RangedAttackProfile,AttachedSpellData,Appearance,FemaleAppearance,CanBlockRanged,RangedBlockHealthDamageScaling,RangedBlockStaminaDamageScaling,ManaCostId,WeaponEffectId,BaseAccuracy,SoundTableID,IsShieldCompatible,HideMainWeaponMeshWhileSheathed,WeaponBaseDamageCompoundIncrease
Lost_TwinJesters_Staff_Happy,,1,Combat Melee,LoggingAxe,1,AlwaysUnsheathed_RHand,OneHandSwordDamage,,0,483,0.03,1.3,100,1.5,melee,meleeHaveTarget,3,,,,,"1H_Caster,Staff",,Objects\Weapons\Melee\Staffs\2h\staffTwinJesterHappy\wep_mel_spr_1h_staffTwinJesterHappy.cdf,,,,,,,,,,,1H_Club_Attack1,1H_Club_Attack2,animations/Mannequin/ADB/npc_human_weaponanims.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,100,15,0,,,,,,,,,,,,,,,,,AI_TwinJesters,,,,,,,,,89,,,,
Lost_TwinJesters_Staff_Sad,,1,Combat Melee,LoggingAxe,1,TwinJesters_BackFace,OneHandSwordDamage,,0,483,0.03,1.3,100,1.5,melee,meleeHaveTarget,3,,,,,"1H_Caster,Staff",,Objects\Weapons\Melee\Staffs\2h\staffTwinJesterSad\wep_mel_spr_1h_staffTwinJesterSad.cdf,,,,,,,,,,,1H_Club_Attack1,1H_Club_Attack2,animations/Mannequin/ADB/npc_human_weaponanims.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,100,15,0,,,,,,,,,,,,,,,,,AI_TwinJesters,,,,,,,,,89,,,,
IoN_Lost_Thorpe_Sword,,3,Combat Melee,weapon_ironrapier,1,GrappleSheath,OneHandSwordDamage,,1,3300,0.03,1.3,125,1.5,melee,meleeHaveTarget,3,,,,,"1H_Melee,Sword",Melee_OH,Objects\Weapons\Melee\Swords\2h\greatswordOverlordThorpe\wep_mel_swrd_2h_greatswordoverlordthorpe.cdf,,,,,,,,,aim_direction,,1H_Sword_Attack1,1H_Sword_Attack2,animations/Mannequin/ADB/IsleOfNight/LostCommander_SwordAnims.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,125,15,1,,,,,,,,,,,,,,,,,AI_Lost_Thorpe,,,,,,,,,89,,,,
IoN_Lost_PalatineGuard_Archer,,1,Combat Ranged,LoggingAxe,1,AlwaysUnsheathed_LHand,BowDamage,,0,3300,0.03,1.3,125,1.5,bow,bowHaveTarget,3,Arrow,,,objects\weapons\ranged\projectiles\arrowa\jav_wep_gear_arrowa.cgf,Bow,,Objects\Weapons\Ranged\Bows\2h\bowMonarch\wep_ran_bow_2h_bowMonarch.cdf,Objects\Weapons\Ranged\Bows\2h\bowMonarch\wep_ran_bow_2h_bowMonarch.skin,,Objects/Weapons/Ranged/Bows/BowA/wep_ran2h_BowA_T1_string.skin,,,,,,aim_direction,,BowAttack1,BowAttack2,animations/Mannequin/ADB/IsleOfNight/npc_PalatineGuards_weapon_anims.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit3,,,,,125,15,0,,,,,,,,,,,,,,,,,AI_Lost_PalatineGuard_Archer,,,,,,,,,89,,,,
IoN_Lost_PalatineGuard_Sword,,1,Combat Melee,weapon_ironrapier,1,AlwaysUnsheathed_RHand,OneHandSwordDamage,,0,1372,0.03,1.3,100,1.5,melee,meleeHaveTarget,3,,,,,"1H_Melee,Sword",Melee_OH,Objects\Weapons\Melee\Swords\1h\longswordPalatineSwordsman\wep_mel_swrd_1h_longswordPalatine.cdf,Objects\Weapons\Melee\Swords\1h\longswordPalatineSwordsman\wep_mel_swrd_1h_longswordPalatine.skin,,,,,,,,,,1H_Sword_Attack1,1H_Sword_Attack2,animations/Mannequin/ADB/npc_human_weaponanims.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,100,15,0,,,,,,,,,,,,,,,,,,,,,,,,,Sword,89,,,,
IoN_Lost_PalatineGuard_Warhammer,,1,Combat Melee,LoggingAxe,1,AlwaysUnsheathed_RHand,OneHandSwordDamage,,0,483,0.03,1.3,100,1.5,melee,meleeHaveTarget,3,,,,,"1H_Melee,Club",Melee_OH,Objects\Weapons\Melee\Hammers\2h\warhammerMonarch\wep_mel_ham_2h_warhammerMonarch.cdf,Objects\Weapons\Melee\Hammers\2h\warhammerMonarch\wep_mel_ham_2h_warhammerMonarch.skin,,,,,,,,,,1H_Club_Attack1,1H_Club_Attack2,animations/Mannequin/ADB/npc_human_weaponanims.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,100,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,
IoN_Lost_PalatineGuard_Halberd,,1,Combat Melee,LoggingAxe,1,AlwaysUnsheathed_RHand,OneHandSwordDamage,,0,483,0.03,1.3,33,1.5,melee,meleeHaveTarget,3,Thrown,,,,"1H_Melee,Spear",,Objects\Weapons\Melee\Spears\2h\spearhalberdPalatine\wep_mel_spr_2h_halberdPalatine.cdf,Objects\Weapons\Melee\Spears\2h\spearhalberdPalatine\wep_mel_spr_2h_halberdPalatine.skin,,,,,,,,,,1H_Club_Attack1,1H_Club_Attack2,Animations/Mannequin/ADB/npc_ancientguardian_weaponattach.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,100,15,0,,,,,,,,,,,,,,,,,AI_Spear,,,,,,,,Spear,89,,,,
IoN_Lost_PalatineGuard_Shield,,1,Combat Melee,LoggingAxe,1,Shield,,,0,140,0.03,1.3,200,1.5,melee,meleeHaveTarget,3,,,,,Shield,"Shield_OH,TowerShield",Objects\Weapons\Melee\Shields\1h\towershieldPalatineShield\wep_mel_shld_1h_shieldPalatine.cdf,Objects\Weapons\Melee\Shields\1h\towershieldPalatineShield\wep_mel_shld_1h_shieldPalatine.skin,,,,,,,,,,1H_Club_Attack1,1H_Club_Attack2,Animations/Mannequin/ADB/npc_ancientguardian_weaponattach.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,100,25,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,true,,,,Shield,89,,,,
IoN_Lost_Heiress_Slashing_Dagger,,1,Combat Melee,weapon_ironrapier,1,AlwaysUnsheathed_RHand,OneHandSwordDamage,,0,1372,0.03,1.3,100,1.5,melee,meleeHaveTarget,3,,,,,"1H_Melee,Dagger",,Objects\Weapons\Melee\Knives\1h\daggerDahutR\wep_mel_knf_1h_daggerDahutR.cdf,Objects\Weapons\Melee\Knives\1h\daggerDahutR\wep_mel_knf_1h_daggerDahutR.skin,,,,,,,,,,1H_Sword_Attack1,1H_Sword_Attack2,Animations/Mannequin/ADB/npc_empress_weapon_anims.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,100,15,0,,,,,,,,,,,,,,,,,,,,,,,,,Sword,89,,,,
IoN_Lost_Heiress_Stabbing_Dagger,,1,Combat Melee,weapon_ironrapier,1,AlwaysUnsheathed_Rhand,OneHandSwordDamage,,0,1372,0.03,1.3,100,1.5,melee,meleeHaveTarget,3,,,,,"1H_Melee,Dagger",Melee_OH,Objects\Weapons\Melee\Knives\1h\daggerDahutL\wep_mel_knf_1h_daggerDahutL.cdf,Objects\Weapons\Melee\Knives\1h\daggerDahutL\wep_mel_knf_1h_daggerDahutL.skin,,,,,,,,,,1H_Sword_Attack1,1H_Sword_Attack2,Animations/Mannequin/ADB/npc_empress_weapon_anims.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,100,15,0,,,,,,,,,,,,,,,,,,,,,,,,,Sword,89,,,,
