CampSkinID,ItemId,RequiredAchievementId,IsEntitlement,IsEnabled
CampSkin_Winter01_A,CampSkin_Winter01_A,CampSkin_Unlock_CampSkin_Winter01_A,false,true
CampSkin_Winter02_A,CampSkin_Winter02_A,,true,true
CampSkin_Winter03_A,CampSkin_Winter03_A,,true,true
CampSkin_Floral01_A,CampSkin_Floral01_A,,true,true
CampSkin_Love01_A,CampSkin_Love01_A,,true,true
CampSkin_Fortune01_A,CampSkin_Fortune01_A,,true,true
CampSkin_Fortune02_A,CampSkin_Fortune02_A,,true,true
CampSkin_RPG01_A,CampSkin_RPG01_A,,true,true
CampSkin_SilentDeath01_A,CampSkin_SilentDeath01_A,,true,true
CampSkin_SummerMedley01_A,CampSkin_SummerMedley01_A,,true,true
CampSkin_MetalFest01_A,CampSkin_MetalFest01_A,,true,true
CampSkin_MetalFest02_A,CampSkin_MetalFest02_A,,true,true
