PerkID,PerkType,ConditionEvent,ItemClass,ExcludeItemClass,Channel,ExclusiveLabels,DeprecatedPerkId,ScalingPerGearScore,ItemClassGSBonus,DisplayName,Description,GroupName,Tier,ExcludeFromTradingPost,AppliedPrefix,AppliedSuffix,NamePriority,IconPath,Affix,EquipAbility,DayPhases,FishingWaterType,TerritoryId,CombatStatus,Category
ArmorSoldier1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorSoldier2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorSoldier3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorSoldier4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandSoldier1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandSoldier2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandSoldier3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandSoldier4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandSoldier1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandSoldier2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandSoldier3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandSoldier4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@SoldierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorFighter1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorFighter2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorFighter3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorFighter4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandFighter1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandFighter2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandFighter3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandFighter4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandFighter1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandFighter2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandFighter3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandFighter4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorSpellsword1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorSpellsword2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorSpellsword3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorSpellsword4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandSpellsword1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandSpellsword2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
