PerkID,PerkType,ConditionEvent,ItemClass,ExcludeItemClass,Channel,ExclusiveLabels,ItemPerkConflictsLocText,DeprecatedPerkId,ScalingPerGearScore,ScalingPerGearScoreAttributes,ItemClassGSBonus,DisplayName,SecondaryEffectDisplayName,Description,StatDisplayText,GroupName,Tier,ExcludeFromTradingPost,AppliedPrefix,AppliedSuffix,NamePriority,IconPath,Affix,EquipAbility,DayPhases,FishingWaterType,TerritoryId,CombatStatus,WeaponTag,Category,WorldTags,OnlyInOpenWorld,OpenWorldOnlyOverrideGameModes,ScheduleID,Sorting,Includes
PerkID_SetBonus_Enrage_Perk1,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_Enrage_Perk1_Name,,@PerkID_SetBonus_Enrage_Perk1_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"AbilityTable_SetBonus_Enrage_Perk1_DmgBonus,AbilityTable_SetBonus_Enrage_Perk_StackTracker,AbilityTable_SetBonus_Enrage_Perk_StackTracker_SlowAttacks,AbilityTable_SetBonus_Enrage_Perk_ResetDuration",,,,,,,,,,,SetBonus,
PerkID_SetBonus_Enrage_Perk2,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_Enrage_Perk2_Name,,@PerkID_SetBonus_Enrage_Perk2_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"AbilityTable_SetBonus_Enrage_Perk2_DmgBonus,AbilityTable_SetBonus_Enrage_Perk2_Heavy2Stack",,,,,,,,,,,SetBonus,
PerkID_SetBonus_Enrage_Perk3,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_Enrage_Perk3_Name,,@PerkID_SetBonus_Enrage_Perk3_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"AbilityTable_SetBonus_Enrage_Perk3_DmgBonus,AbilityTable_SetBonus_Enrage_Perk3_IncDuration,AbilityTable_SetBonus_Enrage_Perk3_DmgBelow70PctHP,AbilityTable_SetBonus_Enrage_Perk3_IncDuration_SS",,,,,,,,,,,SetBonus,
PerkID_SetInfix_Enrage_Perk_Ring,Inherent,OnEquip,EquippableRing,,1,Infix,,,,,,@PerkID_SetInfix_Enrage_Perk_Ring_Name,,@PerkID_SetInfix_Enrage_Perk_Ring_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Enrage_Ring,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Enrage_Perk_Gloves,Inherent,OnEquip,EquippableHands,,1,Infix,,,,,,@PerkID_SetInfix_Enrage_Perk_Gloves_Name,,@PerkID_SetInfix_Enrage_Perk_Gloves_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Enrage_Gloves,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Enrage_Perk_Legs,Inherent,OnEquip,EquippableLegs,,1,Infix,,,,,,@PerkID_SetInfix_Enrage_Perk_Legs_Name,,@PerkID_SetInfix_Enrage_Perk_Legs_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Enrage_Legs,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Enrage_Perk_Head,Inherent,OnEquip,EquippableHead,,1,Infix,,,,,,@PerkID_SetInfix_Enrage_Perk_Head_Name,,@PerkID_SetInfix_Enrage_Perk_Head_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Enrage_Head,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Enrage_Perk_Feet,Inherent,OnEquip,EquippableFeet,,1,Infix,,,,,,@PerkID_SetInfix_Enrage_Perk_Feet_Name,,@PerkID_SetInfix_Enrage_Perk_Feet_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Enrage_Feet,,,,,,,,,,,SetInfix,
PerkID_SetBonus_SecondWind_Perk1,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_SecondWind_Perk1_Name,,@PerkID_SetBonus_SecondWind_Perk1_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"AbilityTable_SetBonus_SecondWind_Perk1_DmgBonus,AbilityTable_SetBonus_SecondWind_Perk1_SlowRemoval",,,,,,,,,,,SetBonus,
PerkID_SetBonus_SecondWind_Perk2,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_SecondWind_Perk2_Name,,@PerkID_SetBonus_SecondWind_Perk2_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"AbilityTable_SetBonus_SecondWind_Perk2_LifeSteal,AbilityTable_SetBonus_SecondWind_Perk2_HitTracker",,,,,,,,,,,SetBonus,
PerkID_SetInfix_SecondWind_Perk_Ring,Inherent,OnEquip,EquippableRing,,1,Infix,,,,,,@PerkID_SetInfix_SecondWind_Perk_Ring_Name,,@PerkID_SetInfix_SecondWind_Perk_Ring_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_SecondWind_Ring,,,,,,,,,,,SetInfix,
PerkID_SetInfix_SecondWind_Perk_Gloves,Inherent,OnEquip,EquippableHands,,1,Infix,,,,,,@PerkID_SetInfix_SecondWind_Perk_Gloves_Name,,@PerkID_SetInfix_SecondWind_Perk_Gloves_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_SecondWind_Gloves,,,,,,,,,,,SetInfix,
PerkID_SetInfix_SecondWind_Perk_Legs,Inherent,OnEquip,EquippableLegs,,1,Infix,,,,,,@PerkID_SetInfix_SecondWind_Perk_Legs_Name,,@PerkID_SetInfix_SecondWind_Perk_Legs_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_SecondWind_Legs,,,,,,,,,,,SetInfix,
