TimelineEntryName,TimelineAssetPath,AssetDependencyPath
Whisper_Timeline_01,Whisper_Timeline_01.timeline,Whisper_Timeline_01.timeline
Whisper_Timeline_03,Whisper_Timeline_03.timeline,Whisper_Timeline_03.timeline
Whisper_Timeline_FTUE_01,Whisper_Timeline_FTUE_01.timeline,Whisper_Timeline_FTUE_01.timeline
Whisper_Timeline_FTUE_02,Whisper_Timeline_FTUE_02.timeline,Whisper_Timeline_FTUE_02.timeline
Whisper_Timeline_FTUE_04,Whisper_Timeline_FTUE_04.timeline,Whisper_Timeline_FTUE_04.timeline
Whisper_Timeline_FTUE_05,Whisper_Timeline_FTUE_05.timeline,Whisper_Timeline_FTUE_05.timeline
Whisper_Timeline_01_IsabellasFirstWhisper_Isabella_01_IGC,Whisper_Timeline_01_IsabellasFirstWhisper_Isabella_01_IGC.timeline,Whisper_Timeline_01_IsabellasFirstWhisper_Isabella_01_IGC.timeline
Whisper_Timeline_Beach_01,Whisper_Timeline_Beach_01.timeline,Whisper_Timeline_Beach_01.timeline
Whisper_Timeline_Beach_02,Whisper_Timeline_Beach_02.timeline,Whisper_Timeline_Beach_02.timeline
Whisper_Timeline_Beach_03,Whisper_Timeline_Beach_03.timeline,Whisper_Timeline_Beach_03.timeline
Whisper_Timeline_Beach_04,Whisper_Timeline_Beach_04.timeline,Whisper_Timeline_Beach_04.timeline
Whisper_Timeline_Beach_05,Whisper_Timeline_Beach_05.timeline,Whisper_Timeline_Beach_05.timeline
Whisper_Timeline_Beach_06,Whisper_Timeline_Beach_06.timeline,Whisper_Timeline_Beach_06.timeline
Whisper_Timeline_Beach_07,Whisper_Timeline_Beach_07.timeline,Whisper_Timeline_Beach_07.timeline
Whisper_Timeline_98_Covenant_Whisper_01,Whisper_Timeline_98_Covenant_Whisper_01.timeline,Whisper_Timeline_98_Covenant_Whisper_01.timeline
Whisper_Timeline_98_Marauders_Whisper_01,Whisper_Timeline_98_Marauders_Whisper_01.timeline,Whisper_Timeline_98_Marauders_Whisper_01.timeline
Whisper_Timeline_98_Syndicate_Whisper_01,Whisper_Timeline_98_Syndicate_Whisper_01.timeline,Whisper_Timeline_98_Syndicate_Whisper_01.timeline
Whisper_Timeline_12A_MB_Whisper_01,Whisper_Timeline_12A_MB_Whisper_01.timeline,Whisper_Timeline_12A_MB_Whisper_01.timeline
Whisper_Timeline_12A_MB_Whisper_02,Whisper_Timeline_12A_MB_Whisper_02.timeline,Whisper_Timeline_12A_MB_Whisper_02.timeline
Whisper_Timeline_12A_MB_Whisper_03,Whisper_Timeline_12A_MB_Whisper_03.timeline,Whisper_Timeline_12A_MB_Whisper_03.timeline
