FromItemId,ToItemId,KeepPerks,FeatureId
Cursed10ws_OrePreciousT2,OrePreciousT2,,Catacombs_Extraction
Cursed10ws_OrePreciousT3,OrePreciousT3,,Catacombs_Extraction
Cursed10ws_StoneT4,StoneT4,,Catacombs_Extraction
Cursed10ws_OreT4,OreT4,,Catacombs_Extraction
Cursed10ws_OreT5,OreT5,,Catacombs_Extraction
Cursed10ws_WoodT4,WoodT4,,Catacombs_Extraction
Cursed10ws_WoodT5,WoodT5,,Catacombs_Extraction
Cursed10ws_WoodT52,WoodT52,,Catacombs_Extraction
Cursed10ws_FiberT4,FiberT4,,Catacombs_Extraction
Cursed10ws_FiberT52,FiberT52,,Catacombs_Extraction
Cursed10ws_FiberT5,FiberT5,,Catacombs_Extraction
Cursed10ws_RawhideT4,RawhideT4,,Catacombs_Extraction
Cursed10ws_RawhideT5,RawhideT5,,Catacombs_Extraction
Cursed10ws_RawhideT52,RawhideT52,,Catacombs_Extraction
Cursed10ws_OreT52,OreT52,,Catacombs_Extraction
CursedCatacombs_OreT1,OreT1,,Catacombs_Extraction
CursedCatacombs_HideT1,RawhideT1,,Catacombs_Extraction
CursedCatacombs_CrystalizedSoul,CrystalizedSoul,,Catacombs_Extraction
