LeaderboardId,IsEnabled,Namespace,Rotation,LeaderboardDefinitionId,FactionLeaderboardDefinitionId,DataSheetCategory,DataSheetLBScope,CharacterLeaderboard,GroupLeaderboard,CompanyLeaderboard,FactionLeaderboard,GameMode,FirstLevelCategory,SecondLevelCategory,SecondLevelCategoryPriority,DisplayName,DisplayNamePriority,Category,CategoryPriority,Faction,Rewards,ItemRewards,EntitlementRewards,CategoryDescription,CategoryAdditionalHeader,RewardType,NameString,ValueString
MonthWarScore,true,pc,Month,top-war-score.{world}.{month},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_score,1,@ui_leaderboard_display_war_score,1,@ui_leaderboard_category_war,,,,,,@ui_leaderboard_tip_war_score,,,,@ui_leaderboard_column_score
SeasonWarScore,true,pc,Season,top-war-score.{world}.{season},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_score,1,@ui_leaderboard_display_war_score,1,@ui_leaderboard_category_war,,,,,,@ui_leaderboard_tip_war_score,,,,@ui_leaderboard_column_score
MonthWarDamageTaken,true,pc,Month,top-war-damage-taken.{world}.{month},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_damage_taken,9,@ui_leaderboard_display_war_damage_taken,9,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_damage
SeasonWarDamageTaken,true,pc,Season,top-war-damage-taken.{world}.{season},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_damage_taken,9,@ui_leaderboard_display_war_damage_taken,9,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_damage
MonthWarDamageDealt,true,pc,Month,top-war-damage-dealt.{world}.{month},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_damage_dealt,8,@ui_leaderboard_display_war_damage_dealt,8,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_damage
SeasonWarDamageDealt,true,pc,Season,top-war-damage-dealt.{world}.{season},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_damage_dealt,8,@ui_leaderboard_display_war_damage_dealt,8,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_damage
MonthWarHeals,true,pc,Month,top-war-heals.{world}.{month},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_heals,7,@ui_leaderboard_display_war_heals,7,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_heals
SeasonWarHeals,true,pc,Season,top-war-heals.{world}.{season},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_heals,7,@ui_leaderboard_display_war_heals,7,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_heals
MonthWarKills,true,pc,Month,top-war-kills.{world}.{month},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_kills,5,@ui_leaderboard_display_war_kills,5,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_kills
SeasonWarKills,true,pc,Season,top-war-kills.{world}.{season},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_kills,5,@ui_leaderboard_display_war_kills,5,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_kills
MonthWarWins,true,pc,Month,top-character-war-wins.{world}.{month},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_wins,2,@ui_leaderboard_display_war_wins,2,@ui_leaderboard_category_war,,,,,,@ui_leaderboard_tip_inv_war_wins,,,,@ui_leaderboard_column_wins
SeasonWarWins,true,pc,Season,top-character-war-wins.{world}.{season},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_wins,2,@ui_leaderboard_display_war_wins,2,@ui_leaderboard_category_war,,,,,,@ui_leaderboard_tip_inv_war_wins,,,,@ui_leaderboard_column_wins
MonthWarAttackerWins,true,pc,Month,top-character-war-attacking-wins.{world}.{month},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_attacker_wins,3,@ui_leaderboard_display_war_attacker_wins,3,@ui_leaderboard_category_war,,,,,,@ui_leaderboard_tip_inv_war_wins,,,,@ui_leaderboard_column_wins
