WeaponEffectId,Default,Fire,Arcane,Void,Lightning,Ice,Nature
Sword,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Sword/WeaponEffect_Sword_Fire.lua,Scripts/WeaponEffects/Sword/WeaponEffect_Sword_Magic.lua,Scripts/WeaponEffects/Sword/WeaponEffect_Sword_Void.lua,Scripts/WeaponEffects/Sword/WeaponEffect_Sword_Lightning.lua,Scripts/WeaponEffects/Sword/WeaponEffect_Sword_Ice.lua,Scripts/WeaponEffects/Sword/WeaponEffect_Sword_Nature.lua
GreatAxe,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/GreatAxe/WeaponEffect_GreatAxe_Fire.lua,Scripts/WeaponEffects/GreatAxe/WeaponEffect_GreatAxe_Magic.lua,Scripts/WeaponEffects/GreatAxe/WeaponEffect_GreatAxe_Void.lua,Scripts/WeaponEffects/GreatAxe/WeaponEffect_GreatAxe_Lightning.lua,Scripts/WeaponEffects/GreatAxe/WeaponEffect_GreatAxe_Ice.lua,Scripts/WeaponEffects/GreatAxe/WeaponEffect_GreatAxe_Nature.lua
Musket,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Musket/WeaponEffect_Musket_Fire.lua,Scripts/WeaponEffects/Musket/WeaponEffect_Musket_Magic.lua,Scripts/WeaponEffects/Musket/WeaponEffect_Musket_Void.lua,Scripts/WeaponEffects/Musket/WeaponEffect_Musket_Lightning.lua,Scripts/WeaponEffects/Musket/WeaponEffect_Musket_Ice.lua,Scripts/WeaponEffects/Musket/WeaponEffect_Musket_Nature.lua
Blunderbuss,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Blunderbuss/WeaponEffect_Blunderbuss_Fire.lua,Scripts/WeaponEffects/Blunderbuss/WeaponEffect_Blunderbuss_Magic.lua,Scripts/WeaponEffects/Blunderbuss/WeaponEffect_Blunderbuss_Void.lua,Scripts/WeaponEffects/Blunderbuss/WeaponEffect_Blunderbuss_Lightning.lua,Scripts/WeaponEffects/Blunderbuss/WeaponEffect_Blunderbuss_Ice.lua,Scripts/WeaponEffects/Blunderbuss/WeaponEffect_Blunderbuss_Nature.lua
Spear,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Spear/WeaponEffect_Spear_Fire.lua,Scripts/WeaponEffects/Spear/WeaponEffect_Spear_Magic.lua,Scripts/WeaponEffects/Spear/WeaponEffect_Spear_Void.lua,Scripts/WeaponEffects/Spear/WeaponEffect_Spear_Lightning.lua,Scripts/WeaponEffects/Spear/WeaponEffect_Spear_Ice.lua,Scripts/WeaponEffects/Spear/WeaponEffect_Spear_Nature.lua
Rapier,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Rapier/WeaponEffect_Rapier_Fire.lua,Scripts/WeaponEffects/Rapier/WeaponEffect_Rapier_Magic.lua,Scripts/WeaponEffects/Rapier/WeaponEffect_Rapier_Void.lua,Scripts/WeaponEffects/Rapier/WeaponEffect_Rapier_Lightning.lua,Scripts/WeaponEffects/Rapier/WeaponEffect_Rapier_Ice.lua,Scripts/WeaponEffects/Rapier/WeaponEffect_Rapier_Nature.lua
Warhammer,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Warhammer/WeaponEffect_Warhammer_Fire.lua,Scripts/WeaponEffects/Warhammer/WeaponEffect_Warhammer_Magic.lua,Scripts/WeaponEffects/Warhammer/WeaponEffect_Warhammer_Void.lua,Scripts/WeaponEffects/Warhammer/WeaponEffect_Warhammer_Lightning.lua,Scripts/WeaponEffects/Warhammer/WeaponEffect_Warhammer_Ice.lua,Scripts/WeaponEffects/Warhammer/WeaponEffect_Warhammer_Nature.lua
Greatsword,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Greatsword/WeaponEffect_Greatsword_Fire.lua,Scripts/WeaponEffects/Greatsword/WeaponEffect_Greatsword_Magic.lua,Scripts/WeaponEffects/Greatsword/WeaponEffect_Greatsword_Void.lua,Scripts/WeaponEffects/Greatsword/WeaponEffect_Greatsword_Lightning.lua,Scripts/WeaponEffects/Greatsword/WeaponEffect_Greatsword_Ice.lua,Scripts/WeaponEffects/Greatsword/WeaponEffect_Greatsword_Nature.lua
Flail,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Flail/WeaponEffect_Flail_Fire.lua,Scripts/WeaponEffects/Flail/WeaponEffect_Flail_Magic.lua,Scripts/WeaponEffects/Flail/WeaponEffect_Flail_Void.lua,Scripts/WeaponEffects/Flail/WeaponEffect_Flail_Lightning.lua,Scripts/WeaponEffects/Flail/WeaponEffect_Flail_Ice.lua,Scripts/WeaponEffects/Flail/WeaponEffect_Flail_Nature.lua
Hatchet,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Hatchet/WeaponEffect_Hatchet_Fire.lua,Scripts/WeaponEffects/Hatchet/WeaponEffect_Hatchet_Magic.lua,Scripts/WeaponEffects/Hatchet/WeaponEffect_Hatchet_Void.lua,Scripts/WeaponEffects/Hatchet/WeaponEffect_Hatchet_Lightning.lua,Scripts/WeaponEffects/Hatchet/WeaponEffect_Hatchet_Ice.lua,Scripts/WeaponEffects/Hatchet/WeaponEffect_Hatchet_Nature.lua
