Name,mat_default,mat_bark,mat_dirt,mat_fabric,mat_glass,mat_grass,mat_metal,mat_mud,mat_rock,mat_rock_wet,mat_sand,mat_sand_wet,mat_thatch,mat_water,mat_water_deep,mat_water_shallow,mat_wood,mat_corruption_core,mat_corruption,mat_holy_shield,mat_ice_entomb
Default,EnvironmentDefault,EnvironmentWood,EnvironmentDirt,EnvironmentFabric,EnvironmentRock,EnvironmentDefault,EnvironmentMetal,EnvironmentDefault,EnvironmentRock,EnvironmentRock,EnvironmentDefault,EnvironmentDefault,EnvironmentDefault,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentRock
Default+Crit,EnvironmentDefault,EnvironmentWood,EnvironmentDirt,EnvironmentFabric,EnvironmentRock,EnvironmentDefault,EnvironmentMetal,EnvironmentDefault,EnvironmentRock,EnvironmentRock,EnvironmentDefault,EnvironmentDefault,EnvironmentDefault,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentRock
Sword,EnvironmentSwordDirt,EnvironmentSwordWood,EnvironmentSwordDirt,EnvironmentSwordFabric,EnvironmentSwordRock,EnvironmentSwordGrass,EnvironmentSwordMetal,EnvironmentSwordDirt,EnvironmentSwordRock,EnvironmentSwordRock,EnvironmentSwordSand,EnvironmentSwordSand,EnvironmentSwordDirt,EnvironmentSwordWater,EnvironmentSwordWater,EnvironmentSwordWater,EnvironmentSwordWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentSwordRock
Sword_Fleche,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment
Sword+Crit,EnvironmentDefault,EnvironmentSwordWood,EnvironmentSwordDirt,EnvironmentSwordFabric,EnvironmentSwordRock,EnvironmentSwordGrass,EnvironmentSwordMetal,EnvironmentSwordDirt,EnvironmentSwordRock,EnvironmentSwordRock,EnvironmentSwordSand,EnvironmentSwordSand,EnvironmentSwordDirt,EnvironmentSwordWater,EnvironmentSwordWater,EnvironmentSwordWater,EnvironmentSwordWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentSwordRock
Club,EnvironmentClubDirt,EnvironmentClubWood,EnvironmentClubDirt,EnvironmentClubFabric,EnvironmentClubRock,EnvironmentClubGrass,EnvironmentClubMetal,EnvironmentClubDirt,EnvironmentClubRock,EnvironmentClubRock,EnvironmentClubSand,EnvironmentClubSand,EnvironmentClubDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentClubWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentClubRock
ClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentClubSpriggan,EnvironmentClubSpriggan,EnvironmentClubSpriggan,HolyShield_Proj,EnvironmentClubSpriggan
Axe,EnvironmentAxeDirt,EnvironmentAxeWood,EnvironmentAxeDirt,EnvironmentFabric,EnvironmentAxeRock,EnvironmentAxeDirt,EnvironmentAxeMetal,EnvironmentAxeDirt,EnvironmentAxeRock,EnvironmentAxeRock,EnvironmentAxeDirt,EnvironmentAxeDirt,EnvironmentAxeDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentAxeWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentAxeRock
Axe+Crit,EnvironmentDefault,EnvironmentAxeWood,EnvironmentAxeDirt,EnvironmentFabric,EnvironmentAxeRock,EnvironmentAxeDirt,EnvironmentAxeMetal,EnvironmentAxeDirt,EnvironmentAxeRock,EnvironmentAxeRock,EnvironmentAxeDirt,EnvironmentAxeDirt,EnvironmentAxeDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentAxeWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentAxeRock
Axe_Throw,EnvironmentAxeDirt,EnvironmentAxeWood,EnvironmentAxeDirt,EnvironmentFabric,EnvironmentAxeRock,EnvironmentAxeDirt,EnvironmentAxeMetal,EnvironmentAxeDirt,EnvironmentAxeRock,EnvironmentAxeRock,EnvironmentAxeDirt,EnvironmentAxeDirt,EnvironmentAxeDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentAxeWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentAxeRock
Axe_Throw+Crit,EnvironmentAxeDirt,EnvironmentAxeWood,EnvironmentAxeDirt,EnvironmentFabric,EnvironmentAxeRock,EnvironmentAxeDirt,EnvironmentAxeMetal,EnvironmentAxeDirt,EnvironmentAxeRock,EnvironmentAxeRock,EnvironmentAxeDirt,EnvironmentAxeDirt,EnvironmentAxeDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentAxeWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentAxeRock
GreatAxe,EnvironmentDefault,EnvironmentWood_LG,EnvironmentDirt_LG,EnvironmentFabric,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentMetal_LG,EnvironmentDirt_LG,EnvironmentRock_LG,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentDirt_LG,EnvironmentWood_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWood_LG,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentRock_LG
GreatAxe+Crit,EnvironmentDefault,EnvironmentWood_LG,EnvironmentDirt_LG,EnvironmentFabric,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentMetal_LG,EnvironmentDirt_LG,EnvironmentRock_LG,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentDirt_LG,EnvironmentWood_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWood_LG,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentRock_LG
Unarmed,EnvironmentDefault,EnvironmentUnarmedWood,EnvironmentUnarmedDirt,EnvironmentUnarmedFabric,EnvironmentUnarmedRock,EnvironmentUnarmedGrass,EnvironmentUnarmedMetal,EnvironmentUnarmedDirt,EnvironmentUnarmedRock,EnvironmentUnarmedRock,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentUnarmedWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentUnarmedRock
Unarmed+Crit,EnvironmentDefault,EnvironmentUnarmedWood,EnvironmentUnarmedDirt,EnvironmentUnarmedFabric,EnvironmentUnarmedRock,EnvironmentUnarmedGrass,EnvironmentUnarmedMetal,EnvironmentUnarmedDirt,EnvironmentUnarmedRock,EnvironmentUnarmedRock,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentUnarmedWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentUnarmedRock
Musket,EnvironmentBulletDirt,EnvironmentBulletWood,EnvironmentBulletDirt,EnvironmentBulletFabric,EnvironmentBulletRock,EnvironmentBulletGrass,EnvironmentBulletMetal,EnvironmentBulletDirt,EnvironmentBulletRock,EnvironmentBulletRock,EnvironmentBulletSand,EnvironmentBulletSand,EnvironmentBulletDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentBulletWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentBulletRock
Musket_Heavy,EnvironmentDefault,EnvironmentWood_LG,EnvironmentDirt_LG,EnvironmentFabric,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentMetal_LG,EnvironmentDirt_LG,EnvironmentRock_LG,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentDirt_LG,EnvironmentWood_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWood_LG,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentRock_LG
StickyBomb,EnvironmentDefault,EnvironmentClubWood,EnvironmentClubDirt,EnvironmentClubFabric,EnvironmentClubRock,EnvironmentClubGrass,EnvironmentClubMetal,EnvironmentClubDirt,EnvironmentClubRock,EnvironmentClubRock,EnvironmentClubSand,EnvironmentClubSand,EnvironmentClubDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentClubWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentClubRock
Musket+Crit,EnvironmentBulletDirt,EnvironmentBulletWood,EnvironmentBulletDirt,EnvironmentBulletFabric,EnvironmentBulletRock,EnvironmentBulletGrass,EnvironmentBulletMetal,EnvironmentBulletDirt,EnvironmentBulletRock,EnvironmentBulletRock,EnvironmentBulletSand,EnvironmentBulletSand,EnvironmentBulletDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentBulletWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentBulletRock
