Name,Default,Player,Flesh,FleshHead,Armor,ArmorHead,Damned,Dryad,Ghost,Turkey,Skeleton,AncientGuardian,GhostCharred,GhostFrozen,GhostShipwrecked,GhostHanged,GhostPlagued,BearElemental,Bear,Regurgitator,SprigganForest,CorruptedEntity,BlightFiend,FrostWolf,EarthWolf,Lost,Withered,Dynasty,DunePhantom,AnubianGuardianBrute,AENaga,AnubianLocustScarab,Sun,MageArcaneShield,RockNPC,EvilKnightFireChampion,Upyr
Default,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest,DebugTest
Unarmed,UnarmedDefault,UnarmedDefault,UnarmedFlesh,UnarmedFlesh,UnarmedArmor,UnarmedArmor,UnarmedDamned,UnarmedDryad,UnarmedGhost,UnarmedTurkey,UnarmedSkeleton,UnarmedSkeleton,UnarmedGhostCharred,UnarmedGhostFrozen,UnarmedGhostShipwrecked,UnarmedGhostHanged,UnarmedGhostPlagued,UnarmedBearElemental,UnarmedBear,UnarmedRegurgitator,UnarmedSprigganForest,UnarmedCorruptionEntity,UnarmedBlightFiend,UnarmedFrostWolf,UnarmedEarthWolf,UnarmedLost,UnarmedWithered,UnarmedDynasty,UnarmedDunePhantom,UnarmedDunePhantom,UnarmedAENaga,UnarmedAENaga,UnarmedSun,HolyShield_Proj,UnarmedRockNPC,UnarmedArmor,UnarmedDefault
Unarmed+Crit,UnarmedDefault,UnarmedDefault,UnarmedFlesh,UnarmedFlesh,UnarmedArmor,UnarmedArmor,UnarmedDamned,UnarmedDryad,UnarmedGhost,UnarmedTurkey,UnarmedSkeleton,UnarmedSkeleton,UnarmedGhostCharred,UnarmedGhostFrozen,UnarmedGhostShipwrecked,UnarmedGhostHanged,UnarmedGhostPlagued,UnarmedBearElemental,UnarmedBear,UnarmedRegurgitator,UnarmedSprigganForest,UnarmedCorruptionEntity,UnarmedBlightFiend,UnarmedFrostWolf,UnarmedEarthWolf,UnarmedLost,UnarmedWithered,UnarmedDynasty,UnarmedDunePhantom,UnarmedDunePhantom,UnarmedAENaga,UnarmedAENaga,UnarmedSun,HolyShield_Proj,UnarmedRockNPC,UnarmedArmor,UnarmedDefault
Unarmed+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
Sword,SwordDefault,SwordDefault,SwordFlesh,SwordFleshHead,SwordArmor,SwordArmorHead,SwordDamned,SwordDryad,SwordGhost,SwordTurkey,SwordSkeleton,SwordAncientGuardian,SwordGhostCharred,SwordGhostFrozen,SwordGhostShipwrecked,SwordGhostHanged,SwordGhostPlagued,SwordBearElemental,SwordBear,SwordRegurgitator,SwordSprigganForest,SwordCorruptedEntity,SwordBlightFiend,SwordFrostWolf,SwordEarthWolf,SwordLost,SwordWithered,SwordDynasty,SwordDunePhantom,AnubianGuardianBruteBody,SwordAENaga,AnubianLocustScarabBody,SwordSun,HolyShield_Proj,SwordRockNPC,SwordArmor,SwordDefault
Sword_Fleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,SwordFleche,HolyShield_Proj,SwordFleche,SwordFleche,SwordFleche
Sword+Resist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordDamnedResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,HolyShield_Proj,SwordResist,SwordResist,SwordResist
Sword+Fire+Resist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordDamnedResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,HolyShield_Proj,SwordResist,SwordResist,SwordResist
Sword+Fire,SwordFire,SwordFire,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,SwordFireGeneric,HolyShield_Proj,SwordFireGeneric,SwordFireGeneric,SwordFire
