GameModeMapId,GameModeId,SlicePath,UIMapDisplayName,ActivityScreenBgPath,DynamicStackConfigName,ExcludeFromMapRotation,CoatlicueName,WorldBounds,TeamTeleportData,TeamTeleportFormationData,UIMapId,ProjectedAZothComputeUnits,ProjectedMemoryUseMb,PauseTimeOfDay,FreezeTime,NavGenerationEnabled
TestMode1,TestMode1,GameModes/GameModeTest_01,,,,,,,,,,,,false,0,
TestMode2,TestMode2,GameModes/GameModeTest_02,,,,,,,,,,,,false,0,
BattleBanners,BattleBanners,MODES/CTF/Gamemode_BattleBanners,@gamemode_type_and_map_name_undefined,LyShineUI/Images/PUGFinder/gameModeSignUp/OutpostRush/OutpostRushTabBg.png,battle-banners,,coatlicue\NW_CTF_Fortress_00,"0.0,0.0,2048.0,2048.0","1072,1070,56,140+975,976,56,315",,,2,1024,false,0,false
CTF_002_Wide,CaptureTheFlag,MODES/CTF/NW_CTF_002_Wide/Gamemode_CTF_002_Wide,@ctf_002_Wide_Map_Name,LyShineUI/Images/PUGFinder/gameModeSignUp/CaptureTheFlag/CTF_002_CastleRuinsBg.png,ctf-002-wide,true,coatlicue\NW_CTF_002_Wide,"632.0,1024.0,384.0,288.0","854.1,1263.8,84.4,180+854.4,1113.2,84.2,0",,NW_CTF_002_Wide,2,700,false,0,false
CTF_003_Long,CaptureTheFlag,MODES/CTF/NW_CTF_003_Long/Gamemode_CTF_003_Long,@ctf_003_Long_Map_Name,LyShineUI/Images/PUGFinder/gameModeSignUp/CaptureTheFlag/CTF_001_BridgeBg.png,ctf-003-long,,coatlicue\NW_CTF_003_Long,"864.0,864.0,320.0,256.0","1087.669,1097.134,190.888,150+1005.846,955.411,189.979,330",,NW_CTF_003_Long,2,600,false,0,false
CaptureTheFlag,CaptureTheFlag,MODES/CTF/Gamemode_CTF,@gamemode_type_and_map_name_undefined,LyShineUI/Images/PUGFinder/gameModeSignUp/OutpostRush/OutpostRushTabBg.png,capture-the-flag,true,coatlicue\NW_CTF_Fortress_00,"0.0,0.0,2048.0,2048.0","1157.0,1160.0,50.0,140.0+889.0,889.0,50.0,315.0",,,2,1024,false,0,false
Duel,Duel,GameModes/GameMode_Duel,,,,,,,,,,,,false,0,
OutpostRush,OutpostRush,POIs/OutpostRush/OutpostRush_Layout_00,@or_outpost_rush_map_name,LyShineUI/Images/PUGFinder/gameModeSignUp/OutpostRush/OutpostRushTabBg.png,outpost-rush,,coatlicue\NewWorld_VitaeEterna,"937.0,10562.0,704.0,1056.0","1241,10746,96,0+1309,11279,66,180",,OutpostRush,8,1024,false,0,
OutpostRush_004_Trench,OutpostRush,MODES/OPR/NW_OPR_004_Trench/OutpostRush_Layout_004_Trench,@or_outpost_rush_trench_map_name,LyShineUI/Images/PUGFinder/gameModeSignUp/OutpostRush/OutpostRush_004_TrenchBg.png,outpost-rush-trench,,coatlicue\NW_OPR_004_Trench,"832.0,768.0,512.0,512.0","931.2498,983.3751,49.75,270.0+1170.75,987.75,49.3,90.0",,NW_OPR_004_Trench,8,1024,false,0,
OutpostRush_NoPerks,OutpostRush_NoPerks,POIs/OutpostRush/OutpostRush_Layout_00,@or_outpost_rush_map_name,LyShineUI/Images/PUGFinder/gameModeSignUp/OutpostRush/OutpostRushTabBg.png,outpost-rush-no-perks,,coatlicue\NewWorld_VitaeEterna,"937.0,10562.0,704.0,1056.0","1241,10746,96,0+1309,11279,66,180",,OutpostRush,8,1024,false,0,
