CostID,ManaCost,DevHelper_Legend
LifeStaff_Primary,0,Light Attack
LifeStaff_Heavy,0,Heavy Attack
LifeStaff_TouchOfLife,25,Divine Embrace
LifeStaff_TouchOfLife_Mana_Upgrade,20,Divine Embrace Privledge Upgrade
LifeStaff_HolyShield,15,Splash Of Light
LifeStaff_HealingWave,15,Sacred Ground
LifeStaff_OrbofLight,16,Orb Of Protection
LifeStaff_Beacon,16,Beacon
LifeStaff_LightsEmbrace,18,Light's Embrace
FireStaff_Primary,0,Light Attack
FireStaff_Heavy,0,Heavy Attack
FireStaff_PillarOfFire,15,Pillar Of Fire
FireStaff_Storm,25,Meteor Shower
FireStaff_Storm_Mana_Upgrade,20,Meteor Shower
FireStaff_Siege,25,Fireball
FireStaff_FlameThrower,2.5,Flamethrower
FireStaff_FlameThrower_Cancel,5,Flamethrower
FireStaff_Incinerate,22,Incinerate
FireStaff_Speed_Intro,30,Burnout
FireStaff_Speed_Cost,30,Burnout
FireStaff_Heavy_Range,10,?
FireStaff_Heavy_Speed,15,?
IceMagic_Primary,0,Light Attack
IceMagic_Heavy,0,Heavy Attack
IceMagic_Block,10,Block
IceMagic_Spikes,15,Ice Spikes
IceMagic_IceStorm,25,Ice Storm
IceMagic_IceStorm_Mana,5,Ice Storm Storm Summoner Upgrade
IceMagic_WindChill,20,Windchill
IceMagic_Entombed,0,Entomb
IceMagic_Entombed_Break,10,Entomb
IceMagic_IceShower,25,Ice Shower
IceMagic_IcePylon,15,Ice Pylon
VoidGauntlet_Primary,0,Light Attack
VoidGauntlet_Heavy,0,Heavy Attack
VoidGauntlet_VoidBlade,5,Void Blade
VoidGauntlet_NullChamber,25,Oblivion
VoidGauntlet_Scream,25,Scream
VoidGauntlet_DecayingOrb,16,Orb of Decay
VoidGauntlet_DrainingTether,20,Baleful Tether
VoidGauntlet_EssenceRupture,18,Essense Rupture
Zero_Mana,0,?
Greatsword_CrescentWave,20,
