GrammaReplacementId,FeatureId,SeedGraph,MinDepth,MaxDepth,ThemeTags,Weight,GrammarReplacements,Comments
P+T,Catacombs,T-K-P-L;L-T,,,,100,Puzzle,
StartRoom,Catacombs,StartRoom,,,,,StartRoom,
BossRoom,Catacombs,BossRoom,,,,,BossRoom,
NamedRoom,Catacombs,NamedRoom,,,,,NamedRoom,
HazardRoom,Catacombs,HazardRoom,,,,,HazardRoom,
GateRoom,Catacombs,GateRoom,,,,,GateRoom,
KeyRoom,Catacombs,KeyRoom,,,,,KeyRoom,
HallwayRoom,Catacombs,HallwayRoom,,,,,HallwayRoom,
ParkourRoom,Catacombs,ParkourRoom,,,,,ParkourRoom,
Connector,Catacombs,HallwayRoom,,,,,Connector,
CycleA_Lost,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopA_1",,,"Lost,Catacombs",,CycleA,
CycleB_Lost,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopB_1",,,"Lost,Catacombs",,CycleB,
CycleA_Corrupted,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopA_1",,,"Corrupted,Catacombs",,CycleA,
CycleB_Corrupted,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopB_1",,,"Corrupted,Catacombs",,CycleB,
CycleA_Human,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopA_1",,,"Human,Catacombs",,CycleA,
CycleB_Human,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopB_1",,,"Human,Catacombs",,CycleB,
CycleA_Beast,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopA_1",,,"Beast,Catacombs",,CycleA,
CycleB_Beast,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopB_1",,,"Beast,Catacombs",,CycleB,
CycleA_Ancient,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopA_1",,,"Ancient,Catacombs",,CycleA,
CycleB_Ancient,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopB_1",,,"Ancient,Catacombs",,CycleB,
CycleA_Angry,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopA_1",,,"Angry,Catacombs",,CycleA,
CycleB_Angry,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopB_1",,,"Angry,Catacombs",,CycleB,
CycleA_Hercyne,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopA_1",,,"Hercyne,Catacombs",,CycleA,
CycleB_Hercyne,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopB_1",,,"Hercyne,Catacombs",,CycleB,
CycleA_Upyr,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopA_1",,,"Upyr,Catacombs",,CycleA,
CycleB_Upyr,Catacombs,"HallwayRoom_1-NamedRoom_1,LoopB_1",,,"Upyr,Catacombs",,CycleB,
LoopA,Catacombs,ParkourRoom_1-NamedRoom_1-RewardRoom_1-HazardBoss_1-HallwayRoom_1:ParkourRoom_1,,,,,LoopA,
LoopB,Catacombs,ParkourRoom_1-NamedRoom_1-RewardRoom_1-GateBoss_1-HallwayRoom_1:ParkourRoom_1,,,,,LoopB,
HazardBoss,Catacombs,HazardRoom_1-#BossRoom_1(HazardRoom_1),,,,,HazardBoss,
GateBoss,Catacombs,"GateRoom_1-#BossRoom_1(GateRoom_1),KeyRoom_1(GateRoom_1)",,,,,GateBoss,
UTStartRoom,UnitTesting_Catacombs,UTStartRoom,,,,,UTStartRoom,
UTBossRoom,UnitTesting_Catacombs,UTBossRoom,,,,,UTBossRoom,
UTNamedRoom,UnitTesting_Catacombs,UTNamedRoom,,,,,UTNamedRoom,
UTHazardRoom,UnitTesting_Catacombs,UTHazardRoom,,,,,UTHazardRoom,
UTGateRoom,UnitTesting_Catacombs,UTGateRoom,,,,,UTGateRoom,
UTKeyRoom,UnitTesting_Catacombs,UTKeyRoom,,,,,UTKeyRoom,
UTHallwayRoom,UnitTesting_Catacombs,UTHallwayRoom,,,,,UTHallwayRoom,
UTParkourRoom,UnitTesting_Catacombs,UTParkourRoom,,,,,UTParkourRoom,
UTConnector,UnitTesting_Catacombs,UTHallwayRoom,,,,,UTConnector,
UTCycleA,UnitTesting_Catacombs,"UTHallwayRoom_1-UTNamedRoom_1,UTLoopA_1",,,,,UTCycleA,
UTCycleB,UnitTesting_Catacombs,"UTHallwayRoom_1-UTNamedRoom_1,UTLoopB_1",,,,,UTCycleB,
UTLoopA,UnitTesting_Catacombs,UTParkourRoom_1-UTNamedRoom_1-UTRewardRoom_1-UTHazardBoss_1-UTHallwayRoom_1:UTParkourRoom_1,,,,,UTLoopA,
UTLoopB,UnitTesting_Catacombs,UTParkourRoom_1-UTNamedRoom_1-UTRewardRoom_1-UTGateBoss_1-UTHallwayRoom_1:UTParkourRoom_1,,,,,UTLoopB,
UTHazardBoss,UnitTesting_Catacombs,UTHazardRoom_1-#UTBossRoom_1(UTHazardRoom_1),,,,,UTHazardBoss,
UTGateBoss,UnitTesting_Catacombs,"UTGateRoom_1-#UTBossRoom_1(UTGateRoom_1),UTKeyRoom_1(UTGateRoom_1)",,,,,UTGateBoss,
