TradeSkillType,TradeSkillRewardXP,SubRewardPerc1,SubRewardPerc2,SubRewardPerc3,SubRewardPerc4,SubRewardPerc5,SubRewardPerc6,SubRewardPerc7,SubRewardPerc8,SubRewardPerc9,Level01SubReward1,Level01SubReward2,Level01SubReward3,Level01SubReward4,Level01SubReward5,Level01SubReward6,Level01SubReward7,Level01SubReward8,Level01SubReward9,Level01Reward,Level01GameEvent1,Level01GameEvent2,Level01GameEvent,Level02ExpansionId,Level02SubReward1,Level02SubReward2,Level02SubReward3,Level02SubReward4,Level02SubReward5,Level02SubReward6,Level02SubReward7,Level02SubReward8,Level02SubReward9,Level02Reward,Level02GameEvent1,Level02GameEvent2,Level02GameEvent
Arcana_PostCap,3965415,0.33,0.66,,,,,,,,RewardPostCapArcanaT1,RewardPostCapArcanaT2,,,,,,,,RewardPostCapArcanaT3,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent,Expansion2023,RewardPostCapArcanaT1_B,RewardPostCapArcanaT2_B,,,,,,,,RewardPostCapArcanaT3_B,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent
Armoring_PostCap,4860800,0.33,0.66,,,,,,,,RewardPostCapArmoringT1,RewardPostCapArmoringT2,,,,,,,,RewardPostCapArmoringT3,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent,Expansion2023,RewardPostCapArmoringT1_B,RewardPostCapArmoringT2_B,,,,,,,,RewardPostCapArmoringT3_B,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent
Cooking_PostCap,2798534,0.33,0.66,,,,,,,,RewardPostCapCookingT1,RewardPostCapCookingT2,,,,,,,,RewardPostCapCookingT3,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent,Expansion2023,RewardPostCapCookingT1_B,RewardPostCapCookingT2_B,,,,,,,,RewardPostCapCookingT3_B,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent
Engineering_PostCap,4860800,0.33,0.66,,,,,,,,RewardPostCapEngineeringT1,RewardPostCapEngineeringT2,,,,,,,,RewardPostCapEngineeringT3,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent,Expansion2023,RewardPostCapEngineeringT1_B,RewardPostCapEngineeringT2_B,,,,,,,,RewardPostCapEngineeringT3_B,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent
Fishing_PostCap,29950,0.33,0.66,,,,,,,,RewardPostCapFishingT1,RewardPostCapFishingT2,,,,,,,,RewardPostCapFishingT3,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent,Expansion2023,RewardPostCapFishingT1_B,RewardPostCapFishingT2_B,,,,,,,,RewardPostCapFishingT3_B,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent
Furnishing_PostCap,5590968,0.33,0.66,,,,,,,,RewardPostCapFurnishingT1,RewardPostCapFurnishingT2,,,,,,,,RewardPostCapFurnishingT3,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent,Expansion2023,RewardPostCapFurnishingT1_B,RewardPostCapFurnishingT2_B,,,,,,,,RewardPostCapFurnishingT3_B,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent
Harvesting_PostCap,80235,0.33,0.66,,,,,,,,RewardPostCapHarvestingT1,RewardPostCapHarvestingT2,,,,,,,,RewardPostCapHarvestingT3,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent,Expansion2023,RewardPostCapHarvestingT1_B,RewardPostCapHarvestingT2_B,,,,,,,,RewardPostCapHarvestingT3_B,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent
Jewelcrafting_PostCap,3750586,0.33,0.66,,,,,,,,RewardPostCapJewelcraftingT1,RewardPostCapJewelcraftingT2,,,,,,,,RewardPostCapJewelcraftingT3,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent,Expansion2023,RewardPostCapJewelcraftingT1_B,RewardPostCapJewelcraftingT2_B,,,,,,,,RewardPostCapJewelcraftingT3_B,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent
Leatherworking_PostCap,11605464,0.33,0.66,,,,,,,,RewardPostCapLeatherworkingT1,RewardPostCapLeatherworkingT2,,,,,,,,RewardPostCapLeatherworkingT3,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent,Expansion2023,RewardPostCapLeatherworkingT1_B,RewardPostCapLeatherworkingT2_B,,,,,,,,RewardPostCapLeatherworkingT3_B,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent
Logging_PostCap,186941,0.33,0.66,,,,,,,,RewardPostCapLoggingT1,RewardPostCapLoggingT2,,,,,,,,RewardPostCapLoggingT3,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent,Expansion2023,RewardPostCapLoggingT1_B,RewardPostCapLoggingT2_B,,,,,,,,RewardPostCapLoggingT3_B,GypsumGreenEvent,GypsumGreenEvent,GypsumGreenEvent
