MountDyeItemId,ColorIndex,NameNote,BoolNote
DyeA006_Mounts,6,Gold,
DyeA028_Mounts,28,Soft Coal,
DyeA029_Mounts,29,Blemished pearl,
DyeA031_Mounts,31,Sandalwood,
DyeA032_Mounts,32,Bleached Cofee,
DyeA033_Mounts,33,Smoldering Scarlet,
DyeA034_Mounts,34,Blood,
DyeA035_Mounts,35,Rouge,
DyeA036_Mounts,36,Viola,
DyeA037_Mounts,37,Ageless Bronze,
DyeA039_Mounts,39,Silt,
DyeA040_Mounts,40,Blond,
DyeA041_Mounts,41,Sushi Green,
DyeA042_Mounts,42,Key Lime,
DyeA043_Mounts,43,Forest Green,
DyeA044_Mounts,44,Green Grass,
DyeA045_Mounts,45,Mantis,
DyeA046_Mounts,46,Angelic Satin,
DyeA047_Mounts,47,Tradewind,
DyeA048_Mounts,48,Hidden Stream,
DyeA050_Mounts,50,Supreme Saphire,
DyeA051_Mounts,51,Fierce Cobalt,
DyeA053_Mounts,53,Butterfly Wing,
DyeA054_Mounts,54,Tranquil Blossom,
DyeA055_Mounts,55,Deep Velvet,
DyeA056_Mounts,56,Crushed Berry,
DyeA057_Mounts,57,Lavender,
DyeA058_Mounts,58,Silver,
