ElementalMutationId,Name,Description,CategoryWildcard,ElementalDifficultyTier,Dungeon-,Dungeon,Dungeon+,DungeonMiniBoss,IconPath,TextColor,BackgroundColor
Hellfire_1,@FirTitle,Fire element mutator category,Fir,1,Mutation_Hellfire_DungeonMinus_Tier1,Mutation_Hellfire_Dungeon_Tier1,Mutation_Hellfire_DungeonPlus_Tier1,Mutation_Hellfire_DungeonPlus_Tier1,LyShineUI/Images/Icons/Dungeons/mutator/icon_hellfire.dds,"198,67,67","92,26,26"
Hellfire_2,@FirTitle,Fire element mutator category,Fir,2,Mutation_Hellfire_DungeonMinus_Tier2,Mutation_Hellfire_Dungeon_Tier2,Mutation_Hellfire_DungeonPlus_Tier2,Mutation_Hellfire_DungeonPlus_Tier2,LyShineUI/Images/Icons/Dungeons/mutator/icon_hellfire.dds,"198,67,67","92,26,26"
Hellfire_3,@FirTitle,Fire element mutator category,Fir,3,Mutation_Hellfire_DungeonMinus_Tier3,Mutation_Hellfire_Dungeon_Tier3,Mutation_Hellfire_DungeonPlus_Tier3,Mutation_Hellfire_DungeonPlus_Tier3,LyShineUI/Images/Icons/Dungeons/mutator/icon_hellfire.dds,"198,67,67","92,26,26"
Hellfire_4,@FirTitle,Fire element mutator category,Fir,4,Mutation_Hellfire_DungeonMinus_Tier4,Mutation_Hellfire_Dungeon_Tier4,Mutation_Hellfire_DungeonPlus_Tier4,Mutation_Hellfire_DungeonPlus_Tier4,LyShineUI/Images/Icons/Dungeons/mutator/icon_hellfire.dds,"198,67,67","92,26,26"
Eternal_1,@VoiTitle,Void element mutator category,Voi,1,Mutation_Eternal_DungeonMinus_Tier1,Mutation_Storm_Dungeon_Tier1,Mutation_Eternal_DungeonPlus_Tier1,Mutation_Eternal_DungeonPlus_Tier1,LyShineUI/Images/Icons/Dungeons/mutator/icon_eternal.dds,"120,125,185","30,38,67"
Eternal_2,@VoiTitle,Void element mutator category,Voi,2,Mutation_Eternal_DungeonMinus_Tier2,Mutation_Eternal_Dungeon_Tier2,Mutation_Eternal_DungeonPlus_Tier2,Mutation_Eternal_DungeonPlus_Tier2,LyShineUI/Images/Icons/Dungeons/mutator/icon_eternal.dds,"120,125,185","30,38,67"
Eternal_3,@VoiTitle,Void element mutator category,Voi,3,Mutation_Eternal_DungeonMinus_Tier3,Mutation_Eternal_Dungeon_Tier3,Mutation_Eternal_DungeonPlus_Tier3,Mutation_Eternal_DungeonPlus_Tier3,LyShineUI/Images/Icons/Dungeons/mutator/icon_eternal.dds,"120,125,185","30,38,67"
Eternal_4,@VoiTitle,Void element mutator category,Voi,4,Mutation_Eternal_DungeonMinus_Tier4,Mutation_Eternal_Dungeon_Tier4,Mutation_Eternal_DungeonPlus_Tier4,Mutation_Eternal_DungeonPlus_Tier4,LyShineUI/Images/Icons/Dungeons/mutator/icon_eternal.dds,"120,125,185","30,38,67"
Overgrown_1,@NatTitle,Nature element mutator category,Nat,1,Mutation_Overgrown_DungeonMinus_Tier1,Mutation_Overgrown_Dungeon_Tier1,Mutation_Overgrown_DungeonPlus_Tier1,Mutation_Overgrown_DungeonPlus_Tier1,LyShineUI/Images/Icons/Dungeons/mutator/icon_overgrown.dds,"115,129,39","48,63,34"
Overgrown_2,@NatTitle,Nature element mutator category,Nat,2,Mutation_Overgrown_DungeonMinus_Tier2,Mutation_Overgrown_Dungeon_Tier2,Mutation_Overgrown_DungeonPlus_Tier2,Mutation_Overgrown_DungeonPlus_Tier2,LyShineUI/Images/Icons/Dungeons/mutator/icon_overgrown.dds,"115,129,39","48,63,34"
Overgrown_3,@NatTitle,Nature element mutator category,Nat,3,Mutation_Overgrown_DungeonMinus_Tier3,Mutation_Overgrown_Dungeon_Tier3,Mutation_Overgrown_DungeonPlus_Tier3,Mutation_Overgrown_DungeonPlus_Tier3,LyShineUI/Images/Icons/Dungeons/mutator/icon_overgrown.dds,"115,129,39","48,63,34"
Overgrown_4,@NatTitle,Nature element mutator category,Nat,4,Mutation_Overgrown_DungeonMinus_Tier4,Mutation_Overgrown_Dungeon_Tier4,Mutation_Overgrown_DungeonPlus_Tier4,Mutation_Overgrown_DungeonPlus_Tier4,LyShineUI/Images/Icons/Dungeons/mutator/icon_overgrown.dds,"115,129,39","48,63,34"
Icebound_1,@IceTitle,Ice element mutator category,Ice,1,Mutation_Icebound_DungeonMinus_Tier1,Mutation_Icebound_Dungeon_Tier1,Mutation_Icebound_DungeonPlus_Tier1,Mutation_Icebound_DungeonPlus_Tier1,LyShineUI/Images/Icons/Dungeons/mutator/icon_icebound.dds,"113,174,194","32,68,81"
Icebound_2,@IceTitle,Ice element mutator category,Ice,2,Mutation_Icebound_DungeonMinus_Tier2,Mutation_Icebound_Dungeon_Tier2,Mutation_Icebound_DungeonPlus_Tier2,Mutation_Icebound_DungeonPlus_Tier2,LyShineUI/Images/Icons/Dungeons/mutator/icon_icebound.dds,"113,174,194","32,68,81"
Icebound_3,@IceTitle,Ice element mutator category,Ice,3,Mutation_Icebound_DungeonMinus_Tier3,Mutation_Icebound_Dungeon_Tier3,Mutation_Icebound_DungeonPlus_Tier3,Mutation_Icebound_DungeonPlus_Tier3,LyShineUI/Images/Icons/Dungeons/mutator/icon_icebound.dds,"113,174,194","32,68,81"
Icebound_4,@IceTitle,Ice element mutator category,Ice,4,Mutation_Icebound_DungeonMinus_Tier4,Mutation_Icebound_Dungeon_Tier4,Mutation_Icebound_DungeonPlus_Tier4,Mutation_Icebound_DungeonPlus_Tier4,LyShineUI/Images/Icons/Dungeons/mutator/icon_icebound.dds,"113,174,194","32,68,81"
