ChapterId,ChapterType,ChapterTypeIndex,ChapterIndex,ChapterTaskCount,ChapterRewardId,ChapterNameOverride
Season8Chapter1,Chapter,1,1,4,S8_Journey_Ch01_Complete,
Season8Chapter2,Chapter,1,2,5,S8_Journey_Ch02_Complete,
Season8Chapter3,Chapter,1,3,5,S8_Journey_Ch03_Complete,
Season8Chapter4,Chapter,1,4,6,S8_Journey_Ch04_Complete,
Season8Chapter5,Chapter,1,5,7,S8_Journey_Ch05_Complete,
Season8Challenge,Challenge,1,6,10,,
Season8SeasonalServerChapter1,SeasonalServerChapter,2,1,5,S8_Journey_SSCh01_Complete,@SS8_Journey_Pristine
Season8SeasonalServerChapter2,SeasonalServerChapter,2,1,3,S8_Journey_SSCh02_Complete,@SS8_Journey_Depraved
Season8SeasonalServerChapter3,SeasonalServerChapter,2,1,3,S8_Journey_SSCh03_Complete,@SS8_Journey_Casual
Season8SeasonalServerChallenge,SeasonalServerChallenge,2,1,1,S8_Journey_SSBonus_Complete,@SS8_Journey_Bonus
