StoreCategory,CategoryOrder,CategoryText,ChildCategoryList,StoreProductTypeList,PortraitImage,LandscapeImage,SquareImage
FeaturedDeals,1,@ui_featureddeals,,,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
TimedEvent,2,Timed Event,,,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
Special1,3,@UI_EVENT_1,,,lyshineui/images/mtx/mtx_product_images/bundle_Portrait_ValkyrieFeathered.png,lyshineui/images/mtx/mtx_product_images/bundle_Rectangle_ValkyrieFeathered.png,
Special2,4,@UI_EVENT_2,,,lyshineui/images/mtx/mtx_product_images/armorSet_Portrait_Valentine2022_02.png,lyshineui/images/mtx/mtx_product_images/armorSet_Rectangle_Valentine2022_02.png,
Bundles,5,@ui_bundles,,Bundle,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
SkinsAndEffects,6,@ui_skins_and_effects,"Effects,ArmorSkins,WeaponSkins,ToolSkins,CampSkins",,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
ArmorSkins,,@ui_armorskins,,"ApparelSkin,ApparelSkinSet",LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
WeaponSkins,,@ui_weaponskins,,"WeaponSkinBlunderbass,WeaponSkinBow,WeaponSkinFireStaff,WeaponSkinFlail,WeaponSkinGreatAxe,WeaponSkinGreatsword,WeaponSkinHatchet,WeaponSkinIceGauntlet,WeaponSkinKiteshield,WeaponSkinLifeStaff,WeaponSkinMusket,WeaponSkinRapier,WeaponSkinShield,WeaponSkinSpear,WeaponSkinSword,WeaponSkinVoidGauntlet,WeaponSkinWarhammer",LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
ToolSkins,,@ui_toolskins,,"ToolSkin,ToolSkinSet,InstrumentSkinDrum,InstrumentSkinFlute,InstrumentSkinGuitar,InstrumentSkinMandolin,InstrumentSkinUprightBass",LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
CampSkins,,@ui_campskins,,Campskin,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
Effects,,@ui_effects,,,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
Mounts,7,@ui_mounts,"Mounts,MountAttachments","Mount,MountBear,MountHorse,MountLion,MountTurkey,MountWolf",LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
MountAttachments,,@ui_mount_attachments,,MountAttachment,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
Emotes,8,@ui_emotes,,Emote,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
Consumables,9,@ui_consumables,"Consumables,Tokens,Augments,Dyes,MountDyes",,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
Tokens,,@ui_tokens,,"TokenSingle,TokenPack",LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
Augments,,@ui_augments,,"Token,EmotePermit",LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
Dyes,,@inv_dyes,,ItemDyePack,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
MountDyes,,@ui_mount_dyes,,MountDye,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
HousingItems,10,@ui_housingitems,"HousingItems,Furniture,HousePets",,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
Furniture,,@ui_furniture,,"HousingItem,HousingSet",LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
HousePets,,@ui_house_pets,,HousePet,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
GuildCrestsAndColors,11,@ui_guildcrestcolors,,GuildCrestPack,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
Services,12,@ui_services,,"Service,Loadout",LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_portrait.png,LyShineUI/Images/mtx/placeholder_mtx_images/placeholder_category_landscape.png,
