WarboardStatID,InGameStat,EndGameStat,DistanceFromAnyFlag,InRangeOfFlagMultiplier,AG_TotalDamageDealt,AG_HealingDone,AG_Score
KillsWithWeapons,true,true,14,1.25,0,0,50
DamageToPlayers,true,true,14,1.25,1,0,0.005
HealingDoneToSelf,false,true,0,1,0,1,0
HealingDoneToAllies,true,true,14,1.25,0,1,0.0075
TotalDamageDealt,true,true,0,1,0,0,0
HealingDone,false,true,0,1,0,1,0
Score,true,true,0,1,0,0,0
PlayerAssists,true,true,14,1.25,0,0,50
Deaths,true,true,0,1,0,0,0
DamageBlocked,true,true,14,1.25,0,0,0.01
TeamFlagCapture,true,true,14,1,0,0,500
NeutralFlagCapture,true,true,14,1,0,0,250
FlagCarrierKilled,true,true,14,1,0,0,50
FlagReturnedToBase,true,true,14,1,0,0,100
FlagsTaken,true,true,14,1,0,0,50
