WarboardStatID,InGameStat,EndGameStat,AG_TotalDamageDealt,AG_Kills,AG_HealingDone,AG_DamageTaken,AG_Score
DamageWithWeapons,false,true,1,0,0,0,0.02
DamageWithSiegeWeapons,false,true,1,0,0,0,0.005
KillsWithSiegeWeapons,false,true,0,1,0,0,50
KillsWithWeapons,false,true,0,1,0,0,50
HealingDoneToSelf,false,true,0,0,0,0,0
HealingDoneToAllies,false,true,0,0,1,0,0.01
DamageFromWeapons,false,true,0,0,0,1,0
DamageFromSiegeWeapons,false,true,0,0,0,1,0
RepairsDone,false,true,0,0,0,0,5
SiegeWeaponReloaded,false,true,0,0,0,0,3
SiegeWeaponsDestroyed,false,true,0,0,0,0,0
TotalDamageDealt,true,true,0,0,0,0,0
Kills,true,true,0,0,0,0,0
HealingDone,true,true,0,0,0,0,0
DamageTaken,false,true,0,0,0,0,0
Score,true,true,0,0,0,0,0
Assists,true,true,0,0,0,0,10
Deaths,true,true,0,0,0,0,0
AlliesRevived,false,true,0,0,0,0,0
