RecipeID,FirstCraftAchievementId,RecipeNameOverride,CraftingCategory,CraftingGroup,AdditionalFilterText,RecipeTags,DisplayIngredients,bKnownByDefault,bListedByDefault,CraftAll,IsRefining,IsProcedural,AttributeOnlyPerkItemSlotCount,MaxPerkItemsAllowed,PerkItemsBucketPush,IsTemporary,CraftingFee,UseCraftingTax,Tradeskill,RecipeLevel,StationType1,StationType2,StationType3,StationType4,OutputQty,ItemID,SkipGrantItems,SkipGrantItemsDesc,SkipGrantItemsTitle,SkipGrantItemsBody,BaseGearScore,BaseTier,DisallowBonusesToGS,RequiredAchievementID,HiddenByAchievementID,UnlockedAchievementID,UnlockedAchievementBlocksRecrafting,Ingredient1,Type1,Ingredient2,Type2,Ingredient3,Type3,Ingredient4,Type4,Ingredient5,Type5,Ingredient6,Type6,Ingredient7,Type7,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,GameEventID,Game Event Validation,CooldownSeconds,CooldownQuantity,GearScoreBonus,GearScoreReduction,BonusItemChance,BonusItemChanceIncrease,BonusItemChanceDecrease,PerkCost,RequiredExpansion
Artisan_FirestaffT5,FC_Artisan_FirestaffT5,@Artisan_FirestaffT5_MasterName,ArtisanCrafting,StaffFire,,Firestaff,,true,true,false,false,false,,,,false,449,1,Arcana,250,alchemy2,,,,1,Artisan_FirestaffT52,,,,,700,5,,,,,,TimberT53,Item,IngotT53,Item,LeatherT53,Item,EssenceFireT1,Item,,,,,,,8,5,4,3,,,,Craft_ArcanaT52,true,,,,,,,,,
Artisan_LifestaffT5,FC_Artisan_LifestaffT5,@Artisan_LifestaffT5_MasterName,ArtisanCrafting,StaffLife,,Lifestaff,,true,true,false,false,false,,,,false,449,1,Arcana,250,alchemy2,,,,1,Artisan_LifestaffT52,,,,,700,5,,,,,,TimberT53,Item,IngotT53,Item,LeatherT53,Item,EssenceLifeT1,Item,,,,,,,8,5,4,3,,,,Craft_ArcanaT52,true,,,,,,,,,
Artisan_IceGauntletT5,FC_Artisan_IceGauntletT5,@Artisan_IceGauntletT5_MasterName,ArtisanCrafting,GauntletIce,,IceGauntlet,,true,true,false,false,false,,,,false,449,1,Arcana,250,alchemy2,,,,1,Artisan_IceGauntletT52,,,,,700,5,,,,,,LeatherT53,Item,ClothT53,Item,IngotT53,Item,EssenceWaterT1,Item,,,,,,,8,5,4,3,,,,Craft_ArcanaT52,true,,,,,,,,,
Artisan_VoidGauntletT5,FC_Artisan_VoidGauntletT5,@Artisan_VoidGauntletT5_MasterName,ArtisanCrafting,GauntletVoid,,VoidGauntlet,,true,true,false,false,false,,,,false,449,1,Arcana,250,alchemy2,,,,1,Artisan_VoidGauntletT52,,,,,700,5,,,,,,LeatherT53,Item,ClothT53,Item,IngotT53,Item,EssenceDeathT1,Item,,,,,,,8,5,4,3,,,,Craft_ArcanaT52,true,,,,,,,,,
Artisan_FlailT5,FC_Artisan_FlailT5,@Artisan_FlailT5_MasterName,ArtisanCrafting,Flail,,Flail,,true,true,false,false,false,,,,false,449,1,Arcana,250,alchemy2,,,,1,Artisan_FlailT52,,,,,700,5,,,,,,IngotT53,Item,LeatherT53,Item,ClothT53,Item,PearlT1,Item,,,,,,,8,2,4,3,,,,Craft_ArcanaT52,,,,,,,,,,Expansion2023
Procedural Arcana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,
Procedural_StaffFireT2,FC_Procedural_StaffFireT2,@Procedural_StaffFireT2,MagicStaves,StaffFire,,StaffFire,,true,true,false,false,true,,,,false,25,1,Arcana,0,alchemy2,,,,1,2hElementalStaff_FireT2,,,,,200,2,,,,,,TimberT2,Category_Only,Metal,Category_Only,Leather,Category_Only,ArcanaFire,Category_Only,,,,,,,8,5,4,6,,,,Craft_ArcanaT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_StaffFireT3,FC_Procedural_StaffFireT3,@Procedural_StaffFireT3,MagicStaves,StaffFire,,StaffFire,,true,true,false,false,true,,,,false,75,1,Arcana,50,alchemy2,,,,1,2hElementalStaff_FireT3,,,,,300,3,,,,,,TimberT3,Category_Only,Metal,Category_Only,Leather,Category_Only,ArcanaFire,Category_Only,,,,,,,8,5,4,6,,,,Craft_ArcanaT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_StaffFireT4,FC_Procedural_StaffFireT4,@Procedural_StaffFireT4,MagicStaves,StaffFire,,StaffFire,,true,true,false,false,true,,,,false,184,1,Arcana,100,alchemy2,,,,1,2hElementalStaff_FireT4,,,,,400,4,,,,,,TimberT4,Category_Only,Metal,Category_Only,Leather,Category_Only,ArcanaFire,Category_Only,,,,,,,8,5,4,6,,,,Craft_ArcanaT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_StaffFireT5,FC_Procedural_StaffFireT5,@Procedural_StaffFireT5,MagicStaves,StaffFire,,StaffFire,,true,true,false,false,true,,,,false,449,1,Arcana,150,alchemy2,,,,1,2hElementalStaff_FireT5,,,,,500,5,,,,,,TimberT5,Category_Only,Metal,Category_Only,Leather,Category_Only,ArcanaFire,Category_Only,,,,,,,8,5,4,6,,,,Craft_ArcanaT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
