RecipeID,FirstCraftAchievementId,RecipeNameOverride,CraftingCategory,CraftingGroup,AdditionalFilterText,RecipeTags,DisplayIngredients,bKnownByDefault,bListedByDefault,CraftAll,IsRefining,IsProcedural,AttributeOnlyPerkItemSlotCount,MaxPerkItemsAllowed,PerkItemsBucketPush,IsTemporary,CraftingFee,UseCraftingTax,Tradeskill,RecipeLevel,StationType1,StationType2,StationType3,StationType4,OutputQty,ItemID,SkipGrantItems,SkipGrantItemsDesc,SkipGrantItemsTitle,SkipGrantItemsBody,BaseGearScore,BaseTier,DisallowBonusesToGS,RequiredAchievementID,UnlockedAchievementID,UnlockedAchievementBlocksRecrafting,Ingredient1,Type1,Ingredient2,Type2,Ingredient3,Type3,Ingredient4,Type4,Ingredient5,Type5,Ingredient6,Type6,Ingredient7,Type7,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,GameEventID,Game Event Validation,CooldownSeconds,CooldownQuantity,GearScoreBonus,GearScoreReduction,BonusItemChance,BonusItemChanceIncrease,BonusItemChanceDecrease,PerkCost,RequiredExpansion
Scarab_LoggingAxeT5,FC_Scarab_LoggingAxeT5,@Procedural_LoggingAxeT5,Scarab,LoggingAxes,@inv_tools,LoggingAxe,GoldenScarab,false,true,false,false,true,,2,false,false,449,1,Engineering,200,engineering2,,,,1,2hAxeT5,,,,,500,5,,,,,MetalT5,Category_Only,Timber,Category_Only,Leather,Category_Only,Azoth_Currency,Currency,GoldenScarab,Item,,,,,15,3,2,50,1,,,Craft_EngineeringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Scarab_MiningPickT5,FC_Scarab_MiningPickT5,@Procedural_MiningPickT5,Scarab,MiningPicks,@inv_tools,MiningPick,GoldenScarab,false,true,false,false,true,,2,false,false,449,1,Engineering,200,engineering2,,,,1,2hPickT5,,,,,500,5,,,,,MetalT5,Category_Only,Timber,Category_Only,Leather,Category_Only,Azoth_Currency,Currency,GoldenScarab,Item,,,,,15,3,2,50,1,,,Craft_EngineeringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Scarab_SkinningKnifeT5,FC_Scarab_SkinningKnifeT5,@Procedural_SkinningKnifeT5,Scarab,SkinningKnives,@inv_tools,SkinningKnife,GoldenScarab,false,true,false,false,true,,2,false,false,449,1,Engineering,200,engineering2,,,,1,1hSkinningKnifeT5,,,,,500,5,,,,,MetalT5,Category_Only,Timber,Category_Only,Leather,Category_Only,Azoth_Currency,Currency,GoldenScarab,Item,,,,,10,2,1,50,1,,,Craft_EngineeringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Scarab_SickleT5,FC_Scarab_SickleT5,@Procedural_SickleT5,Scarab,Sickles,@inv_tools,Sickle,GoldenScarab,false,true,false,false,true,,2,false,false,449,1,Engineering,200,engineering2,,,,1,1hSickleT5,,,,,500,5,,,,,MetalT5,Category_Only,Timber,Category_Only,Leather,Category_Only,Azoth_Currency,Currency,GoldenScarab,Item,,,,,10,2,1,50,1,,,Craft_EngineeringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Artisan_LoggingAxeT5,FC_Artisan_LoggingAxeT5,@Artisan_LoggingAxeT5_MasterName,ArtisanCrafting,LoggingAxes,@inv_tools,LoggingAxe,,true,true,false,false,false,,,,false,449,1,Engineering,250,engineering2,,,,1,Artisan_LoggingAxeT52,,,,,700,5,,,,,IngotT53,Item,TimberT53,Item,LeatherT53,Item,,,,,,,,,15,3,2,,,,,Craft_EngineeringT52,true,,,,,,,,,
Artisan_MiningPickT5,FC_Artisan_MiningPickT5,@Artisan_MiningPickT5_MasterName,ArtisanCrafting,MiningPicks,@inv_tools,MiningPick,,true,true,false,false,false,,,,false,449,1,Engineering,250,engineering2,,,,1,Artisan_MiningPickT52,,,,,700,5,,,,,IngotT53,Item,TimberT53,Item,LeatherT53,Item,,,,,,,,,15,3,2,,,,,Craft_EngineeringT52,true,,,,,,,,,
Artisan_SkinningKnifeT5,FC_Artisan_SkinningKnifeT5,@Artisan_SkinningKnifeT5_MasterName,ArtisanCrafting,SkinningKnives,@inv_tools,SkinningKnife,,true,true,false,false,false,,,,false,449,1,Engineering,250,engineering2,,,,1,Artisan_SkinningKnifeT52,,,,,700,5,,,,,IngotT53,Item,TimberT53,Item,LeatherT53,Item,,,,,,,,,10,2,1,,,,,Craft_EngineeringT52,true,,,,,,,,,
Artisan_SickleT5,FC_Artisan_SickleT5,@Artisan_SickleT5_MasterName,ArtisanCrafting,Sickles,@inv_tools,Sickle,,true,true,false,false,false,,,,false,449,1,Engineering,250,engineering2,,,,1,Artisan_SickleT52,,,,,700,5,,,,,IngotT53,Item,TimberT53,Item,LeatherT53,Item,,,,,,,,,10,2,1,,,,,Craft_EngineeringT52,true,,,,,,,,,
Artisan_FishingPoleT5,FC_Artisan_FishingPoleT5,@Artisan_FishingPoleT5_MasterName,ArtisanCrafting,FishingPoles,@inv_tools,FishingPole,,true,true,false,false,false,,,,false,449,1,Engineering,250,engineering2,,,,1,Artisan_FishingPoleT52,,,,,700,5,,,,,TimberT53,Item,LeatherT53,Item,ClothT53,Item,,,,,,,,,15,3,2,,,,,Craft_EngineeringT52,true,,,,,,,,,
Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,
