RecipeID,FirstCraftAchievementId,RecipeNameOverride,CraftingCategory,CraftingGroup,AdditionalFilterText,RecipeTags,DisplayIngredients,bKnownByDefault,bListedByDefault,CraftAll,IsRefining,IsProcedural,AttributeOnlyPerkItemSlotCount,MaxPerkItemsAllowed,PerkItemsBucketPush,IsTemporary,CraftingFee,UseCraftingTax,Tradeskill,RecipeLevel,StationType1,StationType2,StationType3,StationType4,OutputQty,ItemID,SkipGrantItems,SkipGrantItemsDesc,SkipGrantItemsTitle,SkipGrantItemsBody,BaseGearScore,BaseTier,RequiredAchievementID,UnlockedAchievementID,UnlockedAchievementBlocksRecrafting,Ingredient1,Type1,Ingredient2,Type2,Ingredient3,Type3,Ingredient4,Type4,Ingredient5,Type5,Ingredient6,Type6,Ingredient7,Type7,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,GameEventID,Game Event Validation,CooldownSeconds,CooldownQuantity,GearScoreBonus,GearScoreReduction,BonusItemChance,BonusItemChanceIncrease,BonusItemChanceDecrease,PerkCost,RequiredExpansion
GypsumOrbRed,,@GypsumOrbRed,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,250,0,,0,gypsumstation1,,,,1,GypsumOrb,,,,,,,,,,GypsumRed,Item,,,,,,,,,,,,,1,,,,,,,,true,,1,,,,,,,
GypsumOrbGarnet,,@GypsumOrbGarnet,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,250,0,,0,gypsumstation1,,,,1,GypsumOrb,,,,,,,,,,GypsumGarnet,Item,,,,,,,,,,,,,1,,,,,,,,true,,1,,,,,,,
GypsumOrbBlue,,@GypsumOrbBlue,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,250,0,,0,gypsumstation1,,,,1,GypsumOrb,,,,,,,,,,GypsumBlue,Item,,,,,,,,,,,,,1,,,,,,,,true,,1,,,,,,,
GypsumOrbGreen,,@GypsumOrbGreen,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,250,0,,0,gypsumstation1,,,,1,GypsumOrb,,,,,,,,,,GypsumGreen,Item,,,,,,,,,,,,,1,,,,,,,,true,,1,,,,,,,
GypsumOrbBlack,,@GypsumOrbBlack,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,250,0,,0,gypsumstation1,,,,1,GypsumOrb,,,,,,,,,,GypsumBlack,Item,,,,,,,,,,,,,3,,,,,,,,true,,1,,,,,,,
GypsumOrbYellow,,@GypsumOrbYellow,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,250,0,,0,gypsumstation1,,,,1,GypsumOrb,,,,,,,,,,GypsumYellow,Item,,,,,,,,,,,,,5,,,,,,,,true,,1,,,,,,,
GypsumOrbOrange,,@GypsumOrbOrange,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,250,0,,0,gypsumstation1,,,,1,GypsumOrb,,,,,,,,,,GypsumOrange,Item,,,,,,,,,,,,,1,,,,,,,,true,,1,,,,,,,
GypsumOrbPurple,,@GypsumOrbPurple,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,250,0,,0,gypsumstation1,,,,1,GypsumOrb,,,,,,,,,,GypsumPurple,Item,,,,,,,,,,,,,7,,,,,,,,true,,1,,,,,,,
GypsumOrbWhite,,@GypsumOrbWhite,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,250,0,,0,gypsumstation1,,,,1,GypsumOrb,,,,,,,,,,GypsumWhite,Item,,,,,,,,,,,,,3,,,,,,,,true,,1,,,,,,,
GypsumOrbSpores,,@GypsumOrbSpores,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,250,0,,0,gypsumstation1,,,,1,GypsumOrb,,,,,,,,,,AngryEarthSporesT1,Item,BeastSporesT1,Item,AncientSporesT1,Item,EliteAngryEarthSporesT1,Item,EliteBeastSporesT1,Item,,,,,10,7,5,3,1,,,,true,86400,1,,,,,,,
CastGypsum_DarkMatter,,,GypsumCasting,GypsumCasts,@Metal_CategoryName,,,true,true,true,true,false,,,,false,500,1,,0,gypsumstation1,,,,1,CastGypsum_DarkMatter,,,,,,,,,,GypsumOrb,Item,,,,,,,,,,,,,20,,,,,,,SPEXP_Gypsum,true,604800,1,,,,,,,Expansion2023
Perk Item Conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,
STRBonusT1,,,MaterialConversion,Conversion3,,,,true,true,true,true,false,,,,false,0,1,,0,gypsumstation1,,,,1,STRBonusT1,,,,,,,,,,AttributeStr,Category_Only,Azoth_Currency,Currency,,,,,,,,,,,5,20,,,,,,,true,,,,,,,,,
DEXBonusT1,,,MaterialConversion,Conversion3,,,,true,true,true,true,false,,,,false,0,1,,0,gypsumstation1,,,,1,DEXBonusT1,,,,,,,,,,AttributeDex,Category_Only,Azoth_Currency,Currency,,,,,,,,,,,5,20,,,,,,,true,,,,,,,,,
INTBonusT1,,,MaterialConversion,Conversion3,,,,true,true,true,true,false,,,,false,0,1,,0,gypsumstation1,,,,1,INTBonusT1,,,,,,,,,,AttributeInt,Category_Only,Azoth_Currency,Currency,,,,,,,,,,,5,20,,,,,,,true,,,,,,,,,
FOCBonusT1,,,MaterialConversion,Conversion3,,,,true,true,true,true,false,,,,false,0,1,,0,gypsumstation1,,,,1,FOCBonusT1,,,,,,,,,,AttributeFoc,Category_Only,Azoth_Currency,Currency,,,,,,,,,,,5,20,,,,,,,true,,,,,,,,,
CONBonusT1,,,MaterialConversion,Conversion3,,,,true,true,true,true,false,,,,false,0,1,,0,gypsumstation1,,,,1,CONBonusT1,,,,,,,,,,AttributeCon,Category_Only,Azoth_Currency,Currency,,,,,,,,,,,5,20,,,,,,,true,,,,,,,,,
Salvage_Orb_Armorer,,@InfuseOrbArmor,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,500,1,,0,gypsumstation1,,,,1,InfusedOrb,,,,,,,,,,PerfectSalvageArmorT51,Item,,,,,,,,,,,,,6,,,,,,,,true,79200,1,,,,,,,
Salvage_Orb_Weapon,,@InfuseOrbWeapon,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,500,1,,0,gypsumstation1,,,,1,InfusedOrb,,,,,,,,,,PerfectSalvageWeaponsT51,Item,,,,,,,,,,,,,4,,,,,,,,true,79200,1,,,,,,,
Salvage_Orb_Engineer,,@InfuseOrbEngineer,GypsumRefining,GypsumRaw,@Metal_CategoryName,,,true,true,true,true,false,,,,false,500,1,,0,gypsumstation1,,,,1,InfusedOrb,,,,,,,,,,PerfectSalvageEngineerT51,Item,,,,,,,,,,,,,4,,,,,,,,true,79200,1,,,,,,,
