RecipeID,FirstCraftAchievementId,RecipeNameOverride,CraftingCategory,CraftingGroup,AdditionalFilterText,RecipeTags,DisplayIngredients,bKnownByDefault,bListedByDefault,CraftAll,IsRefining,IsProcedural,AttributeOnlyPerkItemSlotCount,MaxPerkItemsAllowed,PerkItemsBucketPush,IsTemporary,CraftingFee,UseCraftingTax,Tradeskill,RecipeLevel,StationType1,StationType2,StationType3,StationType4,OutputQty,ItemID,SkipGrantItems,SkipGrantItemsDesc,SkipGrantItemsTitle,SkipGrantItemsBody,BaseGearScore,BaseTier,DisallowBonusesToGS,RequiredAchievementID,HiddenByAchievementID,UnlockedAchievementID,UnlockedAchievementBlocksRecrafting,Ingredient1,Type1,Ingredient2,Type2,Ingredient3,Type3,Ingredient4,Type4,Ingredient5,Type5,Ingredient6,Type6,Ingredient7,Type7,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,GameEventID,Game Event Validation,CooldownSeconds,CooldownQuantity,GearScoreBonus,GearScoreReduction,BonusItemChance,BonusItemChanceIncrease,BonusItemChanceDecrease,PerkCost,RequiredExpansion,RequiredWorldTags
Ethereal_PlateHeadT2,FC_Ethereal_PlateHeadT2,@Ethereal_PlateHeadT2_RecipeName,Ethereal,ArmorPlate,@CategoryData_SlotHead,PlateHead,,true,true,false,false,true,1,,,false,25,1,Armoring,0,blacksmith2,,,,1,HeavyHead_EtherealT2,,,,,350,2,,,,,,IngotT2,Item,LeatherT2,Item,ClothT2,Item,,,,,,,,,4,3,2,,,,,Craft_ArmoringT2,true,,,,,,,,25,,SeasonalServer
Ethereal_PlateHeadT3,FC_Ethereal_PlateHeadT3,@Ethereal_PlateHeadT3_RecipeName,Ethereal,ArmorPlate,@CategoryData_SlotHead,PlateHead,,true,true,false,false,true,1,,,false,75,1,Armoring,50,blacksmith2,,,,1,HeavyHead_EtherealT3,,,,,600,3,,,,,,IngotT3,Item,LeatherT3,Item,ClothT3,Item,,,,,,,,,4,3,2,,,,,Craft_ArmoringT3,true,,,,,,,,25,,SeasonalServer
Ethereal_PlateHeadT4,FC_Ethereal_PlateHeadT4,@Ethereal_PlateHeadT4_RecipeName,Ethereal,ArmorPlate,@CategoryData_SlotHead,PlateHead,,true,true,false,false,true,1,,,false,184,1,Armoring,100,blacksmith2,,,,1,HeavyHead_EtherealT4,,,,,700,4,,,,,,IngotT4,Item,LeatherT4,Item,ClothT4,Item,,,,,,,,,4,3,2,,,,,Craft_ArmoringT4,true,,,,,,,,25,,SeasonalServer
Ethereal_PlateHeadT5,FC_Ethereal_PlateHeadT5,@Ethereal_PlateHeadT5_RecipeName,Ethereal,ArmorPlate,@CategoryData_SlotHead,PlateHead,,true,true,false,false,true,1,,,false,449,1,Armoring,150,blacksmith2,,,,1,HeavyHead_EtherealT5,,,,,725,5,,,,,,IngotT5,Item,LeatherT5,Item,ClothT5,Item,,,,,,,,,4,3,2,,,,,Craft_ArmoringT5,true,,,,,,,,25,,SeasonalServer
Ethereal_PlateChestT2,FC_Ethereal_PlateChestT2,@Ethereal_PlateChestT2_RecipeName,Ethereal,ArmorPlate,@CategoryData_SlotChest,PlateChest,,true,true,false,false,true,1,,,false,25,1,Armoring,0,blacksmith2,,,,1,HeavyChest_EtherealT2,,,,,350,2,,,,,,IngotT2,Item,LeatherT2,Item,ClothT2,Item,,,,,,,,,8,6,3,,,,,Craft_ArmoringT2,true,,,,,,,,25,,SeasonalServer
Ethereal_PlateChestT3,FC_Ethereal_PlateChestT3,@Ethereal_PlateChestT3_RecipeName,Ethereal,ArmorPlate,@CategoryData_SlotChest,PlateChest,,true,true,false,false,true,1,,,false,75,1,Armoring,50,blacksmith2,,,,1,HeavyChest_EtherealT3,,,,,600,3,,,,,,IngotT3,Item,LeatherT3,Item,ClothT3,Item,,,,,,,,,8,6,3,,,,,Craft_ArmoringT3,true,,,,,,,,25,,SeasonalServer
Ethereal_PlateChestT4,FC_Ethereal_PlateChestT4,@Ethereal_PlateChestT4_RecipeName,Ethereal,ArmorPlate,@CategoryData_SlotChest,PlateChest,,true,true,false,false,true,1,,,false,184,1,Armoring,100,blacksmith2,,,,1,HeavyChest_EtherealT4,,,,,700,4,,,,,,IngotT4,Item,LeatherT4,Item,ClothT4,Item,,,,,,,,,8,6,3,,,,,Craft_ArmoringT4,true,,,,,,,,25,,SeasonalServer
Ethereal_PlateChestT5,FC_Ethereal_PlateChestT5,@Ethereal_PlateChestT5_RecipeName,Ethereal,ArmorPlate,@CategoryData_SlotChest,PlateChest,,true,true,false,false,true,1,,,false,449,1,Armoring,150,blacksmith2,,,,1,HeavyChest_EtherealT5,,,,,725,5,,,,,,IngotT5,Item,LeatherT5,Item,ClothT5,Item,,,,,,,,,8,6,3,,,,,Craft_ArmoringT5,true,,,,,,,,25,,SeasonalServer
Ethereal_PlateHandsT2,FC_Ethereal_PlateHandsT2,@Ethereal_PlateHandsT2_RecipeName,Ethereal,ArmorPlate,@CategoryData_SlotHands,PlateHands,,true,true,false,false,true,1,,,false,25,1,Armoring,0,blacksmith2,,,,1,HeavyHands_EtherealT2,,,,,350,2,,,,,,IngotT2,Item,LeatherT2,Item,ClothT2,Item,,,,,,,,,2,2,1,,,,,Craft_ArmoringT2,true,,,,,,,,25,,SeasonalServer
Ethereal_PlateHandsT3,FC_Ethereal_PlateHandsT3,@Ethereal_PlateHandsT3_RecipeName,Ethereal,ArmorPlate,@CategoryData_SlotHands,PlateHands,,true,true,false,false,true,1,,,false,75,1,Armoring,50,blacksmith2,,,,1,HeavyHands_EtherealT3,,,,,600,3,,,,,,IngotT3,Item,LeatherT3,Item,ClothT3,Item,,,,,,,,,2,2,1,,,,,Craft_ArmoringT3,true,,,,,,,,25,,SeasonalServer
