RecipeID,FirstCraftAchievementId,RecipeNameOverride,CraftingCategory,CraftingGroup,AdditionalFilterText,RecipeTags,DisplayIngredients,bKnownByDefault,bListedByDefault,CraftAll,IsRefining,IsProcedural,AttributeOnlyPerkItemSlotCount,MaxPerkItemsAllowed,PerkItemsBucketPush,IsTemporary,CraftingFee,UseCraftingTax,Tradeskill,RecipeLevel,StationType1,StationType2,StationType3,StationType4,OutputQty,ItemID,SkipGrantItems,SkipGrantItemsDesc,SkipGrantItemsTitle,SkipGrantItemsBody,BaseGearScore,BaseTier,DisallowBonusesToGS,RequiredAchievementID,HiddenByAchievementID,UnlockedAchievementID,UnlockedAchievementBlocksRecrafting,Ingredient1,Type1,Ingredient2,Type2,Ingredient3,Type3,Ingredient4,Type4,Ingredient5,Type5,Ingredient6,Type6,Ingredient7,Type7,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,GameEventID,Game Event Validation,CooldownSeconds,CooldownQuantity,GearScoreBonus,GearScoreReduction,BonusItemChance,BonusItemChanceIncrease,BonusItemChanceDecrease,PerkCost,RequiredExpansion
MusicXPBonus,,@MusicResearchNotes_MasterName,GatherableResearch,SalvageResearch,,,,true,true,true,true,false,,,,false,1,0,Musician,25,engineering2,,,,1,MusicResearchNotes,true,,,,,,,,,,,musicsheets,Category_Only,,,,,,,,,,,,,1,,,,,,,ProcessMusicianExpBonus,true,,,,,,,,,
CookingXPBonus,,@CookingResearchNotes_MasterName,GatherableResearch,SalvageResearch,,,,true,true,true,true,false,,,,false,1,0,Cooking,100,cooking2,,,,1,CookingResearchNotes,true,,,,,,,,,,,cookingrecipes,Category_Only,,,,,,,,,,,,,1,,,,,,,ProcessCookingExpBonus,true,,,,,,,,,
ArmoringXPBonus,,@ArmoringResearchNotes_MasterName,GatherableResearch,SalvageResearch,,,,true,true,true,true,false,,,,false,1,0,Armoring,100,outfitting2,,,,1,ArmoringResearchNotes,true,,,,,,,,,,,armoringrecipes,Category_Only,,,,,,,,,,,,,1,,,,,,,ProcessArmoringExpBonus,true,,,,,,,,,
WeaponsmithingXPBonus,,@WeaponsmithingResearchNotes_MasterName,GatherableResearch,SalvageResearch,,,,true,true,true,true,false,,,,false,1,0,Weaponsmithing,100,blacksmith2,,,,1,WeaponsmithingResearchNotes,true,,,,,,,,,,,weaponsmithingrecipes,Category_Only,,,,,,,,,,,,,1,,,,,,,ProcessWeaponsmithingExpBonus,true,,,,,,,,,
EngineeringXPBonus,,@EngineeringResearchNotes_MasterName,GatherableResearch,SalvageResearch,,,,true,true,true,true,false,,,,false,1,0,Engineering,100,engineering2,,,,1,EngineeringResearchNotes,true,,,,,,,,,,,engineeringrecipes,Category_Only,,,,,,,,,,,,,1,,,,,,,ProcessEngineeringExpBonus,true,,,,,,,,,
FurnishingXPBonus,,@FurnishingResearchNotes_MasterName,GatherableResearch,SalvageResearch,,,,true,true,true,true,false,,,,false,1,0,Furnishing,100,engineering2,,,,1,FurnishingResearchNotes,true,,,,,,,,,,,furnishingrecipes,Category_Only,,,,,,,,,,,,,1,,,,,,,ProcessFurnishingExpBonus,true,,,,,,,,,
ArcanaXPBonus,,@ArcanaResearchNotes_MasterName,GatherableResearch,SalvageResearch,,,,true,true,true,true,false,,,,false,1,0,Arcana,100,alchemy2,,,,1,ArcanaResearchNotes,true,,,,,,,,,,,arcanarecipes,Category_Only,,,,,,,,,,,,,1,,,,,,,ProcessArcanaExpBonus,true,,,,,,,,,
Mounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,
MountConsum_GruelT0,FC_MountConsum_GruelT0,,BasicCooking,Mounts,,,,true,true,true,true,false,,,,false,0,1,Cooking,0,cooking2,camp1,,,1,MountConsum_GruelT0,,,,,,,,AwardAchievement_Mount_Horse_1,,,,BarleyT1,Item,WaterT1,Item,MilkT1,Item,HoneyT1,Item,,,,,,,1,1,1,1,,,,Craft_CookingT1,true,,,,,,,,,
MountConsum_GruelT1,FC_MountConsum_GruelT1,,BasicCooking,Mounts,,,,true,true,true,true,false,,,,false,0,1,Cooking,0,cooking2,camp1,,,1,MountConsum_GruelT1,,,,,,,,AwardAchievement_Mount_Horse_1,,,,MountItem_Vitamins_T1,Item,BarleyT1,Item,WaterT1,Item,MilkT1,Item,,,,,,,3,1,1,1,,,,Craft_CookingT2,true,,,,,,,,,
MountConsum_GruelT2,FC_MountConsum_GruelT2,,BasicCooking,Mounts,,,,true,true,true,true,false,,,,false,5,1,Cooking,15,cooking2,,,,1,MountConsum_GruelT2,,,,,,,,AwardAchievement_Mount_Horse_1,,,,MountItem_Vitamins_T2,Item,FlourT1,Item,WaterT1,Item,ButterT1,Item,,,,,,,3,1,1,1,,,,Craft_CookingT3,true,,,,,,,,,
MountConsum_GruelT3,FC_MountConsum_GruelT3,,BasicCooking,Mounts,,,,true,true,true,true,false,,,,false,5,1,Cooking,30,cooking2,,,,1,MountConsum_GruelT3,,,,,,,,AwardAchievement_Mount_Horse_1,,,,MountItem_Vitamins_T3,Item,FlourT1,Item,WaterT1,Item,ButterT1,Item,SaltT1,Item,HoneyT1,Item,,,3,1,1,1,1,1,,Craft_CookingT4,true,,,,,,,,,
MountItem_Vitamins_T2,FC_MountItem_Vitamins_T2,,BasicCooking,Mounts,,,,true,true,true,true,false,,,,false,5,1,Cooking,50,cooking2,,,,1,MountItem_Vitamins_T2,,,,,,,,AwardAchievement_Mount_Horse_1,,,,MountItem_Vitamins_T1,Item,MintT1,Item,,,,,,,,,,,3,1,,,,,,Craft_CookingT1,true,,,,,,,,,
MountItem_Vitamins_T3,FC_MountItem_Vitamins_T3,,BasicCooking,Mounts,,,,true,true,true,true,false,,,,false,5,1,Cooking,60,cooking2,,,,1,MountItem_Vitamins_T3,,,,,,,,AwardAchievement_Mount_Horse_1,,,,MountItem_Vitamins_T2,Item,MintT1,Item,GingerT1,Item,,,,,,,,,3,1,1,,,,,Craft_CookingT1,true,,,,,,,,,
Salvage Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,
SalvageSmall_FlintT1,,,,,,,,true,true,false,false,false,,,,false,,,,,,,,,,,,,,,,,,,,,,FlintT1,Item,,,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,
SalvageSmall_TimberT1,,,,,,,,true,true,false,false,false,,,,false,,,,,,,,,,,,,,,,,,,,,,WoodT1,Item,,,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,
SalvageSmall_TimberT2,,,,,,,,true,true,false,false,false,,,,false,,,,,,,,,,,,,,,,,,,,,,TimberT2,Item,,,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,
SalvageSmall_TimberT3,,,,,,,,true,true,false,false,false,,,,false,,,,,,,,,,,,,,,,,,,,,,TimberT3,Item,,,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,
SalvageSmall_TimberT4,,,,,,,,true,true,false,false,false,,,,false,,,,,,,,,,,,,,,,,,,,,,TimberT4,Item,,,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,
SalvageSmall_TimberT5,,,,,,,,true,true,false,false,false,,,,false,,,,,,,,,,,,,,,,,,,,,,TimberT5,Item,,,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,
SalvageSmall_TimberT51,,,,,,,,true,true,false,false,false,,,,false,,,,,,,,,,,,,,,,,,,,,,TimberT51,Item,,,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,
SalvageLarge_TimberT1,,,,,,,,true,true,false,false,false,,,,false,,,,,,,,,,,,,,,,,,,,,,WoodT1,Item,,,,,,,,,,,,,10,,,,,,,,true,,,,,,,,,
