RecipeID,FirstCraftAchievementId,RecipeNameOverride,CraftingCategory,CraftingGroup,AdditionalFilterText,RecipeTags,DisplayIngredients,bKnownByDefault,bListedByDefault,CraftAll,IsRefining,IsProcedural,MaxPerkItemsAllowed,PerkItemsBucketPush,IsTemporary,CraftingFee,UseCraftingTax,Tradeskill,RecipeLevel,StationType1,StationType2,StationType3,StationType4,OutputQty,ItemID,SkipGrantItems,SkipGrantItemsDesc,SkipGrantItemsTitle,SkipGrantItemsBody,BaseGearScore,BaseTier,RequiredAchievementID,UnlockedAchievementID,UnlockedAchievementBlocksRecrafting,Ingredient1,Type1,Ingredient2,Type2,Ingredient3,Type3,Ingredient4,Type4,Ingredient5,Type5,Ingredient6,Type6,Ingredient7,Type7,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,GameEventID,Game Event Validation,CooldownSeconds,CooldownQuantity,GearScoreBonus,GearScoreReduction,BonusItemChance,BonusItemChanceIncrease,BonusItemChanceDecrease,PerkCost,RequiredExpansion
RuneStoneFormT1,FC_RuneStoneFormT1,,DungeonNamedReplicas,UniqueDungeonReps6,,,,false,true,false,false,false,,,false,748,1,Stonecutting,1,gypsumstation1,,,,1,RuneStoneFormT1,,,,,,,16_Side_19,,,DungeonDiamonds_Lazarus,Item,,,,,,,,,,,,,8000,,,,,,,Craft_StonecuttingT1,true,,,,,,,,,
RuneDetonateT1,FC_RuneDetonateT1,,DungeonNamedReplicas,UniqueDungeonReps8,,,,false,true,false,false,false,,,false,748,1,Stonecutting,1,gypsumstation1,,,,1,RuneDetonateT1,,,,,,,16_Side_19,,,DungeonDiamonds_Brimstone,Item,,,,,,,,,,,,,8000,,,,,,,Craft_StonecuttingT1,true,,,,,,,,,
RuneGraspingVinesT1,FC_RuneGraspingVinesT1,,DungeonNamedReplicas,UniqueDungeonReps7,,,,false,true,false,false,false,,,false,748,1,Stonecutting,1,gypsumstation1,,,,1,RuneGraspingVinesT1,,,,,,,16_Side_19,,,DungeonDiamonds_Genesis,Item,,,,,,,,,,,,,8000,,,,,,,Craft_StonecuttingT1,true,,,,,,,,,
RuneHereticsFallT1,FC_RuneHereticsFallT1,,DungeonNamedReplicas,UniqueDungeonReps9,,,,false,true,false,false,false,,,false,748,1,Stonecutting,1,gypsumstation1,,,,1,RuneHereticsFallT1,,,,,,,16_Side_19,,,DungeonDiamonds_Isabella,Item,,,,,,,,,,,,,8000,,,,,,,Craft_StonecuttingT1,true,,,,,,,,,
RuneCannonBlastT1,FC_RuneCannonBlastT1,,DungeonNamedReplicas,UniqueDungeonReps11,,,,false,true,false,false,false,,,false,748,1,Stonecutting,1,gypsumstation1,,,,1,RuneCannonBlastT1,,,,,,,16_Side_19,,,DungeonDiamonds_Barnacles,Item,,,,,,,,,,,,,8000,,,,,,,Craft_StonecuttingT1,true,,,,,,,,,
RuneBileBombT1,FC_RuneBileBombT1,,DungeonNamedReplicas,UniqueDungeonReps1,,,,false,true,false,false,false,,,false,748,1,Stonecutting,1,gypsumstation1,,,,1,RuneBileBombT1,,,,,,,16_Side_19,,,DungeonDiamonds_Amrine,Item,,,,,,,,,,,,,8000,,,,,,,Craft_StonecuttingT1,true,,,,,,,,,
RuneFireStormT1,FC_RuneFireStormT1,,DungeonNamedReplicas,UniqueDungeonReps10,,,,false,true,false,false,false,,,false,748,1,Stonecutting,1,gypsumstation1,,,,1,RuneFireStormT1,,,,,,,16_Side_19,,,DungeonDiamonds_Empyrean,Item,,,,,,,,,,,,,8000,,,,,,,Craft_StonecuttingT1,true,,,,,,,,,
1hLongsword_TheSpaceBetweenT3,FC_1hLongsword_TheSpaceBetweenT3,,DungeonNamedReplicas,UniqueDungeonReps1,@ui_sword,,DungeonDiamonds_Amrine,false,true,false,false,false,,,false,748,1,Weaponsmithing,1,gypsumstation1,,,,1,1hLongsword_TheSpaceBetweenT3_V2,,,,,300,3,,,,DungeonDiamonds_Amrine,Item,,,,,,,,,,,,,500,,,,,,,Craft_WeaponsmithingT0,true,,,,,,,,,
2hWarhammer_CrushersCrazeT3,FC_2hWarhammer_CrushersCrazeT3,,DungeonNamedReplicas,UniqueDungeonReps1,@ui_warhammer,,DungeonDiamonds_Amrine,false,true,false,false,false,,,false,748,1,Weaponsmithing,1,gypsumstation1,,,,1,2hWarhammer_CrushersCrazeT3_V2,,,,,300,3,,,,DungeonDiamonds_Amrine,Item,,,,,,,,,,,,,600,,,,,,,Craft_WeaponsmithingT0,true,,,,,,,,,
1hThrowingAxe_AmrinesForgottenAxeT3,FC_1hThrowingAxe_AmrinesForgottenAxeT3,,DungeonNamedReplicas,UniqueDungeonReps1,@ui_throwingaxe,,DungeonDiamonds_Amrine,false,true,false,false,false,,,false,748,1,Engineering,1,gypsumstation1,,,,1,1hThrowingAxe_AmrinesForgottenAxeT3_V2,,,,,300,3,,,,DungeonDiamonds_Amrine,Item,,,,,,,,,,,,,600,,,,,,,Craft_EngineeringT0,true,,,,,,,,,
2hStaffLife_LostFaithT3,FC_2hStaffLife_LostFaithT3,,DungeonNamedReplicas,UniqueDungeonReps1,@ui_lifestaff,,DungeonDiamonds_Amrine,false,true,false,false,false,,,false,748,1,Arcana,1,gypsumstation1,,,,1,2hStaffLife_LostFaithT3_V2,,,,,300,3,,,,DungeonDiamonds_Amrine,Item,,,,,,,,,,,,,600,,,,,,,Craft_ArcanaT0,true,,,,,,,,,
2hGreataxe_DarknessDefinedT3,FC_2hGreataxe_DarknessDefinedT3,,DungeonNamedReplicas,UniqueDungeonReps1,@ui_greataxe,,DungeonDiamonds_Amrine,false,true,false,false,false,,,false,748,1,Weaponsmithing,1,gypsumstation1,,,,1,2hGreataxe_DarknessDefinedT3_V2,,,,,300,3,,,,DungeonDiamonds_Amrine,Item,,,,,,,,,,,,,600,,,,,,,Craft_WeaponsmithingT0,true,,,,,,,,,
Amulet_AmrineExcavatorsAmuletT3,FC_Amulet_AmrineExcavatorsAmuletT3,,DungeonNamedReplicas,UniqueDungeonReps1,,,DungeonDiamonds_Amrine,false,true,false,false,false,,,false,748,1,Jewelcrafting,1,gypsumstation1,,,,1,Amulet_AmrineExcavatorsAmuletT3_V2,,,,,300,3,,,,DungeonDiamonds_Amrine,Item,,,,,,,,,,,,,400,,,,,,,Craft_JewelcraftingT0,true,,,,,,,,,
2hBow_CavernLurkersDefenseT3,FC_2hBow_CavernLurkersDefenseT3,,DungeonNamedReplicas,UniqueDungeonReps1,@ui_bow,,DungeonDiamonds_Amrine,false,true,false,false,false,,,false,748,1,Engineering,1,gypsumstation1,,,,1,2hBow_CavernLurkersDefenseT3_V2,,,,,300,3,,,,DungeonDiamonds_Amrine,Item,,,,,,,,,,,,,600,,,,,,,Craft_EngineeringT0,true,,,,,,,,,
