RecipeID,FirstCraftAchievementId,RecipeNameOverride,CraftingCategory,CraftingGroup,AdditionalFilterText,RecipeTags,DisplayIngredients,bKnownByDefault,bListedByDefault,CraftAll,IsRefining,IsProcedural,MaxPerkItemsAllowed,PerkItemsBucketPush,ExpertiseBumpChanceOverride,IsExpertiseBasedGS,HWMProgressionID,IsTemporary,CraftingFee,UseCraftingTax,Tradeskill,RecipeLevel,StationType1,StationType2,StationType3,StationType4,CraftingTime,OutputQty,ItemID,SkipGrantItems,SkipGrantItemsDesc,SkipGrantItemsTitle,SkipGrantItemsBody,BaseGearScore,BaseTier,ProceduralTierID1,ProceduralTierID2,ProceduralTierID3,ProceduralTierID4,ProceduralTierID5,RequiredAchievementID,UnlockedAchievementID,UnlockedAchievementBlocksRecrafting,Ingredient1,Type1,Ingredient2,Type2,Ingredient3,Type3,Ingredient4,Type4,Ingredient5,Type5,Ingredient6,Type6,Ingredient7,Type7,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,GameEventID,Game Event Validation,CooldownSeconds,CooldownQuantity,GearScoreBonus,GearScoreReduction,BonusItemChance,BonusItemChanceIncrease,BonusItemChanceDecrease,AttributeCost,PerkCost,GemSlotCost,RequiredExpansion
Smelting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,
CharcoalT1,FC_CharcoalT1,,RefinedResources,Charcoal,,,,true,true,true,true,false,,,,,,false,1,0,Smelting,0,smelting2,,,,1,1,CharcoalT1,,,,,,1,,,,,,,,,Wood,Category_Only,,,,,,,,,,,,,2,,,,,,,Craft_SmeltingT2,true,,,,,0,"0.5,1,1.5,2,3","0,0,0,0,0",,,,
CharcoalT1_WoodenCoin,FC_CharcoalT1_WoodenCoin,,RefinedResources,Charcoal,,,,true,true,true,true,false,,,,,,false,1,0,Smelting,200,smelting2,,,,1,10,CharcoalT1,,,,,,1,,,,,,,,,WoodenCoin,Item,,,,,,,,,,,,,1,,,,,,,Craft_SmeltingT3,true,,,,,0,"0.5,1,1.5,2,3","0,0,0,0,0",,,,
IngotT2,FC_IngotT2,,RefinedResources,Metal,@Metal_CategoryName,,,true,true,true,true,false,,,,,,false,1,0,Smelting,0,smelting2,,,,1,1,IngotT2,,,,,,,,,,,,,,,OreT1,Item,,,,,,,,,,,,,4,1,,,,,,Craft_SmeltingT2,true,,,,,0,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,,
IngotT3,FC_IngotT3,,RefinedResources,Metal,@Metal_CategoryName,,,true,true,true,true,false,,,,,,false,4,0,Smelting,50,smelting2,,,,1,1,IngotT3,,,,,,,,,,,,,,,IngotT2,Item,Flux,Category_Only,CharcoalT1,Item,,,,,,,,,3,1,2,,,,,Craft_SmeltingT3,true,,,,,-0.02,"0,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,,
IngotT4,FC_IngotT4,,RefinedResources,Metal,@Metal_CategoryName,,,true,true,true,true,false,,,,,,false,7,0,Smelting,100,smelting2,,,,1,1,IngotT4,,,,,,,,,,,,,,,OreT4,Item,IngotT3,Item,Flux,Category_Only,CharcoalT1,Item,,,,,,,6,2,1,2,,,,Craft_SmeltingT4,true,,,,,-0.05,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,,
IngotT5,FC_IngotT5,,RefinedResources,Metal,@Metal_CategoryName,,,true,true,true,true,false,,,,,,false,13,0,Smelting,150,smelting2,,,,1,1,IngotT5,,,,,,,,,,,,,,,OreT5,Item,IngotT4,Item,Flux,Category_Only,CharcoalT1,Item,,,,,,,8,2,1,2,,,,Craft_SmeltingT5,true,,,,,-0.07,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,,
IngotT5Precious,FC_IngotT5Precious,,RefinedResources,Metal,@Metal_CategoryName,,,true,true,true,true,false,,,,,,false,13,0,Smelting,150,smelting2,,,,1,1,IngotT5,,,,,,,,,,,,,,,OreT5,Item,IngotPreciousT3,Item,Flux,Category_Only,CharcoalT1,Item,,,,,,,8,3,1,2,,,,Craft_SmeltingT5,true,,,,,-0.07,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,,
IngotT51,FC_IngotT51,,RefinedResources,Metal,@Metal_CategoryName,,,true,true,true,true,false,,,,,,false,19,0,Smelting,200,smelting2,,,,1,1,IngotT51,,,,,,,,,,,,,,,IngotT5,Item,TolviumT1,Item,CinnabarT1,Item,FluxT5,Item,CharcoalT1,Item,,,,,5,1,1,1,2,,,Craft_SmeltingT51,true,86400,10,,,-0.25,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,,
IngotPreciousT1,FC_IngotPreciousT1,,RefinedResources,MetalPrecious,@Metal_CategoryName,,,true,true,true,true,false,,,,,,false,1,0,Smelting,0,smelting2,,,,1,1,IngotPreciousT1,,,,,,,,,,,,,,,OrePreciousT1,Item,,,,,,,,,,,,,4,,,,,,,Craft_SmeltingT2,true,,,,,-0.02,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,,
