Level,Health,HealthRate,Stamina,StaminaRate,Mana,ManaRate,CastSpeed,EquipLoad,NumAttuneSlots,Encumbrance,AbsFalling,DefStandard,DefSlash,DefThrust,DefStrike,DefMagic,DefFire,DefLightning,DefCorruption,ResFrostbite,ResPoison,ResBleed,ResDisease,ResCurse
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,10,0,0,0,0.45,0.45,0.45,0.45,0,0,0,0,0,2,0,2,0
7,0,0,0,0,0,0,0,20,0,0,0,0.65,0.65,0.65,0.65,0,0,0,0,0,4,0,4,0
8,0,0,0,0,0,0,0,30,0,0,0,0.85,0.85,0.85,0.85,0,0,0,0,0,6,0,6,0
9,0,0,0,0,0,0,0,40,0,0,0,1.05,1.05,1.05,1.05,0,0,0,0,0,8,0,8,0
10,0,0,0,0,0,0,0,50,0,0,0,1.25,1.25,1.25,1.25,0,0,0,0,0,10,0,10,0
11,0,0,0,0,0,0,0,60,0,0,0,1.45,1.45,1.45,1.45,0,0,0,0,0,12,0,12,0
12,0,0,0,0,0,0,0,70,0,0,0,1.65,1.65,1.65,1.65,0,0,0,0,0,14,0,14,0
13,0,0,0,0,0,0,0,80,0,0,0,1.85,1.85,1.85,1.85,0,0,0,0,0,16,0,16,0
14,0,0,0,0,0,0,0,90,0,0,0,2.05,2.05,2.05,2.05,0,0,0,0,0,18,0,18,0
15,0,0,0,0,0,0,0,100,0,0,0,2.25,2.25,2.25,2.25,0,0,0,0,0,20,0,20,0
16,0,0,0,0,0,0,0,108,0,0,0,2.45,2.45,2.45,2.45,0,0,0,0,0,22,0,22,0
17,0,0,0,0,0,0,0,116,0,0,0,2.65,2.65,2.65,2.65,0,0,0,0,0,24,0,24,0
18,0,0,0,0,0,0,0,124,0,0,0,2.85,2.85,2.85,2.85,0,0,0,0,0,26,0,26,0
19,0,0,0,0,0,0,0,132,0,0,0,3.05,3.05,3.05,3.05,0,0,0,0,0,28,0,28,0
20,0,0,0,0,0,0,0,140,0,0,0,3.2,3.2,3.2,3.2,0,0,0,0,0,30,0,30,0
21,0,0,0,0,0,0,0,148,0,0,0,3.35,3.35,3.35,3.35,0,0,0,0,0,32,0,32,0
22,0,0,0,0,0,0,0,156,0,0,0,3.5,3.5,3.5,3.5,0,0,0,0,0,34,0,34,0
23,0,0,0,0,0,0,0,164,0,0,0,3.65,3.65,3.65,3.65,0,0,0,0,0,36,0,36,0
24,0,0,0,0,0,0,0,172,0,0,0,3.8,3.8,3.8,3.8,0,0,0,0,0,38,0,38,0
25,0,0,0,0,0,0,0,180,0,0,0,3.95,3.95,3.95,3.95,0,0,0,0,0,40,0,40,0
26,0,0,0,0,0,0,0,187,0,0,0,4.1,4.1,4.1,4.1,0,0,0,0,0,41,0,41,0
27,0,0,0,0,0,0,0,194,0,0,0,4.25,4.25,4.25,4.25,0,0,0,0,0,42,0,42,0
28,0,0,0,0,0,0,0,201,0,0,0,4.4,4.4,4.4,4.4,0,0,0,0,0,43,0,43,0
29,0,0,0,0,0,0,0,208,0,0,0,4.55,4.55,4.55,4.55,0,0,0,0,0,44,0,44,0
30,0,0,0,0,0,0,0,215,0,0,0,4.7,4.7,4.7,4.7,0,0,0,0,0,45,0,45,0
31,0,0,0,0,0,0,0,222,0,0,0,4.85,4.85,4.85,4.85,0,0,0,0,0,46,0,46,0
32,0,0,0,0,0,0,0,229,0,0,0,5,5,5,5,0,0,0,0,0,47,0,47,0
33,0,0,0,0,0,0,0,236,0,0,0,5.15,5.15,5.15,5.15,0,0,0,0,0,48,0,48,0
34,0,0,0,0,0,0,0,243,0,0,0,5.3,5.3,5.3,5.3,0,0,0,0,0,49,0,49,0
35,0,0,0,0,0,0,0,250,0,0,0,5.45,5.45,5.45,5.45,0,0,0,0,0,50,0,50,0
36,0,0,0,0,0,0,0,256,0,0,0,5.6,5.6,5.6,5.6,0,0,0,0,0,51,0,51,0
37,0,0,0,0,0,0,0,262,0,0,0,5.75,5.75,5.75,5.75,0,0,0,0,0,52,0,52,0
38,0,0,0,0,0,0,0,268,0,0,0,5.9,5.9,5.9,5.9,0,0,0,0,0,53,0,53,0
39,0,0,0,0,0,0,0,274,0,0,0,6.05,6.05,6.05,6.05,0,0,0,0,0,54,0,54,0
40,0,0,0,0,0,0,0,280,0,0,0,6.2,6.2,6.2,6.2,0,0,0,0,0,55,0,55,0
41,0,0,0,0,0,0,0,286,0,0,0,6.35,6.35,6.35,6.35,0,0,0,0,0,56,0,56,0
42,0,0,0,0,0,0,0,292,0,0,0,6.5,6.5,6.5,6.5,0,0,0,0,0,57,0,57,0
43,0,0,0,0,0,0,0,298,0,0,0,6.65,6.65,6.65,6.65,0,0,0,0,0,58,0,58,0
44,0,0,0,0,0,0,0,304,0,0,0,6.8,6.8,6.8,6.8,0,0,0,0,0,59,0,59,0
45,0,0,0,0,0,0,0,310,0,0,0,6.95,6.95,6.95,6.95,0,0,0,0,0,60,0,60,0
46,0,0,0,0,0,0,0,315,0,0,0,7.1,7.1,7.1,7.1,0,0,0,0,0,61,0,61,0
47,0,0,0,0,0,0,0,320,0,0,0,7.25,7.25,7.25,7.25,0,0,0,0,0,62,0,62,0
48,0,0,0,0,0,0,0,325,0,0,0,7.4,7.4,7.4,7.4,0,0,0,0,0,63,0,63,0
49,0,0,0,0,0,0,0,330,0,0,0,7.55,7.55,7.55,7.55,0,0,0,0,0,64,0,64,0
50,0,0,0,0,0,0,0,335,0,0,0,7.7,7.7,7.7,7.7,0,0,0,0,0,65,0,65,0
