DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,false,1,0,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1,,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,false,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,,,1,,0.1625,0.325
Deflect_Default,Unarmed,1,0,,,,Standard,,,,,,,,false,0,0,1,2,2,2,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0.45,1,1,0.1625,0.325,
Damned_2H_GreatAxe_Melee_Light,Blunt_AI,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,1,2,1,0,20,15,0,0.5,2,0,0.8,0.25,1.5,0,0.8,0,0,0,0,0,0.3,,0,Small,Small,Small,2,0.33,1,0,0.1625,0.325,
Damned_2H_GreatAxe_Melee_Medium,Blunt_AI,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.6,1,1,2,1,0,20,15,0,0.5,2,0,0.8,0.25,1.5,0,0.8,0,0,0,0,0,0.6,,0,Small,Small,Small,2,1.5,1,0,0.1625,0.325,
Damned_2H_GreatAxe_Melee_Heavy,Blunt_AI,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.2,1,1,3,2,0,25,20,0,0.5,2.5,0,0.8,0,2,0,0.8,0,0,0,0,0,0.9,,0.8,Small,Small,Small,3,1.8,1,1,0.1625,0.325,
Damned_2H_GreatAxe_Melee_Heavy_Bleed,Blunt_AI,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.2,1,1,3,2,0,25,20,0,0,2.25,0,0.8,0,1.75,0,0.8,0,0,0,0,0,0.9,,0.8,Small,Small,Small,3,1.8,1,1,0.1625,0.325,
Attack_Dash,Blunt_AI,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,0.75,1,1,3,2,0,25,20,0,0.8,4,0,0.8,0.5,3.25,0,0.8,0,0,0,0,0,0.9,,0.8,Small,Small,Small,3,0.5,1,1,0.1625,0.325,
Attack_FirstMate_AnchorSlam,Blunt_AI,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,1,1,1,4,3,0,35,30,0,0,3.75,0.5,0.8,0,3.5,0,0.8,0,0,0,0,0,1.2,,1,Small,Small,Small,4,1.8,1,1,0.1625,0.325,
Spell_FirstMate_AnchorSlam,Blunt_AI,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,1,1,1,4,3,0,35,30,0,0,3.75,0.5,0.8,0,3.5,0,0.8,0,0,0,0,0,1.2,,1,Small,Small,Small,4,1.8,1,1,0.1625,0.325,
Anchor_Toss,Blunt_AI,0,0,true,Bullet,Heavy,Strike,,,,,,,,false,0.7,1,1,4,3,0,35,30,0,0,1.5,0,0.8,0,1,0,0.8,0,0,0,0,0,1.5,,1,Small,Small,Small,4,4,1,1,0.1625,0.325,
Anchor_Toss_Windup,Blunt_AI,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,1,1,0,0,15,10,0,0,1,0,0.8,0,0.5,0,0.8,0,0,0,0,0,0,,0,Small,Small,Small,1,0.33,1,0,0.1625,0.325,
Anchor_Toss_Impact,Blunt_AI,0,0,,Bullet,Heavy,Strike,,,,,AI_Snare_4sec,true,Deflect_Default,false,0.2,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,,0,Small,Small,Small,0,4,1,0,0.1625,0.325,
