DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_Swipe,Bite_AI,0,0,,Bullet,Light,Slash,,,,AI_CorruptionDMG_25,,,Deflect_Default,false,0.3,1,1,0,0,0,10,5,10,0,1.55,0,0.8,0,0,0,0.8,0,1.55,0,0.8,0,0.1,,0,Small,Small,3,0.1,1,0,0.1625,0.325
Attack_Turn_Swipe,Bite_AI,0,0,,Bullet,Light,Slash,,,,AI_CorruptionDMG_25,,,Deflect_Default,false,0.25,1,1,0,0,0,10,5,10,0,0.5,0,0.7,0,0,0,0.8,0,0.5,0,0.8,0,0.1,,0,Small,Small,3,0.1,1,0,0.1625,0.325
Attack_Left_Right_Combo,Bite_AI,0,0,,Bullet,Light,Slash,,,,AI_CorruptionDMG_25,,,Deflect_Default,false,0.25,1,1,0,0,0,20,10,20,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.1,,0,Small,Small,3,0.1,1,0,0.1625,0.325
Attack_Bite,Bite_AI,0,0,,Bullet,Light,Slash,,,,AI_CorruptionDMG_25,,,Deflect_Default,false,0.8,1,1,3,3,3,30,20,30,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.4,,0,Small,Small,3,0.8,1,1,0.1625,0.325
Attack_Leap,Bite_AI,0,0,,Bullet,Heavy,Slash,,,,AI_CorruptionDMG_25,,,Deflect_Default,false,1,1,1,3,3,3,30,20,30,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.6,,1,Small,Small,3,0.9,1,1,0.1625,0.325
Attack_Overhead_Slash,Bite_AI,0,0,,Bullet,Heavy,Slash,,,,AI_CorruptionDMG_25,AI_Rend,true,Deflect_Default,false,1,1,1,5,4,4,40,35,40,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,1,,1,Small,Small,3,1.8,1,1,0.1625,0.325
Spell_Corrupted_Roar,Bite_AI,0,0,,Bullet,Heavy,Corruption,,,,,AI_Rend,true,Deflect_Default,false,0.8,1,1,2,2,2,25,20,25,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.2,,1,Small,Small,3,0.8,1,1,0.1625,0.325
Attack_Pounce,Bite_AI,0,0,,Bullet,Heavy,Slash,,,,AI_CorruptionDMG_25,AI_Bleed_9,true,Deflect_Default,false,0.9,1,,4,4,4,40,30,40,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.6,,1,Small,Small,3,0.9,1,1,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,Small,0,1,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,Small,1,,,1,0.1625,0.325
