DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,HitRuneCharge,HitBlockedRuneCharge
Headbutt,Blunt_AI,0,0,Bullet,Heavy,Siege,,,,Deflect_Default,false,0.5,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,0.1625,0.325
Lunge,Blunt_AI,0,0,Bullet,Heavy,Siege,,,,Deflect_Default,false,0.5,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,0.1625,0.325
Attack_Bite,Blunt_AI,0,0,Bullet,Heavy,Siege,,,,Deflect_Default,false,0.5,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,0.1625,0.325
Attack_Slash,Blunt_AI,0,0,Bullet,Light,Slash,,,,Deflect_Default,false,0.35,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.1,1,0,0.1625,0.325
Attack_Slash_Overhead,Blunt_AI,0,0,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.8,1,1,0,0,0,10,15,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.8,0.8,1,Small,Small,3,0.8,1,0,0.1625,0.325
Attack_EmberSpew,EmberSpew,0,0,Bullet,Light,Fire,,,,Deflect_Default,false,1,0.5,0.5,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.3,1,0,0.1625,0.325
Attack_IgnitingHowl,IgnitingHowl,0,0,Bullet,Light,Fire,,,,Deflect_Default,false,0.5,0.5,0.5,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.3,1,0,0.1625,0.325
FlameGrunt_Reforge,Reforge,0,0,Bullet,Light,Fire,,,,Deflect_Default,false,0.5,0.5,0.5,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.3,1,0,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,Small,1,,,,0.1625,0.325
