DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Broken_2H_TurnAround_Slash,Sword,0,0,Bullet,Heavy,Slash,,,,,false,1.1,1,1,4,4,4,35,30,35,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,4,0.6,1,1,0.1625,0.325
Broken_1H_Slash_L,Sword,0,0,Bullet,Light,Slash,,,,,false,0.25,1,1,0,1,0,10,15,10,0,0.75,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,2,0.1,1,0,0.1625,0.325
Broken_1H_Slash_R,Sword,0,0,Bullet,Light,Slash,,,,,false,0.25,1,1,0,1,0,10,15,10,0,0.75,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,2,0.1,1,0,0.1625,0.325
Broken_1H_Overhead_Sword,Sword,0,0,Bullet,Heavy,Slash,,,,,false,0.5,1,1,2,2,2,25,20,25,0,1.2,0,0.8,0,1.5,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,3,0.6,1,1,0.1625,0.325
Broken_1H_Stab_Triple,Sword,0,0,Bullet,Light,Thrust,,,true,,false,0.3,1,1,0,2,0,25,20,25,0,0.2,0,0.8,0,0.2,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,2,0.1,1,0,0.1625,0.325
Broken_1H_Stab_Triple_Final,Sword,0,0,Bullet,Heavy,Thrust,,,true,,false,0.5,1,1,2,2,2,20,15,20,0,0.2,0,0.8,0,0.2,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,2,0.35,1,1,0.1625,0.325
Broken_1H_Stab,Sword,0,0,Bullet,Light,Thrust,,,,,false,0.3,1,1,0,1,0,20,15,20,0,0.5,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,2,0.1,1,0,0.1625,0.325
Broken_1H_Breakout_Slash,Sword,0,0,Bullet,Heavy,Slash,,,,,false,0.4,1,1,3,3,3,30,25,30,0,2.5,0,0.8,0,2.5,0,0.8,0,0,0,0.8,0,1,10,Small,Small,Large_short,3,0.6,1,1,0.1625,0.325
Broken_1H_Ground_Pound,Sword,0,0,Bullet,Heavy,Thrust,,,,,false,1,1,1,1,1,1,10,15,10,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,2,0.8,1,1,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,,,1,,,1,0.1625,0.325
