DamageID,WeaponCategory,IsRanged,IgnoreInvulnerable,Unblockable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,LOSCheckVerticalAngleOffset,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
IceSpikesCone,GhostSpell_Ice,1,0,0,0,Bullet,Heavy,Ice,,,,,false,0.8,1,1,1,1,1,15,20,15,0,2,0,0.8,0,2,0,0.8,0,2,0,0.8,0,1,,1,Small,Small,Small,3,0.8,1,1,,,0.1625,0.325
Slash_L,Unarmed,0,0,0,0,Bullet,Light,Slash,,,,,false,0.5,1,1,0,0,0,10,15,20,0.25,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.5,1,1,,,0.1625,0.325
Slash_R,Unarmed,0,0,0,0,Bullet,Light,Slash,,,,,false,0.5,1,1,0,0,0,10,15,20,-0.25,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.5,1,1,,,0.1625,0.325
IcicleShard,GhostSpell_Ice,1,0,0,0,Bullet,Heavy,Ice,,,,,false,0.7,1,1,2,2,1,25,20,25,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,1,Small,Small,Small,3,0.7,1,1,,,0.1625,0.325
DeepFreeze,GhostSpell_Ice,1,1,0,0,Bullet,Light,Ice,,,,,false,0.3,1,1,0,1,1,15,15,15,1,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.9,1,1,,,0.1625,0.325
FreezingGust,GhostSpell_Ice,1,0,0,0,Bullet,Light,Ice,,,,,false,0.3,1,1,1,1,1,15,20,15,0,1.5,0,0.8,0,1.5,0,0.8,0,1.5,0,0.8,0,1,,1,Small,Small,Small,3,0.3,1,1,,,0.1625,0.325
FrostNova,GhostSpell_Ice,1,0,0,0,Bullet,Heavy,Ice,,,,,false,0.4,1,1,3,3,2,20,25,20,0,-2,0,0.8,0,-2,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.7,1,1,,,0.1625,0.325
Entomb,GhostSpell_Ice,1,1,1,0,Bullet,Heavy,Ice,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,1,Small,Small,Small,3,1,1,1,,,0.1625,0.325
Blizzard,GhostSpell_Ice,1,0,1,0,Bullet,Heavy,Ice,,,,,false,0.015,1,1,0,1,0,10,15,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,1,Small,Small,Small,3,0.1,1,1,,,0.1625,0.325
IcicleShardTransition,GhostSpell_Ice,1,0,0,0,Bullet,Heavy,Ice,,,,,false,0.2,1,1,0,1,1,15,15,15,1,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.7,1,1,,,0.1625,0.325
ThrowableIcicleProjectile,GhostSpell_Ice,1,0,0,1,Bullet,Light,Ice,,,,,false,0.1,1,1,0,1,1,15,15,15,1,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.25,1,1,,,0.1625,0.325
ThrowableIcicleExplosion,GhostSpell_Ice,1,0,0,0,Bullet,Light,Ice,,,,,false,0.1,1,1,0,1,1,15,15,15,1,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.7,1,1,,,0.1625,0.325
BlizzardRuneFailure,Unarmed,1,1,1,0,Bullet,Heavy,Ice,,AI_Season_04_IceGuardian_Hypothermia,,,false,0.35,1,1,0,1,0,10,15,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,1,Small,Small,Small,3,0.8,1,1,,,0.1625,0.325
Projectile_Shot,Unarmed,1,0,0,0,Bullet,Light,Strike,,,,,false,0.15,1,1,0,1,1,5,10,15,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.5,1,1,,,0.1625,0.325
AncientChill,GhostSpell_Ice,1,1,1,1,Bullet,Light,Ice,,AI_Season_04_IceGuardian_AncientChill,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,Small,Small,Small,0,0,0,1,,,0,0
