DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,CameraShakeID,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_Stomp,Unarmed,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.5,1,1,2,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,3,0.4,1,0,0.1625,0.325
Attack_Trunk_Slam,Unarmed,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.6,1,1,4,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,5,0.6,1,0,0.1625,0.325
Attack_Tusk_Slash_L,Unarmed,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.35,1,1,1,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,1,0.25,1,0,0.1625,0.325
Attack_Tusk_Slash_R,Unarmed,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.35,1,1,1,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,1,0.25,1,0,0.1625,0.325
Attack_Tusk_Thrust,Unarmed,0,0,,Bullet,Heavy,Thrust,,,,Deflect_Default,false,0.7,1,1,2,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,1,0.5,1,0,0.1625,0.325
Deflect_Default,Unarmed,1,0,,,,Standard,,,,,,0,0,0,2,2,2,0,0,0,0,1,0,0.8,0,1,0,0.8,0,0,0,0,0,0,0,Small,,,,0,0.45,1,1,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,,,,0,1,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,,,,1,,,1,0.1625,0.325
Storm_Herald,Unarmed,0,0,,Bullet,Heavy,Lightning,,,,Deflect_Default,false,0.4,1,1,0,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,0,0.35,1,0,0.1625,0.325
Eruption,Unarmed,0,0,,Bullet,Heavy,Nature,,,,Deflect_Default,false,0.6,1,1,4,1,0,10,5,10,0,2,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,0,0.5,1,0,0.1625,0.325
Eruption_Explosion_Mammoth,Sword,0,0,,Bullet,Heavy,Nature,,Mammoth_World_Boss_Rend,,Deflect_Default,false,10,1,1,3,1,0,10,5,10,0,3,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,0,0.1,1,0,0.1625,0.325
Eruption_Explosion_Player,Sword,0,0,,Bullet,Heavy,Nature,,,,Deflect_Default,false,1,1,1,4,1,0,10,5,10,0,3,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,0,0.35,1,0,0.1625,0.325
Earthquake,Sword,0,0,,Bullet,Heavy,Nature,,,,Deflect_Default,false,0.35,1,1,3,1,0,10,5,10,0,3,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,0,0.3,1,0,0.1625,0.325
Permafrost_Toss,Unarmed,0,0,,Bullet,Heavy,Ice,,,,Deflect_Default,false,0.7,1,,3,3,4,20,34,,0,3.5,0,0.81,0,0,0,0.78,0,3.5,0,0.81,0,1.5,1.5,,Small,Small,Small,3,0.35,1,1,0.1625,0.325
Force_Of_Nature_Explosion,Unarmed,0,0,,Bullet,Light,Nature,,AI_Poison_55,,Deflect_Default,false,0.3,1,1,0,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,0,0.2,1,0,0.1625,0.325
Force_Of_Nature_Move,Unarmed,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.3,1,1,5,5,5,10,5,10,8,0,0,0.8,0,0.5,0,0.8,0,8,0,0.8,0,0,0,Small,,,,0,0.7,1,0,0.1625,0.325
Tectonic_Stomp,Unarmed,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.4,1,1,0,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,3,0.5,1,0,0.1625,0.325
Tectonic_Stomp_Fire,Unarmed,0,0,,Bullet,Light,Fire,,,,Deflect_Default,false,0.6,1,1,0,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,,,,3,0.25,1,0,0.1625,0.325
