DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,Unblockable,SurfaceImpactEffect,AttackType,DamageType,IsRanged,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,AttackDealsNoDurability,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,stunBreakoutIncrementer,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge,UseAttackerPosForReaction
Swipe_R_L,Unarmed,1,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,,1.2,1,1,5,5,5,30,30,30,-5,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Swipe_L_R,Unarmed,1,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,,1.2,1,1,5,5,5,30,30,30,5,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Swipe_Mid,Unarmed,1,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,,1.2,1,1,5,5,5,30,30,30,0,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Chest_Impact,Unarmed,1,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,,1,1,1,3,3,3,30,30,30,0,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Punch,Unarmed,0,0,0,Bullet,Light,Strike,,,,Deflect_Default,false,,1,1,1,5,5,5,10,5,10,0,4,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,true
Slap,Unarmed,0,0,0,Bullet,Light,Strike,,,,Deflect_Default,false,,1.4,1,1,5,5,5,30,25,30,0,5,0,0.8,0,5,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,true
Chest_Impact_Stunned,Unarmed,1,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,,0.3,1,1,3,3,3,30,30,30,0,7,0,0.8,0,7,0,0.8,0,4,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Frost_Breath,Unarmed,1,1,0,Bullet,Heavy,Ice,,,,Deflect_Default,false,,0.04,0.04,0.04,0,0,0,0,0,0,0,6,0,0.8,0,1,0,0.8,0,0.5,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,true
Ice_Attack,Unarmed,0,0,,Bullet,Heavy,Ice,,,true,Deflect_Default,false,,0.6,0.6,0.6,3,2,3,20,25,20,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.5,,1.5,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Shockwave,Unarmed,0,0,,Bullet,Heavy,Ice,,,true,Deflect_Default,false,,0.6,0.6,0.6,2,2,2,20,25,20,0,1,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.5,,1.5,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Icicle_Drop,Unarmed,0,0,,Bullet,Heavy,Ice,,,true,Deflect_Default,false,,1.4,1.4,1.4,5,5,5,20,25,20,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.5,,1.5,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Self_Stagger_Boss,Unarmed,1,0,0,Bullet,Light,Strike,,AI_Torso_Boss_SelfStagger,false,Deflect_Default,false,,0.1,0.1,1,8,8,8,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,0,1,true,0.1625,0.325,false
Frost_Breath_Ground,Unarmed,1,1,0,Bullet,Heavy,Ice,,AI_Ice_Torso_Boss_Deep_Frozen,,Deflect_Default,false,,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Frozen_Aura,Unarmed,1,1,0,Bullet,Heavy,Ice,,AI_Ice_Torso_Boss_Deep_Frozen,,Deflect_Default,false,,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Ice_Bomb_Fall,Unarmed,1,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,,0.3,0.3,0.3,3,3,3,30,30,30,0,7,0,0.8,0,7,0,0.8,0,4,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Ice_Bomb_Detonate,Unarmed,1,0,1,Bullet,Heavy,Standard,,,,Deflect_Default,false,,8,8,8,5,5,5,30,30,30,0,7,0,0.8,0,7,0,0.8,0,4,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Spell_Ice_Spikes,Unarmed,0,0,,Bullet,Heavy,Ice,,,true,Deflect_Default,false,,0.3,0.3,0.3,0,0,0,20,25,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1.5,,1.5,Small,Small,3,1.5,1,16,1,,0.1625,0.325,false
Fall,Fall,1,1,,Bullet,,Falling,,,,,false,,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,,,,0.1625,0.325,
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,Small,1,,,,,,0.1625,0.325,
