DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,CameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier
Frostfang_Attack_Sickle_QuickStrike,Sword,0,0,,Bullet,Light,Strike,,,,Default,false,0.15,0.15,0,0,0,0,10,2,0,0,0.3,0,0.4,0,0,0,0.4,0,0.25,0,0,0,1,1,Small,3,0.1,1
Frostfang_Attack_Sickle_StrongSlash,Sword,0,0,,Bullet,Light,Slash,,,,Default,false,0.25,0.25,0,0,1,0,15,5,0,0,0.6,0,0.4,0,0,0,0.4,0,0.5,0,0,0,1,1,Small,3,0.15,1
Frostfang_Attack_Sickle_FierceThrust,Sword,0,0,,Bullet,Heavy,Thrust,,,,Default,false,0.3,0.3,1.2,2,1,1.2,20,10,15,0,0.8,0,0.8,0,1,0,0.8,0,0.6,0,0,0,1,5,Small,3,0.25,1
Frostfang_Attack_Sickles_DualStrike,Sword,0,0,,Bullet,Light,Strike,,,,Default,false,0.35,0.35,0,1,1,0,25,15,0,0,0.4,0,0.4,0,0,0,0.4,0,0.35,0,0,0,1,2,Large,3,0.2,1
Frostfang_Attack_Sickles_DualSlash,Sword,0,0,,Bullet,Heavy,Slash,,,,Default,false,0.4,0.4,0,2,1,0,30,20,0,0,0.8,0,0.4,0,0,0,0.4,0,0.55,0,0,0,1,2,Large,4,0.25,1
Frostfang_Attack_Sickles_DualThrust,Sword,0,0,,Bullet,Heavy,Thrust,,,,Default,false,0.45,0.45,1.4,3,2,1.4,35,25,30,0,1,0,0.8,0,1.2,0,0.8,0,0.8,0,0,0,1,5,Large,3,0.35,1
Frostfang_Attack_Sickle_InflictWeaken,Sword,0,0,,Bullet,Heavy,Ice,,AI_IceDryad_Frostfang_Debuff_Weaken,true,Default,false,0.15,0.15,1.2,1,1,1.2,20,10,15,0,0.8,0,0.8,0,1,0,0.8,0,0.6,0,0,0,1,5,Small,3,0.25,1
Frostfang_Attack_FrostBiter_Nav_Hit,Sword,0,0,,Bullet,Heavy,Ice,,,,Default,false,0.2,0.2,0,2,2,0,40,30,0,0,1.5,0,0,0,0,0,0,0,1.25,0,0,0,1,10,Large,4,0.4,1
Frostfang_Attack_FrostBiter_Ender_Hit,Sword,0,0,,Bullet,Heavy,Ice,,,,Default,false,0.3,0.3,0,3,2,0,45,35,0,0,2,0,0.8,0,0,0,0.8,0,1.5,0,0,0,1,10,Large,4,0.45,1
Reaction_Breakout,Fall,1,1,,Fall,Fall,Strike,,,,Default,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,1,1,0
Reaction_BreakoutAttack_Light,Sword,1,1,,Bullet,Light,Slash,,,,Default,false,0.05,0.05,0,0,0,0,15,5,0,0,0.6,0,0.4,0,0,0,0.4,0,0.5,0,0,0,1,1,Small,1,1,0
Reaction_BreakoutAttack_Heavy,Sword,1,1,,Bullet,Heavy,Thrust,,,,Default,false,0.1,0.1,0,2,1,0,25,15,0,0,0.4,0,0.4,0,0,0,0.4,0,0.35,0,0,0,1,2,Large,1,1,0
Frostfang_Grit_StaggerResist,Fall,0,0,,Bullet,,,,,,Default,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,0,0,0
Fall,Fall,1,1,,Falling,,Falling,,,,,,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
AG_Reaver_Slash_01,Sword,0,0,,Bullet,Light,Slash,,,,Default,false,0.15,1,1,0,1,0,10,5,10,0,0.3,0,0.8,0,0.3,0,0.8,0,0.3,0,0,0,1,1,Small,0,0.1,1
AG_Reaver_Dash,Sword,0,0,,Bullet,Heavy,Slash,,AI_Poison_55,true,Default,false,0.5,1,1,3,3,3,30,25,30,0,2,0,0.8,0,2,0,0.8,0,0,0,0,0,1,1,Large,0,1,1
Prowler_1h_Overhead_Slash,Sword,0,0,,Bullet,Heavy,Slash,,AI_Poison_55,true,Default,false,0.5,1,1,3,3,3,30,25,30,0,2,0,0.8,0,2,0,0.8,0,0,0,0,0,1,1,Large,0,1,1
STRETCH GOAL SE,,,,,,,,,AI_IceDryad_Frostfang_Buff_DMGIce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
