DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,IsAbility,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,StatusEffect,EffectOnlyOnDamage,SurfaceImpactEffect,DeflectDamageID,CanCrit,Unblockable,AttackDealsNoDurability,NoHeadshot,NoBackstab,NoLegShots,CancelTargetHoming,DmgCoef,DmgCoefHead,DmgCoefCrit,DurabilityCostOverride,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,CritStaggerDmgModifier,HitRateDmgModifier,MaxHitRateDmgMod,CameraShakeID,TargetCameraShakeID,BlockCameraShakeID,BlockTargetCameraShakeID,CritCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,StunBreakoutIncrement,ThreatMultiplier,AddThreat,IsTaunt,TauntDuration,TauntThreatBoostPercentage,TauntMinimumThreatValue,UseAttackerPosForReaction,AttackRuneCharge,AttackBlockedRuneCharge,HitRuneCharge,HitBlockedRuneCharge
2H_Axe_Attack1,Axe,0,0,,,Light,Standard,,,,,,Bullet,Deflect_Default,,,,,,,,1,1.3,,,0,3,0,30,20,30,0,2.5,0,0.85,0,0.5,0,0,0,2.5,0,0.85,0,1,1,,,,,,,,Large_short,Large_short,1,1,1,0,0,1,0,false,0,0,0,,,,,
2H_Axe_Attack2,Axe,0,0,,,Heavy,Standard,,,,,,Bullet,Deflect_Default,,,,,,,,1.5,1.3,,,3,3,3,30,25,30,0,2.3,0,0.8,0,0.5,0,0,0,2.3,0,0.8,0,1,1,,,,,,,,,,1,1,1,0,0,1,0,false,0,0,0,,,,,
2H_Axe_Attack1_Run,Axe,0,0,,,Heavy,Standard,,,,,,Bullet,Deflect_Default,,,,,,,,1.25,1.3,,,3,3,3,30,25,30,0,3,0,0.8,0,0.5,0,0,0,3,0,0.8,0,1,1,,,,,,,,,,1,1,1,0,1,1,0,false,0,0,0,,,,,
2H_Axe_Attack3_Spin1,Axe,0,0,,,Heavy,Standard,,,,,,Bullet,Deflect_Default,,,,,,,,0.5,1.3,,,3,3,3,30,25,30,0,1.4,0,0.8,0,0.5,0,0,0,1.4,0,0.8,0,1,1,,,,,,,,,,1,1,1,0,1,1,0,false,0,0,0,,,,,
2H_Axe_Attack3_SpinFinish,Axe,0,0,,,,Standard,,,,,,Bullet,Deflect_Default,,,,,,,,1,1.3,,,4,4,4,25,20,25,0,3,0,0.8,0,1.5,0,0,0,3,0,0.8,0,1,1,,,,,,,,,,1,1,1,0,1,1,0,false,0,0,0,,,,,
2H_Pick_Attack1,Pick,0,0,,,Light,Thrust,,,,,,Bullet,Deflect_Default,,,,,,,,1,1.3,,,3,3,3,30,25,30,0,2.5,0,0.85,0,0.5,0,0,0,2.5,0,0.85,0,1,1,,,,,,,,,,1,1,1,0,1,1,0,false,0,0,0,,,,,
2H_Pick_Attack1_Run,Pick,0,0,,,Heavy,Thrust,,,,,,Bullet,Deflect_Default,,,,,,,,1.5,1.3,,,3,3,3,30,25,30,0,0.75,0,0.8,0,0.5,0,0,0,0.75,0,0.8,0,1,1,,,,,,,,,,1,1,1,0,1,1,0,false,0,0,0,,,,,
2H_Club_Attack1,Club,0,0,,,Light,Strike,,,,,,Bullet,Deflect_Default,,,,,,,,1,1.3,,,0,3,3,25,15,25,0,2.3,0,0.8,0,0.5,0,0,0,2.3,0,0.8,0,0.8,1,,,,,,,,,,3,0.8,1,0,0,1,0,false,0,0,0,,,,,
2H_Club_Attack2,Club,0,0,,,Heavy,Strike,,,,,,Bullet,Deflect_Default,,,,,,,,1.5,1.3,,,3,3,3,35,30,35,0,2.3,0,0.8,0,0.5,0,0,0,2.3,0,0.8,0,2.2,1,,,,,,,,,,4,2.2,1,0,1,1,0,false,0,0,0,,,,,
2H_Club_Attack3,Club,0,0,,,Heavy,Strike,,,,,,Bullet,Deflect_Default,,,,,,,,1.5,1.3,,,5,5,5,35,30,35,0,0.65,0,0.2,0,1,0,0,0,0.65,0,0.2,0,1,1,,,,,,,,,,3,1,1,0,1,1,0,false,0,0,0,,,,,
2H_Club_Attack1_Run,Club,0,0,,,Heavy,Strike,,,,,,Bullet,Deflect_Default,,,,,,,,1.5,1.3,,,5,5,5,35,30,35,0,2.3,0,0.8,0,1,0,0,0,2.3,0,0.8,0,1,1,,,,,,,,,,4,1,1,0,1,1,0,false,0,0,0,,,,,
2H_Spear_PrimaryAttack,Spear,0,0,,,Light,Thrust,,,,,,Bullet,Deflect_Default,,,,,,,,1,1.3,,,0,0,0,15,10,15,0,0.5,0,0.8,0,0,0,0,0,0.5,0,0.8,0,0.4,1,,,,Small,Small,Small,Small,Large_short,Large_short,2,0.4,1,0,0,1,0,false,0,0,0,,0.91,0.455,0.2275,0.455
2H_Spear_PrimaryAttack_End,Spear,0,0,,,Light,Thrust,,,,,,Bullet,Deflect_Default,,,,,,,,1,1.3,,,0,0,0,15,10,15,0,0.5,0,0.8,0,0,0,0,0,0.5,0,0.8,0,0.4,1,,,,Small,Small,Small,Small,Large_short,Large_short,2,0.4,1,0,0,1,0,false,0,0,0,,0.91,0.455,0.2275,0.455
2H_Spear_HeavyAttack,Spear,0,0,,,Heavy,Thrust,,,,,,Bullet,Deflect_Default,,,,,,,,1.3,1.3,,,0,0,0,35,25,35,0,1.5,0,0.8,0,0.5,0,0.8,0,1.5,0,0.8,0,1.75,1,,,,Small,Small,Small,Small,Large_short,Large_short,3,1.75,1,0,0,1,0,false,0,0,0,,1.951,0.9755,0.48775,0.9755
2H_Spear_HeavyAttack_Charged,Spear,0,0,,,Heavy,Thrust,,,,,,Bullet,Deflect_Default,,,,,,,,1.65,1.3,,,0,0,0,35,30,35,0,1.5,0,0.8,0,0.5,0,0.8,0,1.5,0,0.8,0,2.5,1,,,,Small,Small,Small,Small,Large_short,Large_short,3,2.5,1,0,0,1,0,false,0,0,0,,2.385,1.1925,0.59625,1.1925
2H_Spear_Javelin,Spear_Throw,0,0,true,true,Ability,Thrust,,,,,,Bullet,Deflect_Default,,,,,,,,1.25,1.3,,,3,2,3,35,25,35,0,3,0,0.8,0,0.5,0,0.8,0,3,0,0.8,0,1.25,1,,,,Small,Small,Small,Small,Large_short,Large_short,3,1.25,1,0,1,1,0,false,0,0,0,,1.778,0.889,0.4445,0.889
2H_Spear_Javelin_Knockback,Spear_Throw,0,0,true,true,Ability,Thrust,,,,,,Bullet,Deflect_Default,,,,,,,,1.25,1.3,,,4,3,4,45,35,45,0,4,0,0.8,0,0.5,0,0.8,0,4,0,0.8,0,1.25,1,,,,Small,Small,Small,Small,Large_short,Large_short,3,1.25,1,0,1,1,0,false,0,0,0,,1.778,0.889,0.4445,0.889
2H_Spear_Skewer_Stab,Spear,0,0,,true,Ability,Thrust,,,,Spear_Skewer_Bleed,TRUE,Bullet,Deflect_Default,,,,,,,,1.25,1.3,,,0,0,0,35,25,35,0,1.5,0,0.8,0,0.75,0,0.8,0,1.5,0,0.8,0,0.5,1,,,,Small,Small,Small,Small,Large_short,Large_short,3,0.5,1,0,0,1,0,false,0,0,0,,1.04,0.52,0.26,0.52
2H_Spear_Skewer_Bleed,Spear,0,0,,true,Ability,Thrust,,,,,,Bullet,Deflect_Default,,,,,,,,1.25,1.3,,,0,0,0,35,25,35,0,1.5,0,0.8,0,0.75,0,0.8,0,1.5,0,0.8,0,0.5,1,,,,,,,,,,3,0.5,1,0,0,1,0,false,0,0,0,,,,,
2H_Spear_Perforate,Spear,0,0,,true,Ability,Thrust,,,,Spear_Perforate_Rend,TRUE,Bullet,Deflect_Default,,,,,,,,0.8,1.3,,,0,0,0,25,18,25,0,0.5,0,0.8,0,0,0,0,0,0.5,0,0.8,0,0.5,1,,,,Small,Small,Small,Small,Large_short,Large_short,3,0.5,1,0,0,1,0,false,0,0,0,,0.621,0.3105,0.15525,0.3105
2H_Spear_Sweep,Spear,0,0,,true,Ability,Strike,,,,,,Bullet,Deflect_Default,,,,,,,,0.75,1.3,,,5,2,5,35,20,35,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0.5,1,,,,Small,Small,Small,Small,Large_short,Large_short,3,0.5,1,40,1,1,0,false,0,0,0,,1.213,0.6065,0.30325,0.6065
