DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,AddDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,CameraShakeID,CritCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Slap,Unarmed,0,0,Bullet,Light,Strike,AfflictionErosion,3,,,true,,false,0.15,1,1,0,0,0,10,15,10,0,1,0,0.8,0,1.5,0,0.8,0,0,0,0.9,0.7,0.7,1,0,0,0.4,1,Small,Small,1,0.1625,0.325
Smash,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,8,,,true,,false,0.2,1,1,0,0,0,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,0.8,1,Small,Small,1,0.1625,0.325
Rush,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,3,,,,,false,0.5,1,1,4,4,4,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Throw,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,3,,,,,false,0.3,1,1,3,3,3,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Slap_Fire,Unarmed,0,0,Bullet,Light,Strike,AfflictionErosion,3,AI_FireDMG_50,AI_Catacombs_Gorilla_Boss_Burn,true,,false,0.35,1,1,0,0,0,10,15,10,0,1,0,0.8,0,1.5,0,0.8,0,0,0,0.9,0.7,0.7,1,0,0,0.4,1,Small,Small,1,0.1625,0.325
Smash_Fire,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,8,AI_FireDMG_50,AI_Catacombs_Gorilla_Boss_Burn,true,,false,0.45,1,1,1,1,1,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,0.8,1,Small,Small,1,0.1625,0.325
Smash_F_Fire,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,3,AI_FireDMG_50,AI_Catacombs_Gorilla_Boss_Burn,true,,false,0.6,1,1,2,2,2,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,1,1,Small,Small,1,0.1625,0.325
Spell_LavaWave,Unarmed,0,0,Bullet,Magic,Fire,AfflictionErosion,18,,AI_Catacombs_Gorilla_Boss_Burn,,,false,0.35,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0.4,0,,,0,0.1625,0.325
Attack_FlamingRush,Unarmed,0,0,Bullet,Heavy,Fire,AfflictionErosion,3,,AI_Catacombs_Gorilla_Boss_Burn,,,false,0.45,1,1,4,4,4,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Attack_FlamingRushRun,Unarmed,0,0,Bullet,Heavy,Fire,AfflictionErosion,3,,,,,false,0.25,1,1,3,3,3,30,25,30,1.5,1.5,0,0.8,1.5,1.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Spell_FlamingRush,Unarmed,0,0,Bullet,Magic,Fire,AfflictionErosion,3,,AI_Catacombs_Gorilla_Boss_Burn,,,false,0.2,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0.1625,0.325
Slap_Ice,Unarmed,0,0,Bullet,Light,Strike,AfflictionErosion,3,AI_IceDMG_50,AI_Catacombs_Gorilla_Boss_Chill,true,,false,0.5,1,1,0,0,0,10,15,10,0,1,0,0.8,0,1.5,0,0.8,0,0,0,0.9,0.7,0.7,1,0,0,0.4,1,Small,Small,1,0.1625,0.325
Smash_Ice,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,8,AI_IceDMG_50,AI_Catacombs_Gorilla_Boss_Chill,true,,false,0.65,1,1,1,1,1,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,0.8,1,Small,Small,1,0.1625,0.325
Smash_F_Ice,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,3,AI_IceDMG_50,AI_Catacombs_Gorilla_Boss_Chill,true,,false,0.8,1,1,2,2,2,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,1,1,Small,Small,1,0.1625,0.325
Spell_IcicleClap,Unarmed,0,0,Bullet,Magic,Ice,AfflictionErosion,18,,AI_Catacombs_Gorilla_Boss_Chill,,,false,0.85,1,1,3,3,3,30,25,30,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0.8,0,,,0,0.1625,0.325
Attack_FrozenRush,Unarmed,0,0,Bullet,Heavy,Ice,AfflictionErosion,3,,AI_Catacombs_Gorilla_Boss_Chill,,,false,0.45,1,1,4,4,4,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Attack_FrozenRushRun,Unarmed,0,0,Bullet,Heavy,Ice,AfflictionErosion,3,,,,,false,0.3,1,1,3,3,3,30,25,30,1.5,1.5,0,0.8,1.5,1.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
