DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,Unblockable,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,,false,1,0,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1,,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,,false,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,,,1,,0.1625,0.325
Elite_GRIT,Sword+Fire,0,0,,Bullet,,Standard,,,,,,,,Deflect_Default,false,0,0,,1,1,1,20,15,20,0,0,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,1.95,,10,Small,Small,Small,0,1,1,1,,0.1625,0.325
Attack_SwipeL_01,Sword,0,0,,Bullet,Light,Slash,,,,,,AI_IoN_Lost_Thorpe_Rend10Percent,true,Deflect_Default,false,0.55,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.55,1,1,,0.1625,0.325
Attack_SwipeL_01_Coalescence,Sword+CorruptedMagic,0,0,,Bullet,Light,Slash,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Rend10Percent",false,Deflect_Default,false,0.8,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_SwipeL_02,Sword,0,0,,Bullet,Light,Slash,,,,,,,,Deflect_Default,false,0.95,1,,0,1,0,12,15,12,0,1.1,0,0.8,0,1.2,0,0.8,0,1.1,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_SwipeR_01,Sword,0,0,,Bullet,Light,Slash,,,,,,,,Deflect_Default,false,1,1,,0,1,0,11,12,11,0,1,0,0.8,0,1.1,0,0.8,0,1,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_SwipeR_02,Sword,0,0,,Bullet,Light,Slash,,,,,,,,Deflect_Default,false,1.1,1,,0,1,0,13,14,13,0,1.15,0,0.8,0,1.15,0,0.8,0,1.15,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_Stab_01,Sword,0,0,,Bullet,Light,Thrust,,,,,,,,Deflect_Default,false,1.05,1,,0,2,0,14,21,14,0,1.45,0,0.8,0,1.4,0,0.8,0,1.45,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_Stab_02,Sword,0,0,,Bullet,Light,Thrust,,,,,,,,Deflect_Default,false,1.15,1,,0,2,0,15,25,15,0,1.65,0,0.8,0,1.5,0,0.8,0,1.65,0,0.8,0,0,,0,Small,Small,Small,2,0.65,1,1,,0.1625,0.325
Attack_Double_Spin_Combo,Sword,0,0,,Bullet,Light,Slash,,,,,,,,Deflect_Default,false,1,1,,1,1,1,13,18,13,0,1.1,0,0.8,0,0.9,0,0.8,0,1.1,0,0.8,0,0,,0,Small,Small,Small,1,0.65,1,1,,0.1625,0.325
Attack_Double_Spin_Finisher,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,true,Deflect_Default,false,1.3,1,,2,2,2,22,28,22,0,1.8,0,0.8,0,1.55,0,0.75,0,1.8,0,0.8,0,0,,0,Small,Small,Small,2,0.7,1,1,,0.1625,0.325
Attack_Overhead_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,,Deflect_Default,false,0.9,1,,5,3,5,24,32,24,0,1.1,0,0.8,0,1.2,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Large,2,0.7,1,1,,0.1625,0.325
Attack_Overhead_Slash_Coalescence,Sword+CorruptedMagic,0,0,,Bullet,Heavy,Slash,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Rend10Percent",false,Deflect_Default,false,1,1,,2,3,2,27,30,27,0,2.2,0,0.8,0,2.35,0,0.8,0,2.2,0,0.8,0,0,,0,Large,Large,Large,2,0.85,1,1,,0.1625,0.325
Attack_Flurry_Combo,Sword,0,0,,Bullet,Light,Slash,,,,,,,,Deflect_Default,false,0.75,1,,0,1,0,15,12,15,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.45,1,1,,0.1625,0.325
Attack_Flurry_Finisher,Sword,0,0,,Bullet,Light,Slash,,,,,,,,Deflect_Default,false,1.15,1,,2,1,2,22,18,22,0,1.25,0,0.8,0,1.4,0,0.8,0,1.25,0,0.8,0,0,,0,Small,Small,Small,2,0.55,1,1,,0.1625,0.325
Attack_Upwards_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,true,Deflect_Default,false,2.2,1,,4,4,4,44,40,44,0,5.5,0,0.6,0,4.25,0,0.65,0,5.5,0,0.6,0,0,,0,Large,Large,Large,4,1.5,1,1,,0.1625,0.325
