DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,Unblockable,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Attack_Stab,Sword,0,0,,,Bullet,Heavy,Thrust,,,,,,,,false,0.6,1,1,2,2,2,20,22,20,0,1.8,0,0.8,0,0,0,0.8,2.5,0,0,0.8,0,0,,0,,,,1,0.32,1,0,,0.1625,0.325
Attack_Stab_Shield,Sword,0,0,,,Bullet,Heavy,Thrust,,,,,,,,false,0.6,1,1,2,2,2,24,22,24,0,2.1,0,0.8,0,0,0,0.8,2.5,0,0,0.8,0,0,,0,,,,1,0.32,1,0,,0.1625,0.325
Attack_Sweep_L,Sword,0,0,,,Bullet,Heavy,Slash,,,,,,,,false,0.5,1,1,1,2,1,14,24,14,-1.2,1.1,0,0.8,0,0,0,0.8,1.9,-0.65,0,0.8,0,0,,0,,,,1,0.32,1,0,,0.1625,0.325
Attack_Sweep_L_Shield,Sword,0,0,,,Bullet,Heavy,Slash,,,,,,,,false,0.5,1,1,1,3,1,16,34,16,-1.2,1.35,0,0.8,0,0,0,0.8,2.15,-0.8,0,0.8,0,0,,0,,,,1,0.52,1,0,,0.1625,0.325
Attack_Sweep_R,Sword,0,0,,,Bullet,Heavy,Slash,,,,,,,,false,0.5,1,1,1,2,1,14,20,14,0.75,1.6,0,0.8,0,0,0,0.8,1.6,0.5,0,0.8,0,0,,0,,,,1,0.28,1,0,,0.1625,0.325
Attack_Sweep_R_Shield,Sword,0,0,,,Bullet,Heavy,Slash,,,,,,,,false,0.5,1,1,1,3,1,16,30,16,0.75,1.9,0,0.8,0,0,0,0.8,2,-0.7,0,0.8,0,0,,0,,,,1,0.46,1,0,,0.1625,0.325
Attack_Overhead_Slam,Sword,0,0,,,Bullet,Heavy,Slash,,,,,,,,false,0.8,1,1,5,4,5,45,50,45,0,0.8,0,0.8,0,0,0,0.8,1.15,0,0,0.8,0,0,,0,,,,0,1.2,1,0,,0.1625,0.325
Attack_Thrash_Sword_01,Sword,0,0,,,Bullet,Heavy,Slash,,,,,,,,false,0.3,1,1,0,0,0,15,10,15,0,0.1,0,0.8,0,0,0,0.8,0.1,0,0,0.8,0,0,,0,,,,0,0.35,1,0,,0.1625,0.325
Attack_Thrash_Sword_02,Sword,0,0,,,Bullet,Heavy,Slash,,,,,,,,false,0.25,1,1,0,0,0,15,10,15,0,0.1,0,0.8,0,0,0,0.8,0.1,0,0,0.8,0,0,,0,,,,0,0.35,1,0,,0.1625,0.325
Attack_Thrash_Sword_03,Sword,0,0,,,Bullet,Heavy,Slash,,,,,,,,false,0.25,1,1,2,1,2,25,15,25,0,0.1,0,0.8,0,0,0,0.8,0.1,0,0,0.8,0,0,,0,,,,0,0.35,1,0,,0.1625,0.325
Attack_Thrash_ShieldMid,Sword,0,0,,,Bullet,Light,Slash,,,,,,,,false,0.2,1,1,2,1,2,25,15,25,0,0.25,0,0.8,0,0,0,0.8,0.25,0,0,0.8,0,0,,0,,,,0,0.5,1,0,,0.1625,0.325
