DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,IsRanged,IsSiege,DamageType,Affixes,Unblockable,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Rapid_Stab1,Sword,0,0,Bullet,Light,,,Thrust,,true,,,false,0.4,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
Rapid_Stab2,Sword,0,0,Bullet,Light,,,Thrust,,true,,,false,0.4,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
Rapid_Stab3,Sword,0,0,Bullet,Heavy,,,Thrust,,true,,,false,0.4,1,1,2,1,,20,20,,0,0.8,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
Lunge,Sword,0,0,Bullet,Heavy,,,Thrust,,true,,,false,1.1,1,1,3,1,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1,1,1,0.1625,0.325
Pistol_Blast,CorruptedMagic,0,0,Bullet,Heavy,true,,Thrust,,true,,,false,0.8,1,1,3,1,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.8,1,1,0.1625,0.325
SlashShot_Slash,CorruptedMagic,0,0,Bullet,Heavy,,,Slash,,true,,,false,0.4,1,1,2,1,,25,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
SlashShot_Shot,CorruptedMagic,0,0,Bullet,Heavy,true,,Thrust,,true,,,false,0.8,1,1,3,1,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.8,1,1,0.1625,0.325
ShoulderSlash_Wave,CorruptedSlash,0,0,Bullet,Heavy,true,,Slash,,true,,,false,0.7,1,1,2,1,,25,20,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.7,1,1,0.1625,0.325
SpellBall,CorruptedMagic,0,0,Bullet,Magic,,,Corruption,,true,,,false,0.4,1,1,2,1,,25,20,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
SpellBall_Shard,CorruptedMagic,0,0,Bullet,Magic,,,Corruption,,true,,,false,0.6,1,1,2,1,,25,20,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
